Form	Year	Register	Source	Text	Label	Score
woman	1951	FIC	HereEternity	  at Stark. " There, " Stark said bitterly. " You see? Woman thinks we drunk. " " Imagine that, " Prew said. " Suspicious	LABEL_0	0.993887842
woman	1954	FIC	Mov:FrenchLineThe	  her through the amazed audience. -- 123 -- PIERRECome with me, you crazy woman. MARY (outraged) Why -- you -- you French Romeo! I ought	LABEL_0	0.68187964
woman	1951	FIC	CruelSea	  Peter might say, when her grandfather continued, " The day will come when woman no longer must submit to the animal in man at his will, when she	LABEL_0	0.859078586
woman	1955	FIC	Harpers	  " I think my system's better, " Cary said. " If that woman can get away with it, I can.... " " It's begging	LABEL_0	0.974830091
woman	1950	FIC	Mov:HuntManDown	  moment her glance wavers. In her eyes is the look of near-hysteria of a woman who suddenly finds herself, for the first time in her life, alone.	LABEL_0	0.993483365
woman	1951	FIC	NeverLookBack	  impulse, Maggy stopped at the desk and said: " I wonder -- the woman who came to see me the night before I arrived -- she hasn't come	LABEL_0	0.922097623
woman	1955	FIC	Mov:BestBadmen	  COLEYeah? If all we're bein' used for is to get you a woman, no deal - JESSE (dangerously) Mrs. Fowler ain't out of Quinto	LABEL_0	0.992286205
woman	1953	FIC	GoldenApplesSun	  on a visit from a much better night club. His wife seemed like a woman on probation; as everybody is, after a fashion, with a police lieutenant	LABEL_0	0.97805655
woman	1959	FIC	Mansion	  in domesticity or anyway uxoriousness: bigamy, rifling the sect's funds for a woman: his wife or someone else's or, in an occasional desperate case,	LABEL_0	0.994336426
woman	1956	FIC	Play:Workers	  2ND OLD WOMAN Hear and see the white man and his ways! 1ST OLD WOMAN Their ways are not ours. They count their days in hours. The immediate	LABEL_0	0.685590267
woman	1954	FIC	DawningDay	  once. " His expression was a mixture of bravado and embarrassment. " The woman was a fool, though. I was drunk and I thought it was a	LABEL_0	0.995010138
woman	1951	FIC	CruelSea	  . A little bow-legged timid man was Evans, and his wife a tall dour woman who seemed the better man of the two. Evans died, and the woman	LABEL_0	0.92806828
woman	1955	FIC	BangDrumSlowly	  woman. It seems to me the only thing to do. " " What woman? " " Catherine Pollard. Didn't Vera tell you? Dessy's been	LABEL_0	0.644298017
woman	1958	FIC	MountainRoad	  retreat. " Baldwin could not tell whether it was Kwan's voice or the woman's translation that suddenly fell from a rising tone of bitterness and wrath, to	LABEL_0	0.993637741
woman	1952	FIC	SteamboatGothic	  would involve you, too, wouldn't it? I shouldn't think any woman who's passed, more or less, for a lady would want to destroy	LABEL_0	0.985570133
woman	1952	FIC	LaughingKeepFrom	  with any of the other roomers in the house. She was Mrs. Dyer's woman of mystery. Because she occasionally went down the second-floor hall to the bathroom in	LABEL_0	0.800857008
woman	1950	FIC	Town	  , Rosa could only see the top of her head. She was the plainest woman on the Square and the richest. She was part Indian, they said.	LABEL_0	0.991381705
woman	1950	FIC	LoveHonor	  course, Sally. " Her master's voice, Cindy thought, as the woman's hands which had been fluttering steadied at Lloyd's reminder. " Here comes	LABEL_0	0.858896017
woman	1951	FIC	GodsMen	  who can scarcely read? " William asked. " Aunt Rosamond is a shrewd woman, " Martin replied. " Aren't you, Auntie? Why, she	LABEL_0	0.956187069
woman	1958	FIC	DaughterEve	  toward the entrance. " You will offend the moon god, " the old woman wailed. " Something pretty can offend no one, not even a god,	LABEL_0	0.980974674
woman	1952	FIC	YetOtherWaters	  seemed to Bernard that her laugh was cruel. " A man afraid of a woman, a man running away from ap317good piece of tail can be the funniest thing	LABEL_0	0.994875491
woman	1953	FIC	Outsider	  a brown spout of boiling coffee, emittinga cloud of vapor, splashed over the woman's bare arm and onto her bosom. The waiter's movements froze and the	LABEL_0	0.991452217
woman	1954	FIC	Harpers	  he stood up so sharply that he startled himself with the sight of the dead woman. It was innocence. She could put away the predatory paws of college boys	LABEL_0	0.994104564
woman	1954	FIC	ThirdGeneration	  and the boys with high pride and mouth full of lies. Where was the woman that's supposed to come with success? That's in the stories. Sure	LABEL_0	0.970129609
woman	1951	FIC	Mov:SealedCargo	  on a deadly silence... DISSOLVE 323 OMITTED 323A EXT. THE QUARTERDECK THE GAUNT WOMAN - NIGHT MED. SHOT Skalder, his figure outlined against the night sky,	LABEL_0	0.969039977
woman	1956	FIC	BoonIsland	  said she ought to be ashamed taking things over like that when it was another woman's husband. Even Grandmother said so, and she never talks about anybody.	LABEL_0	0.993674934
woman	1956	FIC	Compulsion	  . They even had the car wrong! And the two tramps and the vagabond woman who had been caught with a busted typewriter -- nowthat was something! And that	LABEL_0	0.995645702
woman	1957	FIC	WapshotChronicle	  my very own lying there in the sea and there's not a man or woman in this part of the country with enough gumption or sense of honor to loan	LABEL_0	0.992420614
woman	1950	FIC	Harpers	  S UDDENLY all the people got up which surprised us both, and the old woman in her anxiety to make the right religious move, poked her umbrella into the	LABEL_0	0.990696549
woman	1953	FIC	ChildrenAreBored	  not even into space. It was a stare without meaning in destination. The woman began to lumber toward the soukh, carrying a basket under her barracan. She	LABEL_0	0.943059325
woman	1950	FIC	Mov:HuntManDown	  gay, and somehow tragic. ALICE (cont'd) Was there a -- woman with him? PAUL (reluctantly) Yes. -- 66 -- ALICE (with	LABEL_0	0.99241066
woman	1958	FIC	DaughterEve	  need to learn the art of dissembling. A man often became frightened and rejecteda woman when she showed him her feelings too clearly. But even as Powhatan looked at	LABEL_0	0.99478215
woman	1955	FIC	MissMorissaDoctor	  medical school and she already had professional standing there. What if she was a woman rejected, did life stop for that? Or was this suicide what she really	LABEL_0	0.979506373
woman	1952	FIC	Mov:SuddenFear	  an accident.... Lester.... LESTERYeah. Irene walks to right IRENEDo you remember that woman who tried to kill herself on Fire Island? LESTERSo? IRENEI took it away	LABEL_0	0.918430924
woman	1950	FIC	Town	  more than once. They yelled and carried on, but do you think that woman would come out of her house or even call from the window! " (	LABEL_0	0.969356
woman	1953	FIC	Landfall	  grayish hair; beside the bed, as motionless as the man, an elderly woman, crouching forward, her brooding, lined face, her bent shoulders imbued with	LABEL_0	0.973454177
woman	1959	FIC	Hex	  frightening, and who might do -- Well, don't be a foolish old woman, Mrs. Wladek told herself. Rudi would have told her that. But Rudi	LABEL_0	0.995071173
woman	1958	FIC	AnatomyMurder	  , the world's largest inland sea, as treacherous and deceitful as a spurned woman, either caressing or raging at the shore, more often turbulent than not,	LABEL_0	0.995647728
woman	1954	FIC	Harpers	  But when she walked across the cafe it was in the heavy tread of a woman already old and weighing two hundred pounds. " It's strange to realize,	LABEL_0	0.990984678
woman	1951	FIC	Mov:SealedCargo	  are now helping Skalder to the deck. 223C ANGLE SHOT - SIDE OF GAUNT WOMAN Anderson and the other men from the first dory scramble up the ladder; the	LABEL_0	0.772079945
woman	1952	FIC	Sybil	  should not be immediatelyreconciled to her husband's return. She was a highly moral woman, and Philip's misconduct had been a grave disappointment to her. As a	LABEL_0	0.993277133
woman	1952	FIC	Harpers	  halfway to her feet, straining and struggling for air. Carol and the thin woman held her, eased her back. " Did you get someone? " Carol	LABEL_0	0.982875705
woman	1957	FIC	Harpers	  and emptiness for her, " I will tell you the story of a young woman who once lived in a house of many rooms filled with the long-ago laughter of	LABEL_0	0.979360223
woman	1958	FIC	Maggie-Now	  of cinders. " " Oh, smell that country air! " said a woman in the seat behind them. " Just smell it! " " Yeah,	LABEL_0	0.989334881
woman	1957	FIC	WapshotChronicle	  brindle bush of hair like beard. Plain face. Man enters picture. Strikes woman. Draws curtains. Went on walking to river. Resolved never to walk by	LABEL_0	0.994410694
woman	1951	FIC	GodsMen	  beside the stove. " And I ast you was it real rape. A woman don't rape easy or if she do, it ain't rape. "	LABEL_0	0.992727518
woman	1952	FIC	Harpers	  fingers? " twopounds-fifteen. ". " Wbas' sat? " said the woman, stupidly. Her face grew woeful, sullen. " Don wana.giviterme. Y'don	LABEL_0	0.991892576
woman	1954	FIC	Play:CypriansPrayer	  know whether you know it, Cyprian, but that bed's got a dead woman in it. CYPRIAN What, the bed in your bedroom? CYRUS Yes.	LABEL_0	0.981317818
woman	1957	FIC	Play:Ione	  down old man, you are too tired to be fighting. And you, woman, do not spoil what is man work. (Achille goes.) p. 58	LABEL_0	0.990901709
woman	1957	FIC	DeathInFamily	  Mary said sympathetically. " Hit ain't shame I feel, " the old woman said, " hit's sick in the stummick. " " Oh I did	LABEL_0	0.992293596
woman	1953	FIC	Outsider	  " Darling, I've got something in my purse for burns, " the woman said and led her from sight, toward the women's lavatory. The waiter	LABEL_0	0.991141081
woman	1950	FIC	WorldEnoughTime	  never moved his hands from the blaze or lifted his head. It was a woman's face, the face of an old woman. The skin hung slackly from	LABEL_0	0.977707803
woman	1959	FIC	Mansion	  six hours. Jessica looked very tired. " Letty is a coarse, ill-tempered woman, " she said; " I've known it for some time. She	LABEL_0	0.993588328
woman	1952	FIC	LaughingKeepFrom	  past which Mrs. Dyer created for Ethel Cunningham hardly became a lady. " No woman could be so quiet today, " Mrs. Dyer said to me one evening,	LABEL_0	0.989639997
woman	1955	FIC	MissMorissaDoctor	  's store, the boy called Eddie Ellis. Yet when she looked at the woman more closely Morissa had decided it was no joke. And now it was night	LABEL_0	0.957025409
woman	1956	FIC	Play:Workers	  We are only passing through the valley of the shadow of transition. 2ND OLD WOMAN You are true. Slaves do not wait, pause over and meditate on death	LABEL_0	0.971469522
woman	1959	FIC	WalkWithPeril	  harshly treated by a father who thought to prepare him for a throne. The woman had been pretty. But he remembered mostly the burning. And the retching that	LABEL_0	0.993970275
woman	1954	FIC	Harpers	  Pullman gives a gasp, and Mrs. Bromley asks Mr. Lawler quite audibly who that woman is. Mr. Pullman now reduces Mary Singer to my dear Madam. We are	LABEL_0	0.991317153
woman	1956	FIC	Compulsion	  desperate over her own inadequacy -- a girl trying to play the role of a woman. He is silent, caught in some bleak indescribable horror; it is surely	LABEL_0	0.989573896
woman	1958	FIC	DaughterEve	  not what she had been and she realized that her future was that of a woman, not a girl. Smith was all that she had imagined, and she	LABEL_0	0.985226214
woman	1951	FIC	Mov:SealedCargo	  stumbles, half-falls, moves on. 382B MED. SHOT - DECK OF GAUNT WOMAN Bannon, with Steve following, is running up the stairs from the waist to	LABEL_0	0.944284618
woman	1953	FIC	MurderInGunroom	  shouldn't have lied to McKenna. He checked up on your story; the woman across the street told him about seeing Pierre leave here a little before eleven and	LABEL_0	0.985571861
woman	1952	FIC	Play:JudgementInMorning	  tear it down, both of you! And tear me down! A poor woman! A poor woman! FRANCES WELLS I'm sorry I said that, Mother	LABEL_0	0.995512784
woman	1958	FIC	DaughterEve	  physical retaliation and punishment if Barney should rape her. What else could the poor woman do or say? And after all, how in hell could she know what	LABEL_0	0.99442333
woman	1950	FIC	Play:LittleBlueLight	  be really nasty to a woman! GANDERSHEIM A woman! What kind of a woman are you? I thought you didn't want to be a woman. You	LABEL_0	0.994853675
woman	1952	FIC	YetOtherWaters	  , my mother, may God have mercy on her soul, was a sick woman, and I took care of her.... But you young people	LABEL_0	0.988881767
woman	1955	FIC	TontineVolumeI	  that she should face this motional impasse clearly. Hypocrisy was not among this warmhearted woman's vices. Here in the wilderness, at long last, she too had	LABEL_0	0.994214833
woman	1958	FIC	StarmansQuest	  angry. " Nag, nag, nag! You're worse than an old woman! Why don't you keep quiet the way you did last night, and	LABEL_0	0.995320618
woman	1956	FIC	BoonIsland	  " Navy asked Mama curiously. " Can any woman become a whore? Any woman at all? " " Anyone at all, " Mama was optimistic. "	LABEL_0	0.593560755
woman	1952	FIC	Harpers	  we said it was all right. You know Mr. Cano? " " Peculiar-looking woman, " reproached the other one. " Did you see the way she was	LABEL_0	0.98229903
woman	1950	FIC	Town	  cut down enough trees to eat. He didn't have no house and no woman. The rest wouldn't let him. I used to feel kinda sorry for	LABEL_0	0.994017243
woman	1958	FIC	Spartacus	  , no one will pay ten denarii for him. And a man needs a woman. I buy the incorrigibles because they are cheap, and if I can't	LABEL_0	0.982145548
woman	1957	FIC	Stop-OverTokyo	  " What's the matter, Jack? " she asked. It was a woman's question. They always knew when something was the matter. | " It's	LABEL_0	0.848620534
woman	1958	FIC	MountainRoad	  that there were only three people alert. In the corner, Collins and the woman were sitting on a bedroll and Kwan, taut and slim, was talking to	LABEL_0	0.944278777
woman	1958	FIC	HardBlueSky	  know. One assumes, all too frequently, that the mere presence of a woman in a respectable familyis enough to ensure that her reputation is above reproach. It	LABEL_0	0.612417638
woman	1951	FIC	ReturnParadise	  loggia and a terrace with geraniums and with goldfinches in cages, and a broad-sterned woman was hangingout a hot red shirt to dry. He would be seeing real Florentines	LABEL_0	0.90660888
woman	1955	FIC	TenNorthFrederick	  , anyway? I swear, I'm going to turn vegetarian. " The woman started to mutter when she saw the uneaten steak, but after one glance at	LABEL_0	0.990601659
woman	1959	FIC	Hawaii	  of our shame. " " You talk like a boy, " the placid-faced woman chided. " When I was a boy, " he corrected, " if	LABEL_0	0.994543552
woman	1953	FIC	ReturnLannyBudd	  one of them is a spy. Ask yourself, Which one, man or woman, and what is he informing about you and putting on the record? When	LABEL_0	0.709555149
woman	1956	FIC	LucyCrown	  up, and dressed hurriedly and mechanically, anxiously looking atp238the clock, like a woman with a train to catch. She looked in the mirror before leaving the room	LABEL_0	0.925443828
woman	1956	FIC	KingParis	  " It was a voice that didn't sound at all like that of a woman with a mustache showing on her upper lip. " I beg your pardon,	LABEL_0	0.990685999
woman	1954	FIC	ThirdGeneration	  was haunted with so many hurting memories -- and they went to room with a woman across from the campus entrance. They fixed their own meals, sharing the cookingbetween	LABEL_0	0.990270019
woman	1959	FIC	WalkWithPeril	  " This... this... you'd best drown it, woman! " His mother flung the nearest missile at her child, then pursued him	LABEL_0	0.948503196
woman	1955	FIC	Harpers	  it was definitely lower.' Didn't I tell you sot' the old woman said to me triumphantly.' It's the grace of God, just like	LABEL_0	0.578558385
woman	1950	FIC	Mov:HuntManDown	  walls. The two men peer curiously at the woman. 99 MED. SHOT woman. She is a blowzy sloven of forty or so, her face grim and	LABEL_0	0.990856409
woman	1957	FIC	FlowerDrumSong	  her to a drink or two. " " This afternoon he took a pockmarked woman to a foreign bar, " Wang Chi-yang said. " And they drank and	LABEL_0	0.972349644
woman	1957	FIC	VelvetHorn	  All right, " Robert said. " My mother is a low, terrible woman and everybody agrees on that. But what has that got to do with the	LABEL_0	0.97457248
woman	1955	FIC	Harpers	  suddenly dawned on me where I was and what was happening. The toothless old woman was evidently a dream interpreter. She turned back to me. " You heard	LABEL_0	0.968727887
woman	1959	FIC	IDontThink	  of his business; leave that to the ecologists. " Birds? " the woman asked. It was an unfamiliar word to her. " Different kinds of chickens	LABEL_0	0.862188756
woman	1955	FIC	CharmedLife	  Reduced and brought down!' " She'd run over to that old nigger woman she had and lean her head on the old nigger's shoulder and say,	LABEL_0	0.981006682
woman	1952	FIC	Harpers	  're really sorry? " " Wouldn't do at all, " said the woman. " I really had a fine time. " " I guess so,	LABEL_0	0.955058992
woman	1950	FIC	Harpers	  vertical as a monument " Oh, laws, oh lawsie, " the old woman was in a fluster. " Not Ady -- that's just what I'm	LABEL_0	0.954100907
woman	1955	FIC	Victory	  creeping up on hands and knees. The rags of clothes indicated it was a woman and the knife in one hand spelled murder! Duke snapped himself upright to a	LABEL_0	0.99503243
woman	1955	FIC	BangDrumSlowly	  that yell doubtless have had, but you must remember that a nun is a woman too.... I left the world when I was twenty-one. The	LABEL_0	0.977256894
woman	1955	FIC	QuicksilverPool	  Lora? Must you add to them by striking up a ridiculous friendship with this woman who has done nothing but injure me? " " This is scarcely a friendship	LABEL_0	0.994128466
woman	1958	FIC	WinthropWoman	  and the sickle from Pa and ran to the tool shed. Morn was a woman that didn't want anything lying in the front yard. She kept the house	LABEL_0	0.990378022
woman	1950	FIC	Town	  still comes to the house, they say, and sits and talks to that woman and asks her advicejust as if she was still his mother-in-law! " Miss Bogardus	LABEL_0	0.992679596
woman	1959	FIC	TentsWickedness	  road to the world at last.... How I had misjudged the woman, as menace! She wasn't the American Puritan at all, only the	LABEL_0	0.995419145
woman	1955	FIC	MissMorissaDoctor	  . All I can say, ma'am, is I never expected to see no woman doc get mixed in no job like this? " Morissa smiled wearily, pushing	LABEL_0	0.98475337
woman	1952	FIC	WonderfulCity	  riding, " said the stranger, " on Puerto Street in a pair of woman's lace drawers. " " Nothing I can do for him, " the	LABEL_0	0.976353288
woman	1952	FIC	LaughingKeepFrom	  wouldn't say that. " " You mean you wouldn't defend a colored woman whosep5husband was knocking her down? " asked the poet. Before the visitor had	LABEL_0	0.974139571
woman	1957	FIC	RallyRoundFlag	  " " Well, from the time she came here she was any man's woman. Shobono says this is her first pregnancy, so she can't he much	LABEL_0	0.977727532
woman	1952	FIC	Build-Up	  men during the Revolutionary War. Shocking. " " My great-grandmother was a brilliant woman. The morals of the time were such that she got a bad reputation.	LABEL_0	0.948162317
woman	1953	FIC	ChildrenAreBored	  You aren't forgetting the water, are you, Billings? " said the woman in a distracted way, and when the man said he was not, she	LABEL_0	0.886094153
woman	1957	FIC	WapshotChronicle	  wasting your breath upon them, once their minds were made up. However the woman known as Daft Lori was another matter and with her MacDhui meant to deal as	LABEL_0	0.956120133
woman	1953	FIC	GoldenApplesSun	  and therefore why should he take chances? " What's the matter with this woman? What are you, the husband? She doesn't wear a wedding band	LABEL_0	0.925799966
woman	1953	FIC	Landfall	  blue cards in this drawer, where do I look next? " and the woman, " We can have duplicates made, but it's always irritating to the	LABEL_0	0.989278316
woman	1955	FIC	Play:CaveDwellers	  the weather was against us, but even in the worst weather, with the woman, we have always managed to earn something. (To the DUKE) All	LABEL_0	0.699180901
woman	1952	FIC	Harpers	  " Balance,? 3.15, " on the parcel. The next time the woman came in she was embarrassingly garrulous, and insisted on offering Miss Pierce a cigarette	LABEL_0	0.993962705
woman	1953	FIC	GoldenApplesSun	  keep the pot boiling, man returns to his cave, his fire, his woman. Well, he had the cave and the woman, and there was no	LABEL_0	0.95767349
woman	1951	FIC	Play:MissMabel	  and my soul is a marching. JEREMIAH (Enters) Stop it, old woman! ILAHEE (Releases HARRISON and goes to MISS MABEL, kneeling gratefully) p.	LABEL_0	0.530822217
woman	1957	FIC	WapshotChronicle	  him and just from hearing her talk you'd think she was the happiest married woman in the world but he was... " " Coverly, " Betsey screamed.	LABEL_0	0.905334711
woman	1954	FIC	Messiah	  the others were triumphant though all seemed to feel that they, as the automat woman had said, would soon be on his tail. Ours was no longer a	LABEL_0	0.985022128
woman	1950	FIC	Play:StringPearls	  in by the thousands, my dear sister, to see a play about a woman taken out of her misery by a man. That's every woman's dream	LABEL_0	0.989988506
woman	1950	FIC	Disenchanted	  , I want you to have this. " When she closed it into the woman's hand, her own hand recoiledat the boniness. The old woman neither protested	LABEL_0	0.987757564
