Text,date,link,year
"En substance : dans un train, une femme fait tomber son porte-monnaie",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/11-septembre-pourquoi-tant-de-rumeurs_1569862_1569588.html,2011
" Le cas d'Aurore Martin, une militante basque de 32 ans sous le coup d'un mandat d'arrêt européen émis par l'Espagne, illustre cette ambiguité : cette jeune femme est poursuivie en Espagne pour ""participation à une organisation terroriste"", en raison de sonappartenance à Batasuna, une organisation politique interdite au-delà des Pyrénées",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011
"Certaines anecdotes ont le mérite de faire sourire, parfois, comme l'histoire d'une femme qui a survécu ""grâce à [ses] chaussures neuves""",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/dix-ans-apres-les-attentats-la-presse-mondiale-se-souvient_1570674_1569588.html,2011
"Bush, président au moment des attentats, et de sa femme Laura",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/l-amerique-commemore-le-11-septembre_1570675_1569588.html,2011
" Après la fin des cours, je suis rentré à mon domicile où se trouvait ma femme, elle-même enseignante d'anglais et, à cette période, enceinte de notre premier enfant",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
"Outre les films, livres, BD ou pièces de théâtre, des chansons de la pop ou du rock contemporain évoquent Le Chemin des Dames (titre récent de Soldat Louis), la mort dans les tranchées (Sanseverino, Le Dormeur du val vivant), les mutineries (Prisca, Soldats de plomb) ou La Femme du soldat inconnu (les Femmouzes T)",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/la-memoire-en-chantiers_1107318_736535.html,2008
"La cause des tirailleurs m'a, profondément, intéressé, depuis ma prime jeunesse, ayant été témoin des séparations douloureuses de ces milliers d'hommes et de femmes avec leur famille et leur terroir, qui, en 1939-1940, ont quitté l'Afrique, pour voler au secours de la France, battue et occupée par l'Allemagne",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/pour-le-president-du-senegal-l-africain-est-bien-installe-dans-l-histoire_1107562_736535.html,2008
"Nos ancêtres, dès le XIIIème siècle, ont élaboré un droit de la personne humaine respectueux de la dignité, de la vie, de la femme, de l'enfant, de l'esclave, de l'étranger et ont imaginé des règles harmonieuses de vie, en jetant les bases d'un "" commun vouloir de vie commune "", aux termes d'un débat profond et d'un consensus librement partagé",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/pour-le-president-du-senegal-l-africain-est-bien-installe-dans-l-histoire_1107562_736535.html,2008
"Mariette, sa femme, conservait précieusement dans un portefeuille une carte postale en couleurs de Turin qu'elle me faisait lire",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" Plusieurs chaînes avaient décidé de célébrer, à leur façon, mardi 8 mars, la Journée des femmes",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005
" Sur France 2, tout d'abord, où Sophie Davant présentait le destin de quelques femmes hors du commun avec la finesse d'une animatrice de supermarché vantant le rayon des produits frais",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005
" Sur M6, un psy, très sûr de lui, se faisait fort d'aider des jeunes femmes, en grande difficulté personnelle, en se rendant chez elles et en intervenant directement dans leurs vies",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005
" Restait évidemment, en fin de soirée, sur France 3, l'émission de Christine Ockrent, ""France Europe Express"", excellente d'ordinaire, et consacrée elle aussi aux femmes",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005
" Même le sondage BVA selon lequel 87 % des hommes, en France, accepteraient qu'une femme devienne président de la République ne lui inspirait que des platitudes",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005
" Ainsi le cas de cet homme qui a tué sa femme à coups de hache, en décembre 1941, pour la manger",2005-03-10,https://www.lemonde.fr/a-la-une/article/2005/03/10/television-huit-cent-mille-fantomes_401146_3208.html,2005
"On prête à Aristide Maillol cette anecdote : sollicité pour réaliser un monument allégorique, il aurait répondu que ce serait une femme nue, car rien ne faisait une meilleure sculpture",2005-03-12,https://www.lemonde.fr/a-la-une/article/2005/03/12/les-dessins-caches-de-gustav-klimt-adorateur-du-corps-feminin_401425_3208.html,2005
"Il a son type : une jeune femme d'entre 20 et 25 ans, plus jeune parfois",2005-03-12,https://www.lemonde.fr/a-la-une/article/2005/03/12/les-dessins-caches-de-gustav-klimt-adorateur-du-corps-feminin_401425_3208.html,2005
"Il a toujours vigoureusement démenti avoir voulu solliciter les services de cette jeune femme, comme il l'expose longuement dans son livre, où il s'interroge sur une éventuelle machination à son encontre",2005-03-17,https://www.lemonde.fr/a-la-une/article/2005/03/17/dominique-ambiel-tente-de-regler-ses-comptes-dans-son-livre_402027_3208.html,2005
Cette femme aurait-elle le pas militaire dans le sang,2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
" ""Avez-vous bien réfléchi à ce que pourrait être la réaction des armées à la nomination d'une femme",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"MAM, ""la première femme",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
" Une femme qui en a vu d'autres : deux fois ministre et ex-présidente d'un parti historiquement machiste, le RPR",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"Une femme divorcée de Michel Alliot, haut gradé de l'université , qui ne joue pas la solidarité féminine et ne veut pas entendre parler de ""parité""",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"Une femme élevée à la dure, entre un père au tempérament trempé et à l'accent du Sud-Ouest qui l'éduque avec sa sœur comme une équipe de rugby, avec exigence et sans les traiter ""en filles"", et une mère d'origine polonaise, chef d'entreprise, qui lui apprend ""à avoir des plumes de canard : quand il pleut, l'eau glisse sur toi""",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
" Une femme à la langue bien pendue, dont l'histoire retient déjà quelques mots à la Sacha Guitry",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"A un huissier de l'Assemblée qui lui fait remarquer que le port du pantalon dans l'hémicycle est interdit aux femmes, elle répond du tac au tac : ""Voulez-vous que je l'enlève",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"Distribuant facilement bises et accolades, ayant une attention supplémentaire pour les femmes du régiment, n'hésitant jamais, en bonne sportive, à sauter en parachute",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"Et trouvent leur intérêt à avoir pour ministre une femme d'appareil, dotée d'un poids politique, plutôt qu'un haut fonctionnaire techniquement incollable",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
" A la tête des armées, l'un des corps de l'Etat qui a montré le plus d'aptitude à se réformer (se professionnalisant, intégrant les femmes, les jeunes issus de l'immigration), MAM est si à son aise qu'elle clame volontiers avoir refusé les affaires étrangères, dans le deuxième gouvernement Raffarin",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
Egalité dont elle compte bien faire bénéficier les femmes,2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"MAM l'antiféministe, révoltée contre la parité qu'elle considère comme une insulte (""cela laisse planer le soupçon qu'une femme n'est pas là pour sa compétence""), n'en est pas moins volontariste pour la promotion des femmes",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
"Elle a créé des déjeuners de femmes ministres, ""pas pour dire du mal des hommes, même si c'est marrant"", mais pour faire bénéficier les autres femmes de sa propre expérience, avec ses embûches",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
Sa femme a dû se remettre à travailler à l'extérieur,2005-03-21,https://www.lemonde.fr/a-la-une/article/2005/03/21/les-francs-tireurs-de-la-vigne_629606_3208.html,2005
J'ai cru comprendre qu'il fréquente plusieurs femmes ces temps-ci,2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
"Une femme, accusée de violence sur ses enfants, a été chassée de chez elle par son nouvel amant et n'a plus accès à son chargeur : pas très grave, un officier va intervenir",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
"Joe n'a pas le droit de revoir son ex-femme, qui l'accuse de coups et blessures",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
"Celle-ci a déménagé, mais il a découvert sa nouvelle adresse et, un soir, il s'est mis à rôder dans les parages : ""Nous avions créé une zone d'exclusion autour de la nouvelle maison de sa femme, mais sans le prévenir",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
"Et toujours il a rebondi, avec une capacité à sortir de scène par une porte et à rentrer par une autre qui le prédestinait au théâtre de boulevard là précisément où il triomphe aujourd'hui, dans une pièce dont il énonce fièrement le titre : Un beau salaud, l'histoire d'un mari compulsivement volage, rattrapé par ses femmes et ses mensonges à tiroirs",2005-04-06,https://www.lemonde.fr/a-la-une/article/2005/04/06/tapie-a-la-man-uvre_635913_3208.html,2005
" Dans la semaine, le milliardaire déchu réside toujours, avec femme, enfants et petits-enfants, dans son fameux hôtel particulier de la rue des Saints-Pères, à Paris",2005-04-06,https://www.lemonde.fr/a-la-une/article/2005/04/06/tapie-a-la-man-uvre_635913_3208.html,2005
"Habité d'une méfiance obsessionnelle pour tout ce qui sort du cercle intime des ""siens"", son noyau familial, sa femme et ses deux enfants, Yehoudit et Ariel, il n'entretient avec les autres que des relations utilitaires",2006-01-07,https://www.lemonde.fr/a-la-une/article/2006/01/07/arik-scheinerman-de-kfar-malal_728453_3208.html,2006
Deux femmes palestiniennes sont abattues près du puits,2006-01-07,https://www.lemonde.fr/a-la-une/article/2006/01/07/arik-scheinerman-de-kfar-malal_728453_3208.html,2006
"Il avait, effectivement, perdu le fils de sa première femme, décédé enfant après avoir manipulé l'arme chargée de son père",2006-01-07,https://www.lemonde.fr/a-la-une/article/2006/01/07/arik-scheinerman-de-kfar-malal_728453_3208.html,2006
"La pique a à peine fait ciller cette forte femme au visage carré, âgée de 54 ans, sans enfant, et ""mariée à l'Etat""",2006-01-16,https://www.lemonde.fr/a-la-une/article/2006/01/16/la-prefete-et-la-rue-de-la-soif_731132_3208.html,2006
femme,2006-01-28,https://www.lemonde.fr/a-la-une/article/2006/01/28/le-tabou-homo-des-cites_735502_3208.html,2006
"Adhérente à Angel 91, association homosexuelle des Hauts-de-Seine, ce bout de femme dans la cinquantaine a toujours parlé ouvertement de sa préférence",2006-01-28,https://www.lemonde.fr/a-la-une/article/2006/01/28/le-tabou-homo-des-cites_735502_3208.html,2006
"L'homme récuse vivement l'image de ""météore"" et de ""femme politique en escarpins"" qui accompagne sa protégée",2006-02-08,https://www.lemonde.fr/a-la-une/article/2006/02/08/aux-sources-du-phenomene-royal_739138_3208.html,2006
"En récompense, on vous donnera des femmes",2006-02-14,https://www.lemonde.fr/a-la-une/article/2006/02/14/touchez-pas-a-mon-prophete_741364_3208.html,2006
"D'abord, en tant que femme de culture musulmane, qui a vécu jusqu'à 22 ans en Tunisie et vu, petit à petit, la censure s'instaurer",2006-02-14,https://www.lemonde.fr/a-la-une/article/2006/02/14/touchez-pas-a-mon-prophete_741364_3208.html,2006
"L'armée et la police ne viennent pas, et pour entrer et sortir du village il faut un laissez-passer des maoïstes"", précise la jeune femme, qui travaille aujourd'hui comme couturière pour environ 24 euros par mois",2006-02-18,https://www.lemonde.fr/a-la-une/article/2006/02/18/les-nepalais-entre-deux-peurs_742773_3208.html,2006
"A la ""une"", un titre provocant : ""Une femme filme son mari faisant l'amour avec un homme""",2006-03-03,https://www.lemonde.fr/a-la-une/article/2006/03/03/le-nouveau-quotidien-shams-flirte-avec-la-ligne-rouge_747288_3208.html,2006
La famille charge ses employés de mettre en caisses la marchandise ; la femme de l'ambassadeur américain doit organiser le transfert,2006-03-11,https://www.lemonde.fr/a-la-une/article/2006/03/11/a-la-recherche-de-l-argenterie-du-comte-orloff_749823_3208.html,2006
"A ma connaissance, les cloches ont été achetées par Edouard Le Roux chez Jacques Helft en 1932 et offertes à sa femme en cadeau de mariage",2006-03-11,https://www.lemonde.fr/a-la-une/article/2006/03/11/a-la-recherche-de-l-argenterie-du-comte-orloff_749823_3208.html,2006
"L'aubergiste Paul Renucci possède aussi avec sa femme l'Auberge du col Saint-Georges, sur la route qui mène à Propriano",2006-03-15,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006
L'une des jeunes femmes s'est mise à pleurer,2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
Et c'est l'unique endroit où une femme peut obtenir une interruption volontaire de grossesse dans tout l'Etat du Dakota du Sud,2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
"Pour la seule année 2005, 52 lois ont été adoptées au niveau local imposant des restrictions : notification parentale pour les mineures, délai supplémentaire de réflexion, lecture d'un texte qui informe la femme que le père de l'enfant peut être contraint de subvenir à ses besoins, ou qu'elle peut abandonner son enfant à la naissance",2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
"Toutes les mesures ne sont pas aussi radicales, mais le débat est devenu tellement épidermique que le camp ""pro-choice"" a fini par considérer toute évolution comme une atteinte intolérable aux droits des femmes",2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
"L'an dernier, le Congrès local a ordonné que les médecins préviennent les femmes qui veulent avorter qu'elles s'apprêtent à mettre un terme à la vie d'un ""être en tant que tel, unique et entier""",2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
"Après avoir monté un centre de crise pour femmes enceintes, elle a fait de Sioux Falls le siège national de son mouvement de promotion de l'abstinence, un réseau subventionné par l'administration Bush",2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
"Les prises électriques ""n'étaient pas aux normes de sécurité"", en cas d'orage, les femmes auraient pu ""être électrocutées""",2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
Les femmes sont dûment informées,2006-03-20,https://www.lemonde.fr/a-la-une/article/2006/03/20/avortements-heroiques-a-sioux-falls_752680_3208.html,2006
