Text,link,year,aspect,sentiment,prob
Avril Pendant la semaine de Pâques dans le cadre de la réquisition de travailleurs organisée par les autorités allemandes en territoires occupés des milliers de femmes sont déplacées sur ordre du général von Graevenitz gouverneur de Lille,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/1916-les-longues-batailles-de-verdun-et-de-la-somme_1107599_736535.html,2008.0,femmes,Neutral,0.7827776074409485
La cause des tirailleurs m a profondément intéressé depuis ma prime jeunesse ayant été témoin des séparations douloureuses de ces milliers d hommes et de femmes avec leur famille et leur terroir qui en 1939 1940 ont quitté l Afrique pour voler au secours de la France battue et occupée par l Allemagne,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/pour-le-president-du-senegal-l-africain-est-bien-installe-dans-l-histoire_1107562_736535.html,2008.0,femmes,Positive,0.8420736193656921
Ensuite repensez à ces hommes ces femmes et ces enfants qui auront pu monter à bord et ne vous focalisez pas sur ceux à qui nous n aurons pas pu porter secours les prévient il,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/03/direction-la-libye-a-bord-de-l-aquarius-vous-allez-vivre-des-moments-extremes_4962868_3212.html,2016.0,femmes,Negative,0.9060489535331726
Vidé de ses passagers de son air marqué du sceau de l équipe de secours l ex radeau 100 plastique à qui une centaine d hommes et de femmes avaient confié leur vie se voit condamné à l errance au gré des vents,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/14/canots-blancs-gris-ou-en-bois-typologie-des-esquifs-sauves-par-l-aquarius_4969550_4961323.html,2016.0,femmes,Negative,0.6932671070098877
Les femmes et les enfants sont le plus souvent dans les cales et leur remontée sur le pont à notre approche est excessivement dangereuse résume Bertrand Thiébault le sauveteur français de l équipe,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/14/canots-blancs-gris-ou-en-bois-typologie-des-esquifs-sauves-par-l-aquarius_4969550_4961323.html,2016.0,femmes,Neutral,0.9702726006507874
Entassés au milieu du bateau femmes et enfants en sont les premières victimes car c est sur elles que se renversent les jerricanes,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/14/canots-blancs-gris-ou-en-bois-typologie-des-esquifs-sauves-par-l-aquarius_4969550_4961323.html,2016.0,femmes,Negative,0.9911900758743286
Et pourtant quand ils tombent le gilet de sauvetage et ôtent le casque ils redeviennent des humains meurtris par les souffrances des enfants des femmes et des hommes qu ils recueillent,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/17/sur-l-aquarius-tous-les-metiers-menent-au-sauvetage_4970762_4961323.html,2016.0,femmes,Negative,0.980119526386261
Sur l Aquarius mardi les esprits restent marqués par l état à leur arrivée des 136 migrants du sauvetage et surtout des 27 femmes et 6 enfants de moins de 5 ans du canot repéré tôt le matin et pris en charge entre 7 h 30 et 9 h 15,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,femmes,Neutral,0.737153172492981
Intoxiquées par la respiration de solvants Dans la clinique des femmes Angelina Perri la sage femme italienne de MSF qui gère le lieu ne sait par qui commencer,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,femmes,Neutral,0.5262231826782227
Je craignais que ces femmes ne soient très gravement brûlées observe t elle,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,femmes,Negative,0.9578293561935425
Pendant que les hommes écopaient les femmes disent avoir beaucoup prié et hurlé,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,femmes,Negative,0.980156660079956
Rien ne sera jamais pire que ce qu on a pu vivre au Nigeria Dans le refuge des femmes d Angelina Perri Victoria s est fait une place juste en face de Merline,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,femmes,Neutral,0.5433763861656189
Deux femmes moins de 25 ans cinq femmes moins de 30 ans La liste est longue de celles qui ne verront jamais l Europe,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016.0,"femmes', 'femmes","Neutral', 'Neutral","0.9556095004081726, 0.9556095004081726"
C est elle qui a constaté les décès elle qui s occupe un à un des corps des 21 femmes et de l homme morts au fond d un canot qui voguait vers l Europe,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016.0,femmes,Neutral,0.6959987878799438
Dans la clinique d Angelina Perri la sage femme les larmes coulent sans fin parce qu il est enfin possible à ces femmes de pleurer,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016.0,femmes,Positive,0.8931827545166016
