Text,date,link,year
" Fille d'expatriés français aux Etats-Unis, j'avais alors 10 ans et vivais en Californie",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
"Orpheline très jeune, elle ne savait ni lire ni écrire et il lui fallait faire appel aux voisins pour lire les lettres de son mari et lui répondre, car leur fille Maria n'avait que 3 ans en 1914",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
"d'une adorable allemande petite-fille de vétérans de Stalingrad et de la Crimée, j'ai trois enfants de 8 ans et demi, 6 ans et 3 ans et demi",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
Ses mains menues qui ressemblent à celles d’une petite fille palpent sans arrêt le tissu de sa combinaison de toile,2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
"On ne nous agressera plus pour notre religion », observe la jeune fille en joignant ses mains",2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
" Puisque vraiment nos yeux ne se fermaient pas, le lecteur de DVD a avalé sans protester un Simenon digne et désespéré après le suicide de sa fille tant aimée Marie-Jo, d'un coup de pistolet dans la poitrine",2005-02-18,https://www.lemonde.fr/a-la-une/article/2005/02/18/pivot-strophes_398730_3208.html,2005
"Entre les mémoires intimes de sa fille et l'hommage du cinéaste, qui nous présente un président finissant, détaché des contingences, philosophe éclairé faisant l'éducation d'un jeune disciple, la politique, réelle et concrète, a disparu",2005-03-08,https://www.lemonde.fr/a-la-une/article/2005/03/08/au-vif-castoriadis-et-notre-basse-epoque_400864_3208.html,2005
" Au Chili, une femme se présente toujours de la même manière : ""Je m'appelle Viviane Diaz, fille de Victor Manuel Diaz Lopez, arrêté et porté disparu le 12 mai 1976",2005-03-08,https://www.lemonde.fr/a-la-une/article/2005/03/08/maux-de-femmes_400853_3208.html,2005
"Le 21 janvier 1942, cette jeune mère de 18 ans noie sa fille née peu de temps auparavant, la découpe et la mange",2005-03-10,https://www.lemonde.fr/a-la-une/article/2005/03/10/television-huit-cent-mille-fantomes_401146_3208.html,2005
"Pour les Etats-Unis, les éditions Viking ont acquis ce ""récit d'apprentissage autour du rapport père-fille"" pour la coquette somme de 600 000 dollars, tandis qu'en Italie Bompiani l'a emporté pour 100 000 euros",2005-03-16,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005
