Text,link,year,aspect,sentiment,prob
fille d expatriés français aux Etats Unis j avais alors 10 ans et vivais en Californie,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011.0,fille,Positive,0.5365752577781677
Orpheline très jeune elle ne savait ni lire ni écrire et il lui fallait faire appel aux voisins pour lire les lettres de son mari et lui répondre car leur fille Maria n avait que 3 ans en 1914,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,fille,Negative,0.9839357137680054
d une adorable allemande petite fille de vétérans de Stalingrad et de la Crimée j ai trois enfants de 8 ans et demi 6 ans et 3 ans et demi,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,fille,Positive,0.9504744410514832
Ses mains menues qui ressemblent à celles d une petite fille palpent sans arrêt le tissu de sa combinaison de toile,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,fille,Negative,0.9885517358779907
On ne nous agressera plus pour notre religion observe la jeune fille en joignant ses mains,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,fille,Negative,0.6376736760139465
Puisque vraiment nos yeux ne se fermaient pas le lecteur de DVD a avalé sans protester un Simenon digne et désespéré après le suicide de sa fille tant aimée Marie Jo d un coup de pistolet dans la poitrine,https://www.lemonde.fr/a-la-une/article/2005/02/18/pivot-strophes_398730_3208.html,2005.0,fille,Negative,0.6823660135269165
Entre les mémoires intimes de sa fille et l hommage du cinéaste qui nous présente un président finissant détaché des contingences philosophe éclairé faisant l éducation d un jeune disciple la politique réelle et concrète a disparu,https://www.lemonde.fr/a-la-une/article/2005/03/08/au-vif-castoriadis-et-notre-basse-epoque_400864_3208.html,2005.0,fille,Positive,0.5729288458824158
Au Chili une femme se présente toujours de la même manière Je m appelle Viviane Diaz fille de Victor Manuel Diaz Lopez arrêté et porté disparu le 12 mai 1976,https://www.lemonde.fr/a-la-une/article/2005/03/08/maux-de-femmes_400853_3208.html,2005.0,fille,Negative,0.5069922804832458
Le 21 janvier 1942 cette jeune mère de 18 ans noie sa fille née peu de temps auparavant la découpe et la mange,https://www.lemonde.fr/a-la-une/article/2005/03/10/television-huit-cent-mille-fantomes_401146_3208.html,2005.0,fille,Negative,0.8396152853965759
Pour les Etats Unis les éditions Viking ont acquis ce récit d apprentissage autour du rapport père fille pour la coquette somme de 600 000 dollars tandis qu en Italie Bompiani l a emporté pour 100 000 euros,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005.0,fille,Positive,0.6062670350074768
Un ministère placé sous l autorité directe du chef de l Etat pour celle qui parvint à s imposer sans réseau politique puissant il n y a pas d alliot maristes comme il y a des sarkoziens mais en gardant toujours autour d elle sa famille son père et sa mère qu elle appelle tous les jours son compagnon Patrick Ollier rebaptisé POM pour Patrick Ollier Marie actif dans son ascension au sein du RPR et sa nièce Ludivine Olive la fille qu elle n a pas eue selon Bernard Marie et qui est devenue son chef de cabinet,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,fille,Positive,0.9701186418533325
La fille de ce dernier la comédienne Sophie Mayer n a t elle pas tourné à ses côtés dans un épisode du Commissaire Valence la série policière de TF1 dont il est le héros,https://www.lemonde.fr/a-la-une/article/2005/04/06/tapie-a-la-man-uvre_635913_3208.html,2005.0,fille,Neutral,0.7332051396369934
Sa fille aînée qui tient un petit commerce lui a prêté 250 dollars,https://www.lemonde.fr/a-la-une/article/2005/04/12/cambodge-une-si-longue-convalescence_638331_3208.html,2005.0,fille,Positive,0.9296192526817322
Jusqu à son dernier jour Olivier Merlin garda sa flamboyance à la voix cassée dévora les journaux tint chaque matin à sa fille une revue de presse humoristique et féroce saoula ses interlocuteurs par ses commentaires sur l actualité du monde et le récit de lui même,https://www.lemonde.fr/a-la-une/article/2005/04/23/olivier-merlin-un-enchante-de-la-vie_642271_3208.html,2005.0,fille,Negative,0.9412947297096252
Je suis une fille de Dewsbury moi,https://www.lemonde.fr/a-la-une/article/2005/04/29/sayeeda-contre-shahid-une-election-a-l-anglaise_644585_3208.html,2005.0,fille,Neutral,0.6725722551345825
Pour mener à bien ce projet un peu fou réunir à la même table deux des plus grandes figures des affaires internationales Samir Traboulsi mise sur l aide de la fille de l armateur Christina Onassis,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005.0,fille,Negative,0.5197619199752808
Une fille de diplomates donc qui n a pas sa langue dans sa poche,https://www.lemonde.fr/a-la-une/article/2005/05/07/jacques-chirac-de-a-a-z_647197_3208.html,2005.0,fille,Negative,0.9210405349731445
Les Guignols font de Chirac un loser complètement disjoncté se plaint sa fille Claude,https://www.lemonde.fr/a-la-une/article/2005/05/07/jacques-chirac-de-a-a-z_647197_3208.html,2005.0,fille,Negative,0.990394651889801
A la naissance de sa fille il est en prison,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005.0,fille,Negative,0.9885342717170715
Ayaan est une petite fille sage et sérieuse admirant à la fois sa mère soucieuse de faire respecter la religion à la lettre et son père héros politique dont les études en Occident n ont pas ébranlé la foi quoique l ayant convaincu de faire quelques entorses aux coutumes initiateur des campagnes d alphabétisation il exige que ses filles poursuivent des études et s oppose à leur excision,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005.0,"fille', 'fille","Positive', 'Positive","0.9301071763038635, 0.9301071763038635"
