Text,date,link,year
"Ces filles s’appelaient Mama, Blexi, Paulina, Younis ou Daxi",2016-07-20,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016
« J’ai tiré trois filles par les épaules qui étaient près de moi et allaient se noyer dans le mélange toxique,2016-07-20,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016
"Des filles qui étaient assises au milieu se sont trouvées prisonnières et ont été écrasées ou noyées dans l’eau mélangée à beaucoup d’essence renversée », raconte Ousmane",2016-07-20,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016
"Une femme élevée à la dure, entre un père au tempérament trempé et à l'accent du Sud-Ouest qui l'éduque avec sa sœur comme une équipe de rugby, avec exigence et sans les traiter ""en filles"", et une mère d'origine polonaise, chef d'entreprise, qui lui apprend ""à avoir des plumes de canard : quand il pleut, l'eau glisse sur toi""",2005-03-19,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005
Mais pas question de prendre la douche avec les autres filles,2005-04-04,https://www.lemonde.fr/a-la-une/article/2005/04/04/vieillir-avec-le-sida_634998_3208.html,2005
"Dans les maisons de rendez-vous, Madonna, Hollywood, CNN ou Tokyo, les filles, leur numéro bien en vue, s'alignent derrière une grande vitre",2005-04-12,https://www.lemonde.fr/a-la-une/article/2005/04/12/cambodge-une-si-longue-convalescence_638331_3208.html,2005
" Il habitait avec la dernière de ses filles, Benjamine, qu'il avait eue à 60 ans et dont il avait obtenu la garde",2005-04-23,https://www.lemonde.fr/a-la-une/article/2005/04/23/olivier-merlin-un-enchante-de-la-vie_642271_3208.html,2005
Car la fratrie d'Ayaan se composait de deux filles et d'un fils,2005-05-17,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005
" Ayaan est une petite fille sage et sérieuse, admirant à la fois sa mère, soucieuse de faire respecter la religion à la lettre, et son père, héros politique dont les études en Occident n'ont pas ébranlé la foi, quoique l'ayant convaincu de faire quelques entorses aux coutumes : initiateur des campagnes d'alphabétisation, il exige que ses filles poursuivent des études et s'oppose à leur excision",2005-05-17,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005
" Dans son école pour filles, à Nairobi, les élèves manquent souvent à l'appel",2005-05-17,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005
