Text,date,link,year
Un frère puis son père meurent en 1903,2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Il intègre le premier régiment de marche de la légion étrangère de Sidi Bel Abbes, y retrouve par hasard son frère Céleste",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Il assiste à l'hécatombe, soigne son frère, blessé au combat",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Avec Céleste et un autre frère, Bonfils, il monte une entreprise de ramonage et de chaudronnerie",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
" Après la Libération, sa société Ponticelli frères continue de prospérer",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Antoine, mon grand-père qui avait participé à la bataille de la Marne, où son frère François avait été tué, n'avait pas connu Verdun",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" - Mémoires de nos pères, grands-pères et arrières-grands-pères par Pierre Morel Arrière-petit-fils de zouave et de poilu gazé et amputé à Verdun, petit-fils de déporté au sto, fils de vétéran de la Guerre d'Algérie, futur beau-frère (je le souhaite à mon frère",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
Il explique que son frère est resté en Libye et qu’il est sans nouvelle de lui depuis qu’il a pris la mer,2018-09-22,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2018/09/22/sur-l-aquarius-maintenant-mon-futur-est-entre-vos-mains_5358787_4961323.html,2018
"Son retrait de la vie politique a d'ailleurs coïncidé avec la mort de son frère, l'acteur Philippe Léotard",2005-03-07,https://www.lemonde.fr/a-la-une/article/2005/03/07/television-l-homme-qui-n-aime-plus-la-politique_400706_3208.html,2005
"Son frère, engagé dans la Résistance, sera le seul rescapé de la famille",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/en-1914-les-juifs-francais-derriere-le-drapeau_400973_3208.html,2005
" ""François-Henri craint l'échéance, c'est la meilleure garantie pour qu'il réussisse"", estime Martin Bouygues, autre""fils de"", qui est pour lui comme un grand frère",2005-03-21,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005
"Il comprend aussi le groupe Seibu-Saison, fer de lance de la révolution de la consommation dans les années 1970-1980, arbitre des modes et mécène avant-gardiste, longtemps dirigé par Seiji Tsutsumi, un demi-frère de Yoshiaki",2005-04-01,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005
"Quant à son frère, Evan Greenberg, il dirige ACE, une importante compagnie installée aux Bermudes",2005-04-27,https://www.lemonde.fr/a-la-une/article/2005/04/27/fin-de-partie-pour-maurice-hank-greenberg_643481_3208.html,2005
"Il avait adopté un style oscillant entre le producteur américain éclairé sur le modèle des frères Ertegun, fondateurs du prestigieux label Atlantic (Ray Charles, John Coltrane, Aretha Franklin) et la pire caricature du puissant patron de groupe",2005-05-14,https://www.lemonde.fr/a-la-une/article/2005/05/14/eddie-barclay-monsieur-varietes_649868_3208.html,2005
"Pour Orlando, le frère de Dalida, artiste maison, ""il a cassé l'image du producteur assis derrière son bureau en créant des relations amicales avec les artistes""",2005-05-14,https://www.lemonde.fr/a-la-une/article/2005/05/14/eddie-barclay-monsieur-varietes_649868_3208.html,2005
"J'ai connu ses parents, son frère et sa première femme, ce dont peu de gens peuvent se vanter en général, ils ont d'abord connu la seconde",2005-05-14,https://www.lemonde.fr/a-la-une/article/2005/05/14/eddie-barclay-monsieur-varietes_649868_3208.html,2005
"Après, mon frère a mis l'intégrale",2005-07-18,https://www.lemonde.fr/a-la-une/article/2005/07/18/je-t-aime-moi-non-plus_673407_3208.html,2005
"A peine plus âgé, le Français Louis de Broglie, passé de l'histoire à la physique sous l'influence de son frère",2005-08-23,https://www.lemonde.fr/a-la-une/article/2005/08/23/einstein-fait-eclater-la-physique-par-jerome-fenoglio_682013_3208.html,2005
"Maciej est ""Frère Zieba"", prieur de la province dominicaine de Pologne",2005-08-30,https://www.lemonde.fr/a-la-une/article/2005/08/30/pologne-solidarite-perdue_683739_3208.html,2005
"Mais dans une autre vie, le frère fut pourtant un opposant actif, ""considéré comme dangereux par la police secrète qui [le] surveillait en permanence"", sourit-il",2005-08-30,https://www.lemonde.fr/a-la-une/article/2005/08/30/pologne-solidarite-perdue_683739_3208.html,2005
"A tel point que le Frère Zieba n'hésite pas à parler d'""un climat d'hystérie collective anticléricale"" au début des années 1990, d'""une guerre froide religieuse"" orchestrée notamment par le quotidien Gazeta Wyborcza et son ""ami"" Michnik",2005-08-30,https://www.lemonde.fr/a-la-une/article/2005/08/30/pologne-solidarite-perdue_683739_3208.html,2005
Frère Zieba y veille,2005-08-30,https://www.lemonde.fr/a-la-une/article/2005/08/30/pologne-solidarite-perdue_683739_3208.html,2005
" Son frère l'écoute, sourit",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Ces deux-là, frères de Nadia B",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Elle marche d'un pas svelte dans les rues de La Courneuve, parle du ""grand respect"" qu'elle a pour ses frères et de son amour intact pour Mahmoud",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
Ses frères et Mahmoud sont en prison,2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Si elle est du genre trop traditionnel, je n'ai pas envie de polémiquer avec les frères, je préfère laisser béton",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Portrait paru dans Le Monde daté du 23 octobre 2005 Le principe est simple : ""Mon frère et moi, moi et mon frère, avons souvent eu raison avant les autres",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" ""Moi et mon frère, mon frère et moi",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"Jaroslaw, né quarante-cinq minutes avant son frère, est le tout puissant président du parti conservateur Droit et justice (PiS), sorti vainqueur des législatives du 25 septembre 2005",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"Contre toute attente, il a renoncé à devenir premier ministre pour ne pas entraver la course de son frère vers la présidence",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"Dans la réalité, Lech remplace son frère au collège pour les interrogations en lettres quand Jaroslaw se charge des matières scientifiques",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"Son frère, célibataire endurci, demeure dans la capitale polonaise, au sein du cocon familial, une petite maison un peu vieillotte située dans le quartier tranquille et résidentiel de Zoliborz où on le voit se rendre à la messe dominicale, bras dessus-bras dessous avec sa vieille maman Jadwiga",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" A Gdansk, son frère Lech devient, lui aussi, un agitateur professionnel au cœur du bastion de la contestation polonaise",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
 Les trajectoires comparables des deux frères et leur gémellité n'en font pas pour autant des clones,2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" Les deux frères, catholiques fervents, rassurent la partie la plus traditionaliste de l'électorat",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"L'ancien dissident souligne également les ""limites"" des deux frères en matière de politique étrangère",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" Tel est le cocktail des frères Kaczynski : une bonne dose de patriotisme, un pouvoir présidentiel et un Etat forts, protecteurs des faibles, de la morale et de la sécurité",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
