Text,link,year,aspect,sentiment,prob
Un frère puis son père meurent en 1903,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,frère,Negative,0.6029097437858582
Il intègre le premier régiment de marche de la légion étrangère de Sidi Bel Abbes y retrouve par hasard son frère Céleste,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,frère,Positive,0.8908821940422058
Il assiste à l hécatombe soigne son frère blessé au combat,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,frère,Negative,0.7828201055526733
Avec Céleste et un autre frère Bonfils il monte une entreprise de ramonage et de chaudronnerie,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,frère,Neutral,0.8815850615501404
Antoine mon grand père qui avait participé à la bataille de la Marne où son frère François avait été tué n avait pas connu Verdun,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,frère,Negative,0.46624720096588135
Mémoires de nos pères grands pères et arrières grands pères par Pierre Morel Arrière petit fils de zouave et de poilu gazé et amputé à Verdun petit fils de déporté au sto fils de vétéran de la Guerre d Algérie futur beau frère je le souhaite à mon frère,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,"frère', 'frère","Positive', 'Positive","0.9463697075843811, 0.9463697075843811"
Il explique que son frère est resté en Libye et qu il est sans nouvelle de lui depuis qu il a pris la mer,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2018/09/22/sur-l-aquarius-maintenant-mon-futur-est-entre-vos-mains_5358787_4961323.html,2018.0,frère,Negative,0.5385938882827759
Son retrait de la vie politique a d ailleurs coïncidé avec la mort de son frère l acteur Philippe Léotard,https://www.lemonde.fr/a-la-une/article/2005/03/07/television-l-homme-qui-n-aime-plus-la-politique_400706_3208.html,2005.0,frère,Negative,0.9040738940238953
Son frère engagé dans la Résistance sera le seul rescapé de la famille,https://www.lemonde.fr/a-la-une/article/2005/03/09/en-1914-les-juifs-francais-derriere-le-drapeau_400973_3208.html,2005.0,frère,Positive,0.9781093597412109
François Henri craint l échéance c est la meilleure garantie pour qu il réussisse estime Martin Bouygues autre fils de qui est pour lui comme un grand frère,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,frère,Positive,0.9834082126617432
Il comprend aussi le groupe Seibu Saison fer de lance de la révolution de la consommation dans les années 1970 1980 arbitre des modes et mécène avant gardiste longtemps dirigé par Seiji Tsutsumi un demi frère de Yoshiaki,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005.0,frère,Positive,0.6369765400886536
