Text,date,link,year
" Après la Libération, sa société Ponticelli frères continue de prospérer",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Je ne sais pas si ma mère, mes frères et sœurs sont morts ou vivants",2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
"D'autant que, non content de dénoncer les truquages, il gagne des médailles et séduit des clients privilégiés, comme Gagnaire, les frères Troisgros",2005-03-21,https://www.lemonde.fr/a-la-une/article/2005/03/21/les-francs-tireurs-de-la-vigne_629606_3208.html,2005
"Comme ses deux frères, il se tourne vers celui de son père, éditorialiste au Temps, où il entre en 1930 aux côtés d'Hubert Beuve-Méry",2005-04-23,https://www.lemonde.fr/a-la-une/article/2005/04/23/olivier-merlin-un-enchante-de-la-vie_642271_3208.html,2005
"Jusqu'en 1971, les frères Raoul et André Matossian, installés en Egypte, étaient en effet les principaux liens entre les pays arabes et la France",2005-04-30,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005
"Les frères Matossian sont écartés par Adnan Kashoggi, qui entend conserver son monopole avec les Saoudiens, brusquement enrichis par l'envolée des cours du pétrole",2005-04-30,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005
"Il avait adopté un style oscillant entre le producteur américain éclairé sur le modèle des frères Ertegun, fondateurs du prestigieux label Atlantic (Ray Charles, John Coltrane, Aretha Franklin) et la pire caricature du puissant patron de groupe",2005-05-14,https://www.lemonde.fr/a-la-une/article/2005/05/14/eddie-barclay-monsieur-varietes_649868_3208.html,2005
" A leur corps défendant, les acteurs sont devenus des conseillers, des grands frères, bref, les prescripteurs qui, apparemment, manquent aux citoyens du XXIe siècle",2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
Six de ses sept frères et soeurs ne lui parlent plus,2005-09-23,https://www.lemonde.fr/a-la-une/article/2005/09/23/tali-fahima-une-israelienne-trop-curieuse_692170_3208.html,2005
"Ces deux-là, frères de Nadia B",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Elle marche d'un pas svelte dans les rues de La Courneuve, parle du ""grand respect"" qu'elle a pour ses frères et de son amour intact pour Mahmoud",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
Ses frères et Mahmoud sont en prison,2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Si elle est du genre trop traditionnel, je n'ai pas envie de polémiquer avec les frères, je préfère laisser béton",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
 Les trajectoires comparables des deux frères et leur gémellité n'en font pas pour autant des clones,2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" Les deux frères, catholiques fervents, rassurent la partie la plus traditionaliste de l'électorat",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"L'ancien dissident souligne également les ""limites"" des deux frères en matière de politique étrangère",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
" Tel est le cocktail des frères Kaczynski : une bonne dose de patriotisme, un pouvoir présidentiel et un Etat forts, protecteurs des faibles, de la morale et de la sécurité",2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
Mais les frères Kaczynski ont compris que c'est là que les élections se gagneront,2005-10-22,https://www.lemonde.fr/a-la-une/article/2005/10/22/les-deux-canards_702393_3208.html,2005
"On rencontre des ""chefs de famille"" juvéniles, comme Saba, 12 ans, qui a perdu ses deux parents et sa grand-mère et a désormais la responsabilité de sa sœur et de ses deux petits frères",2005-10-24,https://www.lemonde.fr/a-la-une/article/2005/10/24/les-enfants-malades-du-sida_702731_3208.html,2005
"Il lutte contre les pratiques esclavagistes, s’inquiète de la confusion entre colonisation et « mission » évangélisatrice : « Sauront-ils séparer entre les soldats et les prêtres, voir en nous des ministres de la paix et des frères universels",2005-11-13,https://www.lemonde.fr/a-la-une/article/2005/11/13/charles-de-foucauld-un-marabout-au-sahara_709614_3208.html,2005
J'ai deux frères,2005-11-19,https://www.lemonde.fr/a-la-une/article/2005/11/19/un-soir-au-pied-des-barres_712002_3208.html,2005
"Depuis toute petite, c'est le moyen qu'elle a trouvé pour citer, dans l'ordre, tous ses frères et sœurs",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" De l'affaire d'Outreau, les frères et sœurs de Dominique Wiel connaissent tout, dans les moindres détails",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" Les trois sœurs s'étaient alors mises à évoquer, comme un temps déjà lointain, ces trente mois durant lesquels elles et leurs frères franchissaient trois fois par semaine les grilles de la prison de Fleury-Mérogis, dans l'Essonne, où il était incarcéré",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" Pour faciliter les choses, certains des frères et sœurs ont suggéré Internet et la messagerie électronique",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" ""J'ai senti un peu de distance avec mes frères et soeurs à ce moment-là, se souvient Michel, mais cela n'a jamais posé de vrais problèmes",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
"Ses frères et sœurs, pense-t-il, ""viendront maintenant plus souvent boire le café""",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
Une femme a cru que l'un de ses frères était à bord du pick-up irakien et a enterré des restes qu'elle a prélevés dans le véhicule,2005-12-18,https://www.lemonde.fr/a-la-une/article/2005/12/18/l-enigme-fred-nerac-premier-journaliste-disparu-en-irak_722521_3208.html,2005
" Daniel, me dit son avocate, c'est le starests Zosime dans les Frères Karamazov : le starests est ce personnage religieux ""qui absorbe votre volonté dans les siennes",2005-12-21,https://www.lemonde.fr/a-la-une/article/2005/12/21/la-possedee-de-moldavie_723455_3208.html,2005
"Pour échapper à la pauvreté — seulement trois de ses sept frères ont survécu —, sa famille s'est installée dans le Chapare (département de Cochabamba), où la feuille de coca destinée au trafic de drogue a proliféré depuis vingt-cinq ans sur des parcelles individuelles",2006-01-21,https://www.lemonde.fr/a-la-une/article/2006/01/21/evo-morales-un-homme-ambigu_733234_3208.html,2006
"Fin 1999, le Hamas ""fut autorisé depuis Damas (alors tuteur imposé du pays du Cèdre) à récupérer à son profit les réseaux religieux que les Frères musulmans libanais avaient tissés dans les camps palestiniens du Liban"", rapporte Bernard Rougier dans son ouvrage Le Djihad au quotidien (PUF, 2004), remarquable enquête sur les djihadistes dans les camps de réfugiés palestiniens du Liban",2006-02-01,https://www.lemonde.fr/a-la-une/article/2006/02/01/l-espoir-des-palestiniens-en-exil_736722_3208.html,2006
" A la Libération, Jacques Helft retrouve chez les frères Louis et Jean Bonnefoy, antiquaires ""Au Vieux Paris"", 283 des 1 712 pièces disparues",2006-03-11,https://www.lemonde.fr/a-la-une/article/2006/03/11/a-la-recherche-de-l-argenterie-du-comte-orloff_749823_3208.html,2006
"Dans l'autre camp, à Bastia, un magasin où l'un des frères Guazelli, présenté comme proche du gang de la Brise de mer, aurait des intérêts a été pris pour cible",2006-03-15,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006
"Peu après sa mort, une nuit, la maison familiale du village de Batchi Iourt est cernée, les frères de la disparue sont massacrés, ""un terrible carnage"", rapporte un témoin",2006-05-09,https://www.lemonde.fr/a-la-une/article/2006/05/09/dans-le-huis-clos-tchetchene_769705_3208.html,2006
"« J’ai deux petits frères, là-bas », dit soudain Robert",2006-05-15,https://www.lemonde.fr/a-la-une/article/2006/05/15/pieds-noirs-retour-a-alger_771844_3208.html,2006
"Les deux petits frères sont à Saint-Eugène, le cimetière chrétien d’Alger, de même que le père, les deux grands-mères et les deux grands-pères de Robert",2006-05-15,https://www.lemonde.fr/a-la-une/article/2006/05/15/pieds-noirs-retour-a-alger_771844_3208.html,2006
"Il raconte que Merrill Lynch, son ancien employeur, comptait parmi ses clients le fonds de pension de la fortunée famille Ben Laden, géré par un Tanzanien, et qu'il avait approché un des nombreux demi-frères du ""cheikh"", Yeslam Ben Laden",2006-05-30,https://www.lemonde.fr/a-la-une/article/2006/05/30/imad-lahoud-pietre-agent-secret-bon-chef-d-equipe-scientifique_777732_3208.html,2006
