Text,link,year,aspect,sentiment,prob
Après la Libération sa société Ponticelli frères continue de prospérer,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,frères,Neutral,0.5418933033943176
Je ne sais pas si ma mère mes frères et sœurs sont morts ou vivants,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,frères,Neutral,0.5229222774505615
D autant que non content de dénoncer les truquages il gagne des médailles et séduit des clients privilégiés comme Gagnaire les frères Troisgros,https://www.lemonde.fr/a-la-une/article/2005/03/21/les-francs-tireurs-de-la-vigne_629606_3208.html,2005.0,frères,Positive,0.5056552290916443
Comme ses deux frères il se tourne vers celui de son père éditorialiste au Temps où il entre en 1930 aux côtés d Hubert Beuve Méry,https://www.lemonde.fr/a-la-une/article/2005/04/23/olivier-merlin-un-enchante-de-la-vie_642271_3208.html,2005.0,frères,Neutral,0.9501383304595947
Jusqu en 1971 les frères Raoul et André Matossian installés en Egypte étaient en effet les principaux liens entre les pays arabes et la France,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005.0,frères,Positive,0.9488399028778076
Les frères Matossian sont écartés par Adnan Kashoggi qui entend conserver son monopole avec les Saoudiens brusquement enrichis par l envolée des cours du pétrole,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005.0,frères,Neutral,0.8931540250778198
Il avait adopté un style oscillant entre le producteur américain éclairé sur le modèle des frères Ertegun fondateurs du prestigieux label Atlantic Ray Charles John Coltrane Aretha Franklin et la pire caricature du puissant patron de groupe,https://www.lemonde.fr/a-la-une/article/2005/05/14/eddie-barclay-monsieur-varietes_649868_3208.html,2005.0,frères,Negative,0.8363381624221802
A leur corps défendant les acteurs sont devenus des conseillers des grands frères bref les prescripteurs qui apparemment manquent aux citoyens du XXIe siècle,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005.0,frères,Negative,0.6168509125709534
Six de ses sept frères et soeurs ne lui parlent plus,https://www.lemonde.fr/a-la-une/article/2005/09/23/tali-fahima-une-israelienne-trop-curieuse_692170_3208.html,2005.0,frères,Negative,0.981285572052002
Ces deux là frères de Nadia B,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005.0,frères,Positive,0.9920177459716797
Elle marche d un pas svelte dans les rues de La Courneuve parle du grand respect qu elle a pour ses frères et de son amour intact pour Mahmoud,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005.0,frères,Positive,0.9768621325492859
