Text,date,link,year
"Beaucoup d'éditeurs cherchent un nouveau Harry Potter - ainsi Hodder a acquis pour une ""somme substantielle"" l'histoire d'un jeune garçon pourchassé par un ptérodactyle (Stoneheart, de Charlie Fletcher)",2005-03-16,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005
"Puis elle étudie les déplacements d'un garçon de 24 ans, réputé violent, qui possède une entreprise de bâtiment et qui vient d'embaucher deux hommes placés comme lui sous GPS : ""Bizarre"", pense-t-elle",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
" A l'époque, Ayaan partageait sa vie avec un garçon sans être mariée, buvait volontiers de l'alcool, horrifiait ses parents traditionalistes mais priait encore Allah",2005-05-17,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005
Blanche et Thomas le garçon qui sert l'apéro au Mistral les ont ressentis début 2005,2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
"Malgré une direction photo, des décors et une réalisation qui hésitent entre ""Hélène et les garçons"" et ""l'Homme de Picardie"", l'audience décolle",2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
" Dans la série, Laurent Kerusoré est un garçon de bar homosexuel",2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
"Depuis, on écrit au garçon comme à ce voisin qu'on n'a pas",2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
Le garçon a proposé aux filles de l'accompagner ; elles ont tenté de le convaincre de rentrer boire une bière,2005-07-23,https://www.lemonde.fr/a-la-une/article/2005/07/23/l-homme-a-la-main-coupee-par-charlie-buffet_674951_3208.html,2005
"Un garçon l'a draguée dans la rue, ""très gentiment"" , en lui disant qu'elle était belle",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"Un Comorien, Mahmoud, est soupçonné d'avoir tiré la balle perdue qui a tué le garçon, lors d'une bagarre avec deux Tunisiens",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
