Text,link,year,aspect,sentiment,prob
Beaucoup d éditeurs cherchent un nouveau Harry Potter ainsi Hodder a acquis pour une somme substantielle l histoire d un jeune garçon pourchassé par un ptérodactyle Stoneheart de Charlie Fletcher,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005.0,garçon,Positive,0.8810060024261475
Puis elle étudie les déplacements d un garçon de 24 ans réputé violent qui possède une entreprise de bâtiment et qui vient d embaucher deux hommes placés comme lui sous GPS Bizarre pense t elle,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005.0,garçon,Negative,0.9956614375114441
A l époque Ayaan partageait sa vie avec un garçon sans être mariée buvait volontiers de l alcool horrifiait ses parents traditionalistes mais priait encore Allah,https://www.lemonde.fr/a-la-une/article/2005/05/17/l-insoumise-de-la-haye_650685_3208.html,2005.0,garçon,Neutral,0.8926802277565002
Blanche et Thomas le garçon qui sert l apéro au Mistral les ont ressentis début 2005,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005.0,garçon,Positive,0.838485836982727
Dans la série Laurent Kerusoré est un garçon de bar homosexuel,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005.0,garçon,Negative,0.6741321086883545
Depuis on écrit au garçon comme à ce voisin qu on n a pas,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005.0,garçon,Negative,0.9523195028305054
Le garçon a proposé aux filles de l accompagner elles ont tenté de le convaincre de rentrer boire une bière,https://www.lemonde.fr/a-la-une/article/2005/07/23/l-homme-a-la-main-coupee-par-charlie-buffet_674951_3208.html,2005.0,garçon,Positive,0.5392759442329407
Un garçon l a draguée dans la rue très gentiment en lui disant qu elle était belle,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005.0,garçon,Positive,0.7615082859992981
Un Comorien Mahmoud est soupçonné d avoir tiré la balle perdue qui a tué le garçon lors d une bagarre avec deux Tunisiens,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005.0,garçon,Negative,0.9798282980918884
Mariam ne lâche pas des yeux son petit garçon de 10 mois qui commence à crapahuter à quatre pattes elle a peur qu il gratte les murs et porte à la bouche la peinture qui s écaille,https://www.lemonde.fr/a-la-une/article/2005/10/15/un-jour-dans-une-vie-de-squat_699803_3208.html,2005.0,garçon,Positive,0.6508349776268005
Ce vrai garçon manqué comme elle aime à se définir a jadis appartenu au groupe,https://www.lemonde.fr/a-la-une/article/2005/11/19/un-soir-au-pied-des-barres_712002_3208.html,2005.0,garçon,Negative,0.9701421856880188
Il a l air d un garçon fragile,https://www.lemonde.fr/a-la-une/article/2005/11/23/faycal-daouadji-30-ans-conseiller-parlementaire-est-arrive-en-france-a-16-ans_713251_3208.html,2005.0,garçon,Negative,0.9858077764511108
L ancien ministre avait pris l affaire à coeur son fils était l un des amis d Alexandre Nérac un grand garçon de 19 ans au regard mélancolique étudiant en photographie à Bruxelles,https://www.lemonde.fr/a-la-une/article/2005/12/18/l-enigme-fred-nerac-premier-journaliste-disparu-en-irak_722521_3208.html,2005.0,garçon,Positive,0.9803722500801086
avait demandé le garçon,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006.0,garçon,Negative,0.8357584476470947
Ebahie l Afrique du Sud découvrait l ampleur du drame une fille sur trois et un garçon sur cinq sont victimes de viols ou d attouchements avant l âge de 18 ans selon les estimations de l association Childline,https://www.lemonde.fr/a-la-une/article/2006/04/22/enfances-violees-en-afrique-du-sud_764334_3208.html,2006.0,garçon,Negative,0.9954518675804138
Un garçon m a acheté un portable et ensuite il a voulu coucher avec moi,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006.0,garçon,Negative,0.9885291457176208
Sa mère à présent décédée a déclaré qu il était un petit garçon tendre et affectueux,https://www.lemonde.fr/a-la-une/article/2006/06/09/al-zarkaoui-mort-d-un-tueur_781487_3208.html,2006.0,garçon,Positive,0.9897729754447937
Mais elle l aime et dans Libération en février 2004 cingle les insolents A chaque fois que je sortais avec un garçon je ne lui demandais pas si son grand père avait été pétainiste,https://www.lemonde.fr/a-la-une/article/2006/06/27/la-chute-de-la-maison-de-savoie_788748_3208.html,2006.0,garçon,Positive,0.6903163194656372
Au Flore Sartre écrivit une grande partie de L Etre et le Néant où figurent deux pages mémorables sur l être en soi du garçon de café que l on étudie encore au lycée,https://www.lemonde.fr/a-la-une/article/2006/07/22/paris-les-deux-magots_797756_3208.html,2006.0,garçon,Positive,0.9619401693344116
Tout le monde est allé se coucher à l exception d un jeune garçon resté au gouvernail,https://www.lemonde.fr/a-la-une/article/2006/07/29/tresors-et-pirates_799596_3208.html,2006.0,garçon,Negative,0.9000686407089233
Elle raconte sans ménagement le viol de ce bébé de 7 mois celui de cet enfant de 2 ans ou encore ce jeune garçon noyé tandis qu un toxicomane de 18 ans abusait de lui,https://www.lemonde.fr/a-la-une/article/2006/09/06/l-art-cadastral-des-aborigenes_810091_3208.html,2006.0,garçon,Negative,0.9975486397743225
En 1994 alors que le petit garçon a 4 ans l aïeule voit sonner à sa porte un couple d Italiens qui lui apprend avoir adopté le petit Silviu,https://www.lemonde.fr/a-la-une/article/2006/10/20/roumanie-ex-supermarche-de-l-adoption_825807_3208.html,2006.0,garçon,Negative,0.5751351714134216
Je veux me ranger un peu maintenant que je suis père explique en souriant ce géant doux et généreux à la voix chaude aux allures de Boy George et d Elvis Presley tout en couvant des yeux un petit garçon de 2 ans qui lui ressemble,https://www.lemonde.fr/a-la-une/article/2006/10/21/ramadan-a-oran_826136_3208.html,2006.0,garçon,Positive,0.9338911175727844
L autre jour au collège un garçon s est moqué d elle,https://www.lemonde.fr/a-la-une/article/2006/11/03/le-cauchemar-des-musulmans-americains_830486_3208.html,2006.0,garçon,Negative,0.9956833124160767
a braillé le garçon de 5 ans quand sa mère lui a appris la bonne nouvelle,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006.0,garçon,Negative,0.3674185574054718
Si le garçon est paralysé par la peur il peut être adapté de prescrire un traitement de courte durée juste le temps qu il prenne confiance en lui,https://www.lemonde.fr/a-la-une/article/2006/12/06/qui-vivra-viagra_842549_3208.html,2006.0,garçon,Negative,0.42073526978492737
En 2004 les interrogateurs notent qu Omar est un garçon intelligent et instruit qui comprend la gravité de ses actes et de ses affiliations et qui a souvent été coopératif et sincère,https://www.lemonde.fr/a-la-une/article/2011/04/27/des-enfants-soldats-devenus-enfants-prisonniers_1513617_3208.html,2011.0,garçon,Positive,0.9932540059089661
interroge un petit garçon le nez collé à la vitrine,https://www.lemonde.fr/a-la-une/article/2012/12/22/en-vitrine-les-sacs-de-luxe-ont-remplace-les-peluches_1801971_3208.html,2012.0,garçon,Negative,0.9936351776123047
A Salaheddine par exemple c est Abou Nazer un gros garçon timide de 38 ans qui a été choisi pour diriger le conseil,https://www.lemonde.fr/a-la-une/article/2012/12/28/vivre-et-mourir-au-rythme-des-combats-dans-les-rues-d-alep_1811125_3208.html,2012.0,garçon,Positive,0.6893192529678345
Dans ce fracas digne d un enfer enjoué lundi vers 0 h 28 déboule de la rue Bastiat un garçon en fauteuil électrique,https://www.lemonde.fr/a-la-une/article/2013/08/04/les-rois-de-la-glisse-a-bayonne_3457099_3208.html,2013.0,garçon,Negative,0.9872032999992371
INSTANT PARFAIT Au carrefour le garçon dans son fauteuil évolue avec grâce salue les uns embrasse les autres et lance une idée,https://www.lemonde.fr/a-la-une/article/2013/08/04/les-rois-de-la-glisse-a-bayonne_3457099_3208.html,2013.0,garçon,Positive,0.9983653426170349
Les Fêtes vous absentent et laissent ouvert à l autre un garçon en fauteuil qui se laisse pousser pour le pur plaisir de faire les Fêtes,https://www.lemonde.fr/a-la-une/article/2013/08/04/les-rois-de-la-glisse-a-bayonne_3457099_3208.html,2013.0,garçon,Negative,0.9767335653305054
Zoukafricanism c est un garçon Aymeric une fille Laurine alias King Fish et Gossip et un musicien quand même Alex on sent les gros malins du marketing viral mais ce n est pas le sujet,https://www.lemonde.fr/a-la-une/article/2013/08/13/les-mots-de-l-ete-chore_3460939_3208.html,2013.0,garçon,Neutral,0.9663719534873962
Depuis Un barrage contre le Pacifique jusqu à L Amant de la Chine du Nord en passant bien sûr par L Amant le personnage de l homme du bac s incarnera en trois avatars distincts le monsieur Jo du Barrage est blanc l amant sans nom de L Amant est le Chinois de Sadec quant au personnage de la dernière resucée si l on peut dire celui de L Amant de la Chine du Nord qui revisite pour la dernière fois le mythe d un œil cinématographique c est le même homme mais plus beau garçon et physiquement moins faible que son avatar précédent opiomane et indolent fils à papa,https://www.lemonde.fr/a-la-une/article/2013/08/13/marguerite-duras-au-vietnam-liaisons-dangereuses-a-sadec_3460946_3208.html,2013.0,garçon,Positive,0.9737123847007751
Un garçon torse nu un gros bandage sur l épaule est allongé sur le canapé,https://www.lemonde.fr/a-la-une/article/2013/08/26/au-caire-une-rue-dans-la-revolution_3466688_3208.html,2013.0,garçon,Negative,0.9879959225654602
Il désigne une banderole Mando notre héros nous ne t oublierons pas est il écrit à côté d un grand garçon joufflu et baraqué,https://www.lemonde.fr/a-la-une/article/2013/08/26/au-caire-une-rue-dans-la-revolution_3466688_3208.html,2013.0,garçon,Negative,0.7849283218383789
