Text,link,year,aspect,sentiment,prob
Le jury comprenait notamment David Barrie un des arrière petits neveux du créateur de Peter Pan et des garçons perdus,https://www.lemonde.fr/a-la-une/article/2005/03/13/la-suite-de-peter-pan-sera-ecrite-par-une-britannique_401445_3208.html,2005.0,garçons,Negative,0.9921443462371826
Malgré une direction photo des décors et une réalisation qui hésitent entre Hélène et les garçons et l Homme de Picardie l audience décolle,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005.0,garçons,Neutral,0.6184301376342773
A Jaji les garçons étudient dans un bâtiment retapé les filles sous les arbres faute de classes,https://www.lemonde.fr/a-la-une/article/2005/09/16/afghanistan-des-urnes-dans-le-chaos_689775_3208.html,2005.0,garçons,Neutral,0.5899118185043335
Sept filles et sept garçons,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005.0,garçons,Positive,0.6271615028381348
La radio et la télévision avaient annoncé que les deux garçons qui accusaient Dominique Wiel de viols avaient reconnu devant la cour d assises qu ils avaient menti,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005.0,garçons,Negative,0.8467872142791748
François le dernier des garçons s est porté volontaire pour gérer la trésorerie,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005.0,garçons,Neutral,0.9458838701248169
Dans la fratrie Wiel entre ceux des garçons qui s inscrivaient dans la tradition industrielle et commerçante familiale et ceux qui comme Michel et Dominique étaient engagés auprès du monde ouvrier les événements du printemps 68 n ont pas été vécus de la même manière,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005.0,garçons,Positive,0.685809314250946
Cette dernière subventionne en particulier un refuge construit par Phare pour héberger une vingtaine de garçons et de fillettes qui avaient été vendus en Thaïlande comme esclaves,https://www.lemonde.fr/a-la-une/article/2005/12/10/le-cirque-des-enfants-perdus_719860_3208.html,2005.0,garçons,Neutral,0.6686858534812927
Quand j allais avec les garçons on me disait Va avec les filles,https://www.lemonde.fr/a-la-une/article/2005/12/23/bill-et-melinda-gates-en-bienfaisance_724151_3208.html,2005.0,garçons,Negative,0.9249638319015503
Quand j allais avec les filles on me disait Va avec les garçons,https://www.lemonde.fr/a-la-une/article/2005/12/23/bill-et-melinda-gates-en-bienfaisance_724151_3208.html,2005.0,garçons,Negative,0.6242192983627319
Ils avaient pour la plupart entre 15 et 16 ans des garçons et des filles,https://www.lemonde.fr/a-la-une/article/2006/02/18/les-nepalais-entre-deux-peurs_742773_3208.html,2006.0,garçons,Neutral,0.9870644807815552
Les garçons en ont souvent pris quinze,https://www.lemonde.fr/a-la-une/article/2006/04/01/bielorussie-dastal_756976_3208.html,2006.0,garçons,Negative,0.915021538734436
28 mars 2006 14 ans violée par un ami de 20 ans 25 mars 5 ans violée par son père 19 mars trois garçons 12 13 et 14 ans agressés sexuellement par un grand père de 61 ans 28 février 10 ans violée par son beau père 27 février 11 ans violée par un instituteur,https://www.lemonde.fr/a-la-une/article/2006/04/22/enfances-violees-en-afrique-du-sud_764334_3208.html,2006.0,garçons,Neutral,0.6244801878929138
Et pour 25 des garçons une fille qui dit non pense oui,https://www.lemonde.fr/a-la-une/article/2006/04/22/enfances-violees-en-afrique-du-sud_764334_3208.html,2006.0,garçons,Neutral,0.4231167733669281
Ndèye reconnaît que les moyens de son élégance viennent des garçons,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006.0,garçons,Positive,0.774795651435852
C est le jeu entre garçons et filles,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006.0,garçons,Neutral,0.7686484456062317
Les deux hommes sont restés ce qu ils étaient petits garçons dans le modeste appartement parisien où la famille s est installée après le départ de Beyrouth en 1982,https://www.lemonde.fr/a-la-une/article/2006/05/30/les-coups-de-bluff-d-imad-lahoud_777731_3208.html,2006.0,garçons,Negative,0.7788292765617371
Elle m a dit Mais c est affreux tous les garçons sont en jeans,https://www.lemonde.fr/a-la-une/article/2006/05/30/les-coups-de-bluff-d-imad-lahoud_777731_3208.html,2006.0,garçons,Negative,0.9570946097373962
Cinq garçons sont alités,https://www.lemonde.fr/a-la-une/article/2006/05/31/la-cage-doree-des-cobayes_778117_3208.html,2006.0,garçons,Negative,0.8790934681892395
Les garçons portent les cheveux ras le lieutenant colonel Jacques Royal oblige ses fils à l adolescence à être enfants de troupe,https://www.lemonde.fr/a-la-une/article/2006/06/28/segolene-royal-la-fille-du-lieutenant-colonel_789232_3208.html,2006.0,garçons,Negative,0.9752838015556335
C est l avenir de ses garçons qu il veut d abord maîtriser,https://www.lemonde.fr/a-la-une/article/2006/06/28/segolene-royal-la-fille-du-lieutenant-colonel_789232_3208.html,2006.0,garçons,Positive,0.8917319178581238
Depuis onze ans elle apprend le ballet classique aux petites filles et à quelques petits garçons parmi les plus pauvres des quartiers les plus désolés de sa ville,https://www.lemonde.fr/a-la-une/article/2006/07/14/les-tutus-de-thereza-aguilar_795571_3208.html,2006.0,garçons,Neutral,0.8152656555175781
Les garçons portant un papillon noir prennent la commande et encaissent la monnaie les papillons blancs préparent les plateaux et servent les clients,https://www.lemonde.fr/a-la-une/article/2006/07/17/venise-le-florian_796101_3208.html,2006.0,garçons,Negative,0.9458485841751099
Il avait deux fils l un infirme il était muet l autre bien supérieur dans tous les domaines aux garçons de son âge appelé Atys,https://www.lemonde.fr/a-la-une/article/2006/07/31/la-chasse-tragique-du-fils-de-cresus_799838_3208.html,2006.0,garçons,Negative,0.4045279622077942
Sur un mur de la cuisine sont scotchés quelques dessins de ses deux garçons âgés de 10 et 12 ans représentant des joueurs du club de foot local de grands gaillards à la peau blanche,https://www.lemonde.fr/a-la-une/article/2006/10/25/les-mille-et-une-coleres-des-musulmans-de-sa-majeste_827409_3208.html,2006.0,garçons,Neutral,0.5902073383331299
Dans le vent et les embruns naissent donc un hangar une maison 3 filles et 4 garçons,https://www.lemonde.fr/a-la-une/article/2006/10/26/michel-desjoyeaux-le-professeur-de-solitude_827872_3208.html,2006.0,garçons,Neutral,0.947355329990387
Comme tous les petits garçons il est tout fier d avoir un papa qui travaille,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006.0,garçons,Positive,0.9124099612236023
C est tellement vrai qu un métier que l on croyait réservé aux pays les plus démunis a fait son apparition à Abidjan de jeunes garçons comblent les nids de poule de la chaussée et quémandent une piécette à l automobiliste de passage,https://www.lemonde.fr/a-la-une/article/2006/11/13/abidjan-pourrit-sur-pied_833869_3208.html,2006.0,garçons,Positive,0.9624909162521362
Or beaucoup de jeunes garçons semblent fascinés par le Viagra,https://www.lemonde.fr/a-la-une/article/2006/12/06/qui-vivra-viagra_842549_3208.html,2006.0,garçons,Positive,0.8921115398406982
Ils en ont élevé quatre avant d accueillir une quinzaine de filles et de garçons sans foyer,https://www.lemonde.fr/a-la-une/article/2011/03/04/une-lecture-tres-stricte-du-droit-des-homosexuels_1488669_3208.html,2011.0,garçons,Neutral,0.6147109270095825
Les interrogateurs apprécient leur franchise tout en refusant de considérer leur jeune âge comme une circonstance atténuante même s ils reconnaissent que dans les communautés où ces garçons ont grandi l obéissance aux aînés est la seule conduite imaginable,https://www.lemonde.fr/a-la-une/article/2011/04/27/des-enfants-soldats-devenus-enfants-prisonniers_1513617_3208.html,2011.0,garçons,Positive,0.49858173727989197
Les garçons ont un numéro et quand l un d entre eux tape dans l œil d une cliente elle le fait venir,https://www.lemonde.fr/a-la-une/article/2013/05/19/kristin-scott-thomas-la-metamorphose_3351129_3208.html,2013.0,garçons,Neutral,0.479383260011673
Des garçons inquiets dans un appartement un chat crasseux qui vient ronronner et le fracas des arrivées d obus dehors,https://www.lemonde.fr/a-la-une/article/2013/05/28/ghouta-la-rebellion-encerclee_3419887_3208.html,2013.0,garçons,Negative,0.9889299273490906
Ce dernier argument est mis plus souvent en avant par les garçons 49 que par les filles 43,https://www.lemonde.fr/a-la-une/article/2013/06/12/un-acte-altruiste-mais-meconnu_3428767_3208.html,2013.0,garçons,Neutral,0.9528079628944397
