Text,date,link,year
"Dedans, il y avait un papier d'identité dont la photo correspondait à un homme noir assis pas loin, alors elle est allé lui rendre",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/11-septembre-pourquoi-tant-de-rumeurs_1569862_1569588.html,2011
"Mais il y a un tournant vers 1979, affirme le chercheur : dans les sondages IFOP, la réponse à la traditionnelle question de la confiance accordée aux hommes politiques reçoit, de manière irréversible, une majorité de réponses négatives",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/11-septembre-pourquoi-tant-de-rumeurs_1569862_1569588.html,2011
Un militaire avec une forte expérience du terrain est venu remplacer un homme qui avait fait toute sa carrière à Washington : un choix qui illustre les mutations nombreuses accomplies par la CIA en moins de dix ans,2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/apres-le-11-septembre-les-mutations-de-la-cia_1569745_1569588.html,2011
"En 2009, le ""pays des droits de l'homme"" a procédé à pas moins de 514 813 demandes d'accès aux ""logs"" (qui a téléphoné ou envoyé un mail à qui, quand, d'où, pendant combien de temps",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011
" - Chaussures : Depuis l'attentat raté de Richard Reid, l'homme aux ""chaussures explosives"", qui avait caché 250 grammes de Pentrite dans ses souliers sur un vol en décembre 2001, tout voyageur peut être amené à devoir se déchausser avant d'embarquer",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011
" - Liquides : En août 2006, les autorités britanniques découvrent qu'un groupe d'hommes auraient eu l'intention de faire exploser des avions en dissimulant des explosifs liquides dans des biberons et des flacons de shampoing",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011
"A l'occasion du dixième anniversaire du 11-Septembre, la Fédération internationale des ligues des droits de l'homme (FIDH) attire l'attention sur cet écheveau de lois aux effets liberticides",2011-09-10,https://www.lemonde.fr/11-septembre/article/2011/09/10/la-fidh-recense-les-lois-liberticides-dans-le-monde-depuis-le-11-septembre_1570310_1569588.html,2011
"C'est sur la base d'une législation ""antiterroriste"" datant de 2006 que le pouvoir s'emploie aujourd'hui à museler opposants et défenseurs des droits de l'homme",2011-09-10,https://www.lemonde.fr/11-septembre/article/2011/09/10/la-fidh-recense-les-lois-liberticides-dans-le-monde-depuis-le-11-septembre_1570310_1569588.html,2011
"Vingt et une personnes, dont le président du Centre bahreïni pour les droits de l'homme, sont ainsi menacées de lourdes peines d'emprisonnement pour activité ""terroriste "" et ""tentative de renversement du régime """,2011-09-10,https://www.lemonde.fr/11-septembre/article/2011/09/10/la-fidh-recense-les-lois-liberticides-dans-le-monde-depuis-le-11-septembre_1570310_1569588.html,2011
" D'une manière générale, la FIDH fait le constat que, dans de nombreux Etats qui se sont rangés du côté des Occidentaux dans la lutte contre Al-Qaida, la mission des défenseurs des droits de l'homme est devenue de plus en plus difficile",2011-09-10,https://www.lemonde.fr/11-septembre/article/2011/09/10/la-fidh-recense-les-lois-liberticides-dans-le-monde-depuis-le-11-septembre_1570310_1569588.html,2011
"raconte ainsi le jeune homme, qui avait 18 ans au moment des attaques",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/dix-ans-apres-les-attentats-la-presse-mondiale-se-souvient_1570674_1569588.html,2011
"Ce ne sont plus les Etats-Unis mais ""l'Etat-Uni , débout comme un seul homme, insiste Francis Fukuyama",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/les-tribunes-publiees-dans-le-monde-apres-les-evenements_1570742_1569588.html,2011
"Il était, en France, le dernier ancien combattant de 14-18, l'ultime rescapé parmi les 8,5 millions d'hommes mobilisés en bleu horizon",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
