Text,date,link,year
"Mais il y a un tournant vers 1979, affirme le chercheur : dans les sondages IFOP, la réponse à la traditionnelle question de la confiance accordée aux hommes politiques reçoit, de manière irréversible, une majorité de réponses négatives",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/11-septembre-pourquoi-tant-de-rumeurs_1569862_1569588.html,2011
" - Liquides : En août 2006, les autorités britanniques découvrent qu'un groupe d'hommes auraient eu l'intention de faire exploser des avions en dissimulant des explosifs liquides dans des biberons et des flacons de shampoing",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011
"Lire aussi (pour les abonnés), ""11-Septembre, je me souviens"" : des hommes politiques, écrivains ou photographes évoquent leur souvenir de cette journée",2011-09-09,https://www.lemonde.fr/11-septembre/article/2011/09/09/tous-nos-contenus-sur-le-11-septembre_1570102_1569588.html,2011
Le portrait de deux jeunes hommes en position de prière les surplombe,2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/etre-artiste-et-musulman-apres-le-11-septembre_1570105_1569588.html,2011
"Il était, en France, le dernier ancien combattant de 14-18, l'ultime rescapé parmi les 8,5 millions d'hommes mobilisés en bleu horizon",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
" Ce survivant nous reliait physiquement à des photos défraîchies de pioupious en capote, les bandes molletières tire-bouchonnées sur les brodequins, à des images tournées à la manivelle d'hommes hirsutes, le regard vide, enterrés vivants dans les tranchées",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
 Les hommes organisent même des patrouilles communes,2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Les hommes multiplient les assauts stériles et dévastateurs, affrontent les gaz sans masque",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Il est opéré sans anesthésie, des hommes le maintiennent cloué sur la table d'opération pendant que le chirurgien creuse la plaie et la badigeonne d'alcool",2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"C'est un échec : 180 000 hommes sont mis hors de combat, dont les trois quarts côté français, malgré la première utilisation de chars français",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/1917-revolution-russe-et-entree-en-guerre-des-etats-unis_1107606_736535.html,2008
"Le corps expéditionnaire américain compte alors 300 000 hommes ; ils seront un million en juillet, deux millions peu avant l'armistice",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/1918-1922-la-fin-de-la-guerre-et-ses-consequences_1107613_736535.html,2008
Cette dernière campagne se solde par la mise hors de combat d'un million d'hommes côté allemand (200 000 morts),2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/1918-1922-la-fin-de-la-guerre-et-ses-consequences_1107613_736535.html,2008
Elle se solde par la perte de 250 000 hommes également répartis dans les deux camps,2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/1918-1922-la-fin-de-la-guerre-et-ses-consequences_1107613_736535.html,2008
" Pour remplacer les hommes partis au front, la France fait appel à des travailleurs sous contrat",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/des-chinois-pour-l-effort-de-guerre_1107322_736535.html,2008
"La cause des tirailleurs m'a, profondément, intéressé, depuis ma prime jeunesse, ayant été témoin des séparations douloureuses de ces milliers d'hommes et de femmes avec leur famille et leur terroir, qui, en 1939-1940, ont quitté l'Afrique, pour voler au secours de la France, battue et occupée par l'Allemagne",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/pour-le-president-du-senegal-l-africain-est-bien-installe-dans-l-histoire_1107562_736535.html,2008
