Text,date,link,year
Son public lui ressemble : des femmes étrangères dont les maris travaillent dans les scieries du coin ou chez les sous-traitants de Peugeot,2006-06-13,https://www.lemonde.fr/a-la-une/article/2006/06/13/les-tricoteuses-attaquent_782938_3208.html,2006
"Ces femmes en boubou ou coiffées d'un foulard, avec leurs maris et leurs enfants, pénétrant timidement dans le hall du théâtre pour la première fois de leur vie",2007-02-15,https://www.lemonde.fr/a-la-une/article/2007/02/15/homere-et-shakespeare-en-banlieue_867847_3208.html,2007
" L'idée est simple : donner un visage à l'""ennemi"", montrer aux Iraniens que, comme eux, les Israéliens sont des pères, des mères, des maris et des épouses",2013-06-21,https://www.lemonde.fr/a-la-une/article/2013/06/21/sur-facebook-israel-aime-l-iran_3434464_3208.html,2013
"C'est le journaliste Bernard Maris, alias Oncle Bernard, qui prend place aux côtés de Nicolas Demorand",2011-11-02,https://www.lemonde.fr/actualite-medias/article/2011/11/02/heberge-par-liberation-l-equipe-de-charlie-hebdo-se-remet-au-travail_1597556_3236.html,2011
"Le journal est actuellement détenu à 70 % par Riss et 30 % par le directeur financier, Eric Portheault, qui ont ensemble racheté les 40 % que détenait la famille de Charb, assassiné le 7 janvier en même temps que les dessinateurs Cabu, Wolinski, Honoré, Tignous, l’économiste Bernard Maris, la psychanalyste Elsa Cayat, le correcteur Mustapha Ourrad, le journaliste Michel Renaud et le policier Franck Brinsolaro",2015-07-17,https://www.lemonde.fr/actualite-medias/article/2015/07/17/charlie-hebdo-devient-la-premiere-entreprise-solidaire-de-presse_4687647_3236.html,2015
Pourquoi avez-vous tué nos maris et nos fils,2012-08-19,https://www.lemonde.fr/afrique-du-sud/article/2012/08/19/retour-en-images-sur-le-massacre-de-marikana_5991064_1656665.html,2012
"Eliasson, ""retourner dans leurs villages et leurs terres, que les milices les laissent tranquilles, et un dédommagement monétaire, ce qu'ils appellent ""l'argent du sang"", car ils ont perdu des enfants, des femmes, des maris""",2007-08-08,https://www.lemonde.fr/afrique/article/2007/08/08/le-mediateur-de-l-onu-jan-eliasson-affirme-que-des-developpements-positifs-sont-intervenus-au-darfour_942822_3212.html,2007
"Après les avoir déjà entendues jeudi, le président malien Amadou Toumani Touré a de nouveau reçu vendredi des femmes inquiètes du sort de leurs maris soldats qui combattent les rebelles, dénonçant une ""désinformation"" qui a ""envenimé la situation""",2012-02-03,https://www.lemonde.fr/afrique/article/2012/02/03/combats-au-mali-pres-de-10-000-personnes-ont-fui-vers-le-niger_1638775_3212.html,2012
" LES FAMILLES RÉCLAMENT JUSTICE Vendredi, sur les lieux du drame, une cinquantaine de femmes se sont rassemblées réclamant la justice contre ceux qui ""ont tué nos maris et nos fils""",2012-08-18,https://www.lemonde.fr/afrique/article/2012/08/18/l-afrique-du-sud-horrifiee-apres-un-sanglant-massacre_1747374_3212.html,2012
" Certaines familles avaient fait la route avec leurs pères, maris, amants, ces soldats en déroute",2012-12-03,https://www.lemonde.fr/afrique/article/2012/12/03/a-goma-accueil-enthousiaste-pour-les-militaires-loyalistes_1799408_3212.html,2012
"Et il faut se battre pour faire accepter à certaines les césariennes, faire comprendre aux maris l’importance de l’espacement des naissances",2015-09-25,https://www.lemonde.fr/afrique/article/2015/09/25/edna-adan-la-mere-du-somaliland_4771981_3212.html,2015
"Nous travaillons aussi avec ce qu’on appelle l’Ecole des maris, pour faire comprendre aux hommes les intérêts de la planification, et les intégrer au processus",2017-07-14,https://www.lemonde.fr/afrique/article/2017/07/14/c-est-aux-femmes-africaines-de-decider-combien-elles-veulent-d-enfants-quand-et-avec-qui_5160788_3212.html,2017
"Alors que les maris s’absentent pour une longue durée, il arrive que des femmes tombent enceintes à la suite de relations adultérines",2017-09-17,https://www.lemonde.fr/afrique/article/2017/09/17/au-senegal-les-cas-d-infanticides-posent-la-question-de-la-legalisation-de-l-avortement_5186962_3212.html,2017
"« Nos maris travaillent la journée, donc c’est à nous de venir remplir les bidons pour le foyer",2018-04-17,https://www.lemonde.fr/afrique/article/2018/04/17/au-burkina-faso-la-longue-veillee-des-femmes-autour-des-bornes-fontaines_5286581_3212.html,2018
Leurs maris ne travaillent pas,2018-04-19,https://www.lemonde.fr/afrique/article/2018/04/19/le-nord-de-la-cote-d-ivoire-entre-esperances-et-frustrations_5287869_3212.html,2018
"« Elles savent que nous avons l’oreille du lamido et que nous pouvons les défendre contre leurs maris », explique Damarice Djondang, notable et secrétaire du lamido de Ngaoundéré",2018-05-17,https://www.lemonde.fr/afrique/article/2018/05/17/au-cameroun-les-femmes-se-font-une-place-au-sein-des-chefferies-musulmanes_5300604_3212.html,2018
Tout ici rappelle une manifestation de femmes venues d’Abidjan pour réclamer la libération de leurs maris prisonniers,2018-07-15,https://www.lemonde.fr/afrique/article/2018/07/15/de-grand-bassam-a-bouake-sur-les-traces-des-capitales-ivoiriennes_5331708_3212.html,2018
"Si l’influence des femmes en politique n’est pas nouvelle, elle concerne souvent les femmes proches des cercles de pouvoir ou issues de dynasties familiales : certaines auront, par exemple, fait campagne pour leurs maris, galvanisant pour leurs causes un électorat féminin ; d’autres auront hérité du royaume politique de leurs parents",2018-11-05,https://www.lemonde.fr/afrique/article/2018/11/05/les-femmes-qu-elles-soient-elues-ou-electrices-demeurent-aussi-craintes-que-courtisees_5379141_3212.html,2018
"», lance-t-elle à son fiancé, en référence à la fameuse dot, payée par les futurs maris aux familles de leurs futures épouses, et encore incontournable aujourd’hui dans la plupart des mariages traditionnels et religieux en Afrique",2018-11-25,https://www.lemonde.fr/afrique/article/2018/11/25/en-cote-d-ivoire-les-femmes-humoristes-prennent-le-pouvoir_5388418_3212.html,2018
