Text,date,link,year
"Et aussi, à la grand-mère de l'artiste, décédée au cours de l'été",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/etre-artiste-et-musulman-apres-le-11-septembre_1570105_1569588.html,2011
"Je me revois arriver chez moi et ma mère ouvre le portail alors que je n'ai pas encore sonné et elle me dit : ""On est en guerre, c'est la guerre",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
La mère abandonne la famille qui se disperse,2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
Mère des poilus,2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/la-memoire-en-chantiers_1107318_736535.html,2008
" En rendant hommage à ma grand-mère paternelle, qui après avoir survécu à la grippe espagnole de 1918 (des millions de morts), éleva seule son fils suite au décès de mon grand-père en 1929, date de la naissance de son propre fils et qui, becs et ongles, se battait pour défendre ses droits de mère et élever son fils (une procédure d'adoption ayant été mise en place par une famille américaine et la belle-famille de ma grand-mère)",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
"Il avait 31 ans, son épouse ma grand-mère Hortense, ma mère Louise âgée de 3 ans en 1914, n'ont pas cessé de l'attendre dès 1914, après qu'une seule lettre fut parvenue : ""Ma tendre épouse, mon enfant",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
L'Etat français a sans cesse refusé le statut de veuve de guerre à ma grand-mère,2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
", entraînant un désastre affectif, ma grand-mère se précipitant des années durant sur tout homme dont la silhouette évoquait celle de son mari",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
"« Quand je l’ai entendu me dire, tout heureux, qu’il allait enfin pouvoir appeler sa mère, visiter Paris, et aller à l’école, je ne me suis pas senti de lui expliquer que ce ne serait pas aussi simple », raconte-t-il… Le rêve européen Quoi qu’il en soit, à cette étape du voyage, le discours de vérité sur l’Europe est inaudible",2016-07-17,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/17/sur-l-aquarius-tous-les-metiers-menent-au-sauvetage_4970762_4961323.html,2016
"Je ne sais pas si ma mère, mes frères et sœurs sont morts ou vivants",2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
"En arrivant à Malte, cette mère de famille s’étonnait de ne pas pouvoir choisir son pays de destination",2018-10-02,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2018/10/02/pour-les-58-debarques-de-l-aquarius-a-malte-l-ile-est-comme-une-prison_5363590_4961323.html,2018
