Text,date,link,year
Ni que nous ayons relu pour l'occasion une célèbre nouvelle de l'oncle Ernest,2005-03-16,https://www.lemonde.fr/a-la-une/article/2005/03/16/kilimandjaro_401843_3208.html,2005
"C'est ce qu'écoute son oncle"", explique-t-elle",2005-11-19,https://www.lemonde.fr/a-la-une/article/2005/11/19/un-soir-au-pied-des-barres_712002_3208.html,2005
Son oncle paternel était l'un d'eux,2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
"Elle sait qu'un oncle paternel et sa famille sont réfugiés en Syrie, mais elle ne les connaît pas",2006-02-01,https://www.lemonde.fr/a-la-une/article/2006/02/01/l-espoir-des-palestiniens-en-exil_736722_3208.html,2006
" Plus de 90 % des enfants violés connaissent leurs agresseurs, un père, un beau-père, un oncle, un voisin",2006-04-22,https://www.lemonde.fr/a-la-une/article/2006/04/22/enfances-violees-en-afrique-du-sud_764334_3208.html,2006
"A l'arrivée des troupes de Bonaparte en mai 1797, c'est lui qui ôte du fronton l'enseigne de ""La Venise triomphante"" pour la remplacer par le prénom de son oncle",2006-07-17,https://www.lemonde.fr/a-la-une/article/2006/07/17/venise-le-florian_796101_3208.html,2006
"Le neveu de 17 ans et son oncle, 56 ans, gros gabarit, grand érudit, auteur de la première encyclopédie de l'histoire",2006-08-05,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006
" L'oncle, saisissant instantanément l'importance de l'événement, avait fait armer un bateau pour aller observer le phénomène de plus près - réflexe de vulcanologue -, le neveu était resté, s'absorbant dans la lecture de Tite-Live",2006-08-05,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006
"Son oncle disparu, l'historien Tacite lui demandera de décrire ces jours funestes",2006-08-05,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006
"Les deux lettres de l'adolescent forment peut-être le témoignage le plus précis jamais écrit sur une éruption volcanique majeure (les principaux extraits de la première lettre, relatant la mort de son oncle, sont reproduits ci-dessous)",2006-08-05,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006
 Julienne Lavelloi a également perdu un oncle et un cousin dans l'assaut,2006-08-14,https://www.lemonde.fr/a-la-une/article/2006/08/14/nouvelle-caledonie-les-plaies-d-ouvea_803422_3208.html,2006
"Hanté par la guerre Iran-Irak (1980-1988), qui a emporté son oncle et un ami proche, Majid Nowrouzi voit là un moyen de donner de la voix contre un nouveau conflit",2013-06-21,https://www.lemonde.fr/a-la-une/article/2013/06/21/sur-facebook-israel-aime-l-iran_3434464_3208.html,2013
" Le lendemain, Miso trône au café Ghanam, au milieu de la rue Bab El-Bahr, qui appartient à son oncle",2013-08-26,https://www.lemonde.fr/a-la-une/article/2013/08/26/au-caire-une-rue-dans-la-revolution_3466688_3208.html,2013
"C'est Mohammed Salman, l'oncle de Jawdat, qui aurait pris les choses en mains",2014-04-12,https://www.lemonde.fr/a-la-une/article/2014/04/12/le-tres-convoite-apollon-de-gaza_4400184_3208.html,2014
"Aligné dos au mur avec son oncle, la femme de celui-ci et deux amis, il a cru sa dernière heure arrivée",2014-07-17,https://www.lemonde.fr/a-la-une/article/2014/07/17/au-soudan-du-sud-l-enfer-des-nuer_4458891_3208.html,2014
"Son oncle, secrétaire exécutif du cabinet de Riek Machar, est activement recherché par le SPLA « C’est trop dangereux",2014-07-17,https://www.lemonde.fr/a-la-une/article/2014/07/17/au-soudan-du-sud-l-enfer-des-nuer_4458891_3208.html,2014
"L'éditeur est condamné à verser des dommages et intérêts non seulement au jeune homme, qui est en fait l'oncle du petit garçon, mais également au père et à la mère de l'enfant, sans oublier la fiancée du jeune homme",2005-03-21,https://www.lemonde.fr/actualite-medias/article/2005/03/21/le-droit-a-l-image-confronte-aux-derives-marchandes_629679_3236.html,2005
Une autre fillette et son oncle se trouvent toujours aujourd'hui dans un état critique,2006-06-17,https://www.lemonde.fr/actualite-medias/article/2006/06/17/une-plage-au-gout-de-cendres_784806_3236.html,2006
"Et d'ajouter : ""Ces types mettent une image de la Vierge sur leur fusil et ils partent tuer, alors que mon oncle, profondément croyant, portait son crucifix discrètement sous sa chemise",2008-01-28,https://www.lemonde.fr/actualite-medias/article/2008/01/28/regards-croises-de-deux-cineastes-sur-un-liban-eclectique_1004583_3236.html,2008
"Denis trouve refuge chez son oncle, Claude Olievenstein, le célèbre psychiatre spécialiste des drogues",2008-04-01,https://www.lemonde.fr/actualite-medias/article/2008/04/01/denis-olivennes-a-bon-port_1029671_3236.html,2008
"Mon oncle avait, lui, un souci d'intégration"", explique-t-il",2008-04-01,https://www.lemonde.fr/actualite-medias/article/2008/04/01/denis-olivennes-a-bon-port_1029671_3236.html,2008
"C'est le journaliste Bernard Maris, alias Oncle Bernard, qui prend place aux côtés de Nicolas Demorand",2011-11-02,https://www.lemonde.fr/actualite-medias/article/2011/11/02/heberge-par-liberation-l-equipe-de-charlie-hebdo-se-remet-au-travail_1597556_3236.html,2011
Le premier d’entre eux n’est autre que son oncle,2016-02-15,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016
"En digne héritier – son oncle n’a pas de fils –, il étudie à son tour au MIT, puis intègre Accor",2016-02-15,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016
"L’oncle, Gérard Pélisson, est « vexé » quand Gilles décide de quitter Accor pour rejoindre Disney, se rappelle le neveu",2016-02-15,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016
 Retrouvez les deux autres volets de la série : « Scènes de ménage à la table de l’Oncle Sam » et « La stratégie du cavalier seul »,2019-01-05,https://www.lemonde.fr/actualite-medias/article/2019/01/05/les-articles-preferes-des-abonnes-du-monde-en-2018_5405461_3236.html,2019
Lui qui courbait l'échine devant son oncle ou le big man tient maintenant la ville en respect et admire ses exploits sur CNN,2005-10-06,https://www.lemonde.fr/afrique/article/2005/10/06/liberia-derriere-le-chaos-l-etat-impossible_696671_3212.html,2005
"BATAILLE DE CLANS"" En effet, Ismaël Omar Guelleh était l'un des candidats au pouvoir pour succéder à son oncle, le chef de l'Etat Hassan Gouled Aptidon, dont il était le chef de cabinet",2007-07-11,https://www.lemonde.fr/afrique/article/2007/07/11/le-juge-borrel-aurait-ete-charge-d-enqueter-sur-le-president-de-djibouti-omar-guelleh_934486_3212.html,2007
