Text,date,link,year
"L'un des documents les plus émouvants présentés au Musée d'art et d'histoire du judaïsme est sans doute ce journal rédigé, illustré et ronéoté à Pontarlier par Eliane Stern, 11 ans, dont le père et les oncles sont sur le front",2005-03-09,https://www.lemonde.fr/a-la-une/article/2005/03/09/en-1914-les-juifs-francais-derriere-le-drapeau_400973_3208.html,2005
"A Tzaneen, tout le monde connaît le ""kibboutz"" familial : la grand-mère, les enfants, les oncles et les tantes, tous cohabitent",2006-02-17,https://www.lemonde.fr/a-la-une/article/2006/02/17/le-combat-des-fermiers-blancs-du-limpopo_742458_3208.html,2006
"Il lui faut Pila-Canale, jadis un fief familial : un de ses oncles avait déjà tenu la mairie, dont il avait été chassé par la famille Colonna",2006-03-15,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006
"De son premier mariage, Jakob avait eu deux fils, Emmanuel et Philipp, que le jeune Freud considérait comme des oncles au même titre que les cinq frères de son père",2006-05-03,https://www.lemonde.fr/a-la-une/article/2006/05/03/freud-le-penseur-des-lumieres-sombres_767763_3208.html,2006
"En dépit de la promiscuité sexuelle dans laquelle vit leur colonie, ils savent précisément qui sont les frères, les oncles, les cousins",2006-08-09,https://www.lemonde.fr/a-la-une/article/2006/08/09/portrait-de-groupe-avec-petits-singes_802339_3208.html,2006
Nous savons qu'un de ses oncles a survécu aux événements et est décédé en France avant 1929,2007-02-26,https://www.lemonde.fr/a-la-une/article/2007/02/26/comment-retrouver-les-cousins-d-amerique-ou-d-alep-sur-internet_876354_3208.html,2007
"Erika, fille du Nord dont les oncles exerçaient dans la boucherie chevaline à Calais, a mangé du cheval avant de goûter au bœuf",2014-08-14,https://www.lemonde.fr/a-la-une/article/2014/08/14/erika-lombard-de-la-selle-a-l-assiette_4471450_3208.html,2014
"Bolloré a convoqué le souvenir de ses deux oncles qui ont participé au Débarquement de 1944 Au-delà des bons mots, M",2015-11-13,https://www.lemonde.fr/actualite-medias/article/2015/11/13/face-aux-inquietudes-le-one-man-show-de-bollore_4808687_3236.html,2015
"Bolloré a convoqué le souvenir de ses oncles Gwenn-Aël Bolloré et Marc Thubé, qui ont participé au Débarquement du 6 juin 1944, pour témoigner de son sens de la liberté",2015-11-13,https://www.lemonde.fr/actualite-medias/article/2015/11/13/face-aux-inquietudes-le-one-man-show-de-bollore_4808687_3236.html,2015
Elle n’a pas de nouvelles de ses tantes et de ses oncles,2015-09-01,https://www.lemonde.fr/afrique/article/2015/09/01/dans-le-nord-du-cameroun-le-calvaire-des-refugies-de-boko-haram_4742199_3212.html,2015
