Text,date,link,year
" - ""Le visage de mon grand-père"", par Jacques C",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
 Mon grand-père de 87 ans était présent lui aussi,2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
"Autant que les images diffusées à la télévision, c'est le visage de mon grand-père qui me reste de cet après-midi-là",2011-09-11,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011
Un frère puis son père meurent en 1903,2008-03-12,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008
"Le 11 novembre 1964, devant le monument aux morts du village, pendant la minute de silence, le père de Claude Duneton, ancien combattant de 14-18, s'indigne : "" Ah nom de Dieu",2008-10-23,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/la-memoire-en-chantiers_1107318_736535.html,2008
"Une fois l'hommage rendu au Père-la-Victoire, le cortège présidentiel quittera la capitale",2008-11-09,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/09/un-11-novembre-du-cote-des-victimes_1116434_736535.html,2008
 - Médailles par Yves Mon arrière grand-père a été médaillé six fois et a reçu une citation du général Pétain,2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
"Antoine, mon grand-père qui avait participé à la bataille de la Marne, où son frère François avait été tué, n'avait pas connu Verdun",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" En rendant hommage à mon grand père maternel, son parcours, ses choix (devenu ""infirmier"" de circonstance pendant la guerre de 14-18, huit enfants qu'il éleva seul suite au décès de son épouse pendant la seconde guerre mondiale, sourires à la clé)",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" En rendant hommage à ma grand-mère paternelle, qui après avoir survécu à la grippe espagnole de 1918 (des millions de morts), éleva seule son fils suite au décès de mon grand-père en 1929, date de la naissance de son propre fils et qui, becs et ongles, se battait pour défendre ses droits de mère et élever son fils (une procédure d'adoption ayant été mise en place par une famille américaine et la belle-famille de ma grand-mère)",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
 Mon père fût un militant de la construction de l'Europe dès ses débuts,2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" - Raconter non seulement l'histoire de cette guerre, mais aussi raconter l'histoire de la famille par Anne-Marie Parein Raoul Henneron, mon grand-père, n'est jamais revenu de la guerre",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
