Text,link,year,aspect,sentiment,prob
Le visage de mon grand père par Jacques C,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011.0,père,Positive,0.758735716342926
Mon grand père de 87 ans était présent lui aussi,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011.0,père,Positive,0.8762151598930359
Autant que les images diffusées à la télévision c est le visage de mon grand père qui me reste de cet après midi là,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011.0,père,Positive,0.9872826337814331
Un frère puis son père meurent en 1903,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/03/12/lazare-ponticelli-le-dernier-poilu-francais-est-mort_1022170_736535.html,2008.0,père,Negative,0.8863308429718018
Le 11 novembre 1964 devant le monument aux morts du village pendant la minute de silence le père de Claude Duneton ancien combattant de 14 18 s indigne Ah nom de Dieu,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/la-memoire-en-chantiers_1107318_736535.html,2008.0,père,Negative,0.7814661860466003
Une fois l hommage rendu au père la Victoire le cortège présidentiel quittera la capitale,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/09/un-11-novembre-du-cote-des-victimes_1116434_736535.html,2008.0,père,Positive,0.9904513359069824
Médailles par Yves Mon arrière grand père a été médaillé six fois et a reçu une citation du général Pétain,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.9666905403137207
Antoine mon grand père qui avait participé à la bataille de la Marne où son frère François avait été tué n avait pas connu Verdun,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.9399534463882446
En rendant hommage à mon grand père maternel son parcours ses choix devenu infirmier de circonstance pendant la guerre de 14 18 huit enfants qu il éleva seul suite au décès de son épouse pendant la seconde guerre mondiale sourires à la clé,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.998286783695221
En rendant hommage à ma grand mère paternelle qui après avoir survécu à la grippe espagnole de 1918 des millions de morts éleva seule son fils suite au décès de mon grand père en 1929 date de la naissance de son propre fils et qui becs et ongles se battait pour défendre ses droits de mère et élever son fils une procédure d adoption ayant été mise en place par une famille américaine et la belle famille de ma grand mère,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Negative,0.5914564728736877
Mon père fût un militant de la construction de l Europe dès ses débuts,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.9163910746574402
Raconter non seulement l histoire de cette guerre mais aussi raconter l histoire de la famille par Anne Marie Parein Raoul Henneron mon grand père n est jamais revenu de la guerre,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.931371808052063
Expliquer à mes enfants l histoire de mon grand père c est raconter non seulement l histoire de cette guerre dont les traces nous poursuivent encore c est aussi raconter l histoire de la famille c est raconter leur histoire,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.8915897011756897
Nous allons nous faire bousiller mais il faut y aller tout de même par Pierre AUDET Chaque 11 novembre je ressors le texte d une citation à l ordre de la 3e division du 128e régiment d infanterie en date du 15 mars 1915 où mon grand père Alfred Bon caporal fut félicité pour avoir Au combat du 22 février 1915 ayant reçu l ordre de sortir de la tranchée avec son escouade malgré l intensité du feu s est porté le premier en avant et a excité ses hommes au courage en disant Nous allons nous faire bousiller mais il faut y aller tout de même,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.9301199913024902
Ce moment de souvenir pour moi sacré et toujours émouvant dépassant la personne de mon grand père fait partie des valeurs que j espère transmettre,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,"père', 'père","Positive', 'Positive","0.9631165266036987, 0.9631165266036987"
Je lui ai parlé alors de son arriere arrière grand père que j ai eu l occasion de connaitre jusqu à mes 13 ans,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,père,Positive,0.9915829300880432
Et même si j avais voulu acheter quelque chose avec l argent que j ai je n aurais pas pu car nous ne sommes pas considérés comme des humains dans ce pays se souvient le père de famille,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,père,Neutral,0.620951235294342
Trois cent soixante ans de règles et de savoir faire transmis souvent de père en fils ça vaut toutes les hiérarchies du monde,https://www.lemonde.fr/a-la-une/article/2005/02/19/l-atelier-des-tresors-vivants_398814_3208.html,2005.0,père,Positive,0.9863017797470093
Et puis il y a eu le défilé des hommes politiques et des cardinaux nous donnant de bonnes nouvelles du Saint père qu ils n avaient pas vu,https://www.lemonde.fr/a-la-une/article/2005/03/15/television-les-sorties-du-pape-se-suivent-mais-ne-se-ressemblent-pas_401709_3208.html,2005.0,père,Positive,0.9917808175086975
Pour les Etats Unis les éditions Viking ont acquis ce récit d apprentissage autour du rapport père fille pour la coquette somme de 600 000 dollars tandis qu en Italie Bompiani l a emporté pour 100 000 euros,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005.0,père,Positive,0.7747423052787781
Une femme élevée à la dure entre un père au tempérament trempé et à l accent du Sud Ouest qui l éduque avec sa sœur comme une équipe de rugby avec exigence et sans les traiter en filles et une mère d origine polonaise chef d entreprise qui lui apprend à avoir des plumes de canard quand il pleut l eau glisse sur toi,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,père,Negative,0.9562196731567383
Jacques Chirac tutoie Michèle Alliot Marie depuis qu il l a rencontrée avec son père Bernard Marie ancien député et maire de Biarritz et arbitre international de rugby,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,père,Positive,0.5839503407478333
Près de quarante ans plus tard les coups de pouce de son père et le virus de la politique l ont emporté,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,père,Positive,0.6679133176803589
Un ministère placé sous l autorité directe du chef de l Etat pour celle qui parvint à s imposer sans réseau politique puissant il n y a pas d alliot maristes comme il y a des sarkoziens mais en gardant toujours autour d elle sa famille son père et sa mère qu elle appelle tous les jours son compagnon Patrick Ollier rebaptisé POM pour Patrick Ollier Marie actif dans son ascension au sein du RPR et sa nièce Ludivine Olive la fille qu elle n a pas eue selon Bernard Marie et qui est devenue son chef de cabinet,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,père,Positive,0.8578577041625977
Lundi 21 mars FHP comme on l appelle dans le groupe 42 ans prend la présidence de PPR fondé par son père François Pinault,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Neutral,0.9468664526939392
Tout est parti d un déjeuner en tête à tête avec son père en mai 2003,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Neutral,0.5272160768508911
D où l idée de prendre lui même en mains la direction opérationnelle du groupe alors que le père s est toujours appuyé sur des managers,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Neutral,0.46781298518180847
Pas facile même si comme le rappelle un proche ils est construit avec un père qui n était pas encore un milliardaire,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Neutral,0.6219348907470703
Il a posé une condition ne jamais dépendre de son père sur le plan hiérarchique,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Positive,0.9401756525039673
De son rapport avec le père il garde une exigence de tous les instants,https://www.lemonde.fr/a-la-une/article/2005/03/21/francois-henri-pinault-l-exigence-en-heritage_629611_3208.html,2005.0,père,Positive,0.8475964665412903
Du temps de son père l appellation Chinon ne couvrait que 500 hectares circonscrits autour de la ville de Rabelais,https://www.lemonde.fr/a-la-une/article/2005/03/21/les-francs-tireurs-de-la-vigne_629606_3208.html,2005.0,père,Negative,0.697629451751709
Il a prospéré grâce aux terrains acquis au lendemain de la défaite par le fondateur Yasuhiro le père de Yoshiaki décédé en 1964 et à l industrie des loisirs qui allait se développer au cours de la période de haute croissance des années 1960 en tirant avantage de la prospérité naissante,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005.0,père,Neutral,0.9331402778625488
A l image de son père Yoshiaki Tsutsumi incarnait un capitalisme rapace sans grand scrupule surtout lorsqu il s agissait de défendre le royaume,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005.0,père,Negative,0.9775694012641907
Ces falsifications commencées sous le règne de son père auraient duré une quarantaine d années,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005.0,père,Negative,0.9900124073028564
