Text,date,link,year
" En fait, Michael n'a pas grand-chose à cacher, il campe provisoirement dans le petit appartement d'une de ses demi-soeurs",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
Six de ses sept frères et soeurs ne lui parlent plus,2005-09-23,https://www.lemonde.fr/a-la-une/article/2005/09/23/tali-fahima-une-israelienne-trop-curieuse_692170_3208.html,2005
"Une des soeurs de Chantal, Yolande, a épousé un neveu du président",2005-11-26,https://www.lemonde.fr/a-la-une/article/2005/11/26/la-bande-a-bongo_714579_3208.html,2005
"Monique, l'aînée des filles, et ses deux autres soeurs retraitées, Marie-Pierre et Bernadette, assurent la permanence chaque jour à l'audience",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" ""J'ai senti un peu de distance avec mes frères et soeurs à ce moment-là, se souvient Michel, mais cela n'a jamais posé de vrais problèmes",2005-11-30,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005
" Dans leur minuscule boutique, où elles vendent pêle-mêle des articles de souvenirs, quelques poupées et des breloques, deux soeurs, âgées de 25 et 27 ans, affirment n'adhérer à aucune organisation",2006-02-01,https://www.lemonde.fr/a-la-une/article/2006/02/01/l-espoir-des-palestiniens-en-exil_736722_3208.html,2006
"Il ne sut jamais le sort qui sera réservé par les nazis à ses quatre soeurs, disparues dans les ténèbres de la solution finale",2006-05-03,https://www.lemonde.fr/a-la-une/article/2006/05/03/freud-le-penseur-des-lumieres-sombres_767763_3208.html,2006
" Cheikh Diata, 20 ans, tourne en rond entre ses soeurs préposées à la cuisine",2006-05-12,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006
" Victor-Emmanuel rejoint la Suisse avec sa mère et ses soeurs, et coule à Genève une jeunesse dorée",2006-06-27,https://www.lemonde.fr/a-la-une/article/2006/06/27/la-chute-de-la-maison-de-savoie_788748_3208.html,2006
"Propos démenti par l'une des soeurs Royal, qui ajoute tout de même : ""Il n'était pas loin de penser que nous ne comptions pas",2006-06-28,https://www.lemonde.fr/a-la-une/article/2006/06/28/segolene-royal-la-fille-du-lieutenant-colonel_789232_3208.html,2006
"Lorsqu'ils l'entendent pourtant évoquer le recours à l'armée pour les jeunes délinquants, ses frères et soeurs se disent en souriant que la fille du lieutenant-colonel n'a pas totalement oublié son passé",2006-06-28,https://www.lemonde.fr/a-la-une/article/2006/06/28/segolene-royal-la-fille-du-lieutenant-colonel_789232_3208.html,2006
"Quant à leurs soeurs, elles ne craignent pas grand-chose de leurs ardeurs toutes neuves : soit elles sont trop jeunes pour les intéresser, soit elles ont déjà quitté le groupe",2006-08-08,https://www.lemonde.fr/a-la-une/article/2006/08/08/tu-m-attires-donc-je-fuis_801905_3208.html,2006
"Comme ses frères et soeurs, ""Mich'"" ne se frottera à l'éducation nationale qu'en CM2",2006-10-26,https://www.lemonde.fr/a-la-une/article/2006/10/26/michel-desjoyeaux-le-professeur-de-solitude_827872_3208.html,2006
"Fatoumata et ses deux soeurs ne pourront en effet obtenir la nationalité française qu'à l'âge de 13 ans, si leurs parents en font la demande, sinon à 18 ans, pourvu qu'elles n'aient pas, entre-temps, quitté la France",2006-11-11,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006
" A condition qu'il ne soit pas renvoyé en Angola, pays qu'il a fui en 2003 avec sa mère et ses quatre frères et soeurs, après la disparition de son père, militant du Front de libération de l'enclave de Cabinda (FLEC, parti indépendantiste)",2006-11-11,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006
" Après six années de présidence Bush et de rapports tendus avec le reste du monde, l'Amérique est éprise, ou en tout cas curieuse, d'un homme qui n'a jamais vécu aux Etats-Unis avant l'âge de 19 ans, qui a des demi-frères et soeurs à Londres, à Nairobi, qui a suivi l'école coranique puis catholique à Djakarta, où sa mère s'était remariée avec un autre étudiant étranger",2007-01-04,https://www.lemonde.fr/a-la-une/article/2007/01/04/barack-obama-l-homme-sans-bagages_852001_3208.html,2007
"Bien sûr, elle n'a pas oublié son angoisse et son stress permanents, ni sa découverte horrifiée de la ""torture à domicile"" pratiquée sur les suspects par les parachutistes, ni le silence de mort qui s'abattait sur la casbah après l'exécution d'un ""frère"" à la prison toute proche de Barberousse, mais elle se souvient plus encore de ""fous rires monumentaux"" avec ses ""soeurs"" de combat, les moudjahidate, notamment Djamila Bouhired",2007-01-29,https://www.lemonde.fr/a-la-une/article/2007/01/29/50-ans-apres-les-survivants-du-nettoyage-d-alger_860986_3208.html,2007
" Il y avait aussi ces vides étranges autour des vieilles femmes, ""cette absence de frères, de soeurs, de parents, de relations"", note Rahsan Cebe",2007-02-26,https://www.lemonde.fr/a-la-une/article/2007/02/26/ma-grand-mere-turque-etait-armenienne_876353_3208.html,2007
"Quand je me sens bien avec ces gens-là, pour moi, ce sont comme mes frères et soeurs",2008-12-26,https://www.lemonde.fr/a-la-une/article/2008/12/26/6-milliards-d-autres_1135553_3208.html,2008
" Né en 1944 à Clarksdale dans une famille de trois soeurs et douze frères, il est devenu métayer, comme tout le monde à l'époque",2009-08-12,https://www.lemonde.fr/a-la-une/article/2009/08/12/clarksdale-la-malediction-du-coton_1227914_3208.html,2009
"Il le retransmet ensuite à ses amis à travers Facebook, à ses parents, à ses frères et soeurs, le soir à table",2013-03-13,https://www.lemonde.fr/a-la-une/article/2013/03/13/gianroberto-casaleggio-le-gourou-de-grillo_1847241_3208.html,2013
"Ce pourrait être le casting d'une mission impossible, mais Rafaella, 18 ans, est convaincue que les voyageurs seront tous ""comme des frères et soeurs"" à leur retour, en juin 2014",2013-06-21,https://www.lemonde.fr/a-la-une/article/2013/06/21/un-tour-du-monde-avec-ou-sans-foi_3434463_3208.html,2013
"Autrement dit, la syrah de Cornas et la mondeuse d'Albertville sont demi-soeurs",2013-08-22,https://www.lemonde.fr/a-la-une/article/2013/08/22/le-vigneron-ses-diplomes-et-sa-mondeuse_3465066_3208.html,2013
"Là, les soeurs ouvrent un guichet et lui remettent des faux papiers",2013-09-28,https://www.lemonde.fr/a-la-une/article/2013/09/28/le-silence-du-juste-gino-bartali_3486314_3208.html,2013
"Certains les surnommaient les ""âmes soeurs"", jusqu'au jour où l'Irlandaise s'est opposée à l'intervention en Irak, que soutenait le Canadien",2013-10-08,https://www.lemonde.fr/a-la-une/article/2013/10/08/samantha-power-bapteme-du-feu-dans-l-enfer-diplomatique-syrien_3492186_3208.html,2013
"Etudes à l'école des soeurs de Saint-Vincent-de-Paul, à Paris",2013-10-17,https://www.lemonde.fr/a-la-une/article/2013/10/17/dominique-sanda-la-star-atypique_3494220_3208.html,2013
"Le Tout-Londres médiatique évoque déjà ""la guerre des soeurs"" — shakespearienne — qui déchire deux célèbres institutions : la BBC (British Broadcasting Corporation) et Al-Jazira",2005-10-29,https://www.lemonde.fr/actualite-medias/article/2005/10/29/la-bbc-va-defier-al-jazira-au-proche-orient_704612_3236.html,2005
"Le père, la mère et cinq frères et soeurs de Houda ont été tués sur le coup",2006-06-17,https://www.lemonde.fr/actualite-medias/article/2006/06/17/une-plage-au-gout-de-cendres_784806_3236.html,2006
"France 2 a préféré sobrement ""Cinq soeurs"", un titre sans doute plus fédérateur pour ce nouveau feuilleton au long cours qui aura pour mission, à partir du lundi 28 janvier à 18 h 15, de rassembler un large public - et si possible jeune - dans cette tranche horaire stratégique",2008-01-26,https://www.lemonde.fr/actualite-medias/article/2008/01/26/france-2-se-lance-a-son-tour-dans-le-feuilleton-quotidien_1004046_3236.html,2008
"Epouse modèle façon Bree Van De Kamp dans ""Desperate Housewives"", elle joue le rôle de mère de substitution pour ses soeurs",2008-01-26,https://www.lemonde.fr/actualite-medias/article/2008/01/26/france-2-se-lance-a-son-tour-dans-le-feuilleton-quotidien_1004046_3236.html,2008
" ""Cinq soeurs"", du lundi au vendredi, à 18 h 15 sur France 2",2008-01-26,https://www.lemonde.fr/actualite-medias/article/2008/01/26/france-2-se-lance-a-son-tour-dans-le-feuilleton-quotidien_1004046_3236.html,2008
"Elles sont soeurs"", rappelle Pascal Josèphe, président de la société d'études IMCA, mais surtout ancien directeur de l'antenne de TF1, puis d'Antenne 2",2008-07-10,https://www.lemonde.fr/actualite-medias/article/2008/07/10/tf1-et-france-televisions-ont-une-programmation-proche-selon-une-etude-mediametrie_1068610_3236.html,2008
"Pas question qu'elles attentent à l'honneur de la famille si ce sont leurs soeurs, qu'elles les éconduisent si ce sont leurs copines, qu'elles se fassent « trouer » par d'autres et s'habillent sexy",2010-09-04,https://www.lemonde.fr/actualite-medias/article/2010/09/04/la-barbarie-machiste-au-quotidien_1406668_3236.html,2010
"Et mettent peut-être ainsi du baume au coeur à toutes leurs soeurs qui, vaille que vaille, élèvent leur progéniture la moyenne est de plus de cinq enfants par femme en Afrique subsaharienne et relèvent le défi quotidien de nourrir toutes les bouches de la famille",2005-07-04,https://www.lemonde.fr/afrique/article/2005/07/04/les-femmes-en-premiere-ligne_669314_3212.html,2005
"Le premier, contesté par la défense, a argué que l'affaire était ""trop lourde pour ses épaules"", le second parce qu'une de ses soeurs a eu un enfant de M",2006-03-08,https://www.lemonde.fr/afrique/article/2006/03/08/a-johannesburg-jacob-zuma-vice-president-dechu-est-juge-pour-viol_748608_3212.html,2006
" Sa nationalité ivoirienne, le comique Dahico l'a pourtant obtenue en grande pompe en septembre 2004, lorsque Laurent Gbagbo en personne a signé non seulement son décret de naturalisation, mais aussi ceux de ses parents, frères et soeurs",2006-10-30,https://www.lemonde.fr/afrique/article/2006/10/30/adama-dahico-rire-pour-guerir-le-drame-ivoirien_829008_3212.html,2006
" ""C'est la première fois dans l'histoire de notre pays que les frères et soeurs de ces deux provinces se réunissent avec pour seul et unique objectif la recherche de la paix, de la sécurité et du développement"", a déclaré lors de la cérémonie d'ouverture le ministre de l'intérieur, Denis Kalume, représentant spécial de M",2008-01-06,https://www.lemonde.fr/afrique/article/2008/01/06/au-nord-kivu-gouvernement-et-rebelles-se-reunissent-pour-tenter-de-mettre-fin-au-conflit_996365_3212.html,2008
"On y trouve 39 « enfants du soleil », âgés de 6 mois à 62 ans, auxquels il faut ajouter 6 accompagnateurs (parents, frères ou soeurs)",2008-12-23,https://www.lemonde.fr/afrique/article/2008/12/23/au-burundi-la-traque-des-albinos_5974853_3212.html,2008
" En rentrant chez lui, vers 2 h 30, dans la nuit du 9 au 10 mars 2006, Bouhi a éprouvé des remords, mais l'idée d'avertir même anonymement la police ne l'a pas effleuré : ""J'avais peur que l'un des frères ou des cousins d'Abdoul s'en prenne à l'une de mes soeurs",2009-06-06,https://www.lemonde.fr/afrique/article/2009/06/06/silence-on-torture_1203329_3212.html,2009
"L'auteur d'un texte dans LeNouveau Courrier met en garde les présidents du Sénégal, du Nigeria et du Burkina Faso, avec lesquels Laurent Gbagbo entretient des relations exécrables : ""N'est-ce pas sadique et inhumain de laisser vos frères et soeurs sur un terrain où vous allez vers une guerre",2010-12-29,https://www.lemonde.fr/afrique/article/2010/12/29/a-abidjan-la-perspective-d-une-intervention-armee-fait-monter-la-pression_1458739_3212.html,2010
"Traoré décrit ainsi comment ses soeurs ont vu arriver des hommes un jour, chez elles, pour une ""médiation""",2013-01-19,https://www.lemonde.fr/afrique/article/2013/01/19/a-montreuil-mamadou-traore-dort-debout-depuis-un-an_1819445_3212.html,2013
"Pour se nourrir, les soeurs de M",2013-01-19,https://www.lemonde.fr/afrique/article/2013/01/19/a-montreuil-mamadou-traore-dort-debout-depuis-un-an_1819445_3212.html,2013
"Les deux soeurs ont fini par rentrer à Addis-Abeba, fin 2011, le coeur serré, car le Canada où elles venaient de passer plus de vingt ans était devenu leur patrie",2013-04-26,https://www.lemonde.fr/afrique/article/2013/04/26/ethiopie-nouveau-far-east_3167437_3212.html,2013
" > Lire la synthèse : L'Europe s'emmure pour repousser les migrants Originaire de Damas, ce père de famille de 27 ans a tenté la traversée le 11 octobre avec ses quatre frères et soeurs et leurs enfants",2013-11-09,https://www.lemonde.fr/afrique/article/2013/11/09/de-nombreux-refugies-syriens-tentent-de-fuir-l-egypte-par-la-m_3511224_3212.html,2013
"« Nous n’avons fait que respecter ses volontés », a plaidé lors de la cérémonie une des soeurs de Grace Mugabe, Shuvai Gumbochuma",2019-09-28,https://www.lemonde.fr/afrique/article/2019/09/28/au-zimbabwe-l-ex-president-robert-mugabe-enterre-en-famille-dans-son-village-natal_6013476_3212.html,2019
"Paralysé, il a attendu jusqu'en 2004 son transfert d'un hôpital pakistanais vers le Canada, où il vit désormais avec sa mère, ses soeurs et un autre frère, Abdurhaman",2005-12-20,https://www.lemonde.fr/ameriques/article/2005/12/20/abdullah-aine-d-une-famille-djihadiste-du-canada_723081_3222.html,2005
" Portant un prénom quechua aux origines incas, comme ses six frères et soeurs, Ollanta Humala est issu d'une famille vouée à l'""ethnocacerisme"", une doctrine prônée par son père",2006-01-12,https://www.lemonde.fr/ameriques/article/2006/01/12/au-perou-le-candidat-du-nationalisme-ethnique-cree-la-surprise-dans-les-sondages_730037_3222.html,2006
"Zacarias, son frère et ses deux soeurs sont placés dans un foyer pendant un an",2006-03-07,https://www.lemonde.fr/ameriques/article/2006/03/07/aicha-el-wafi-condamnee-a-vie_748322_3222.html,2006
" Pourtant, tout au long de son adolescence, Zacarias Moussaoui est présenté par ses anciens amis et ses soeurs comme un garçon ""attachant, drôle, se liant facilement, et très amoureux pendant des années de sa petite amie""",2006-04-18,https://www.lemonde.fr/ameriques/article/2006/04/18/la-defense-plaide-la-maladie-mentale-pour-sauver-zacarias-moussaoui_762793_3222.html,2006
