Text,date,link,year
"A Tzaneen, tout le monde connaît le ""kibboutz"" familial : la grand-mère, les enfants, les oncles et les tantes, tous cohabitent",2006-02-17,https://www.lemonde.fr/a-la-une/article/2006/02/17/le-combat-des-fermiers-blancs-du-limpopo_742458_3208.html,2006
"Elle n'était pas comme les tantes et autres femmes de la maison, poursuit-il",2007-02-26,https://www.lemonde.fr/a-la-une/article/2007/02/26/ma-grand-mere-turque-etait-armenienne_876353_3208.html,2007
"Mes tantes, ma famille, mes voisins se sont vu proposer, pour leurs votes, de 2 500 à 7 500 francs CFA, soit 3 à 11 euros",2012-02-23,https://www.lemonde.fr/afrique/article/2012/02/23/senegal-des-manifestants-brutalises-mais-pas-de-quoi-troubler-le-sejour-des-touristes_1646870_3212.html,2012
"Une de mes tantes a par exemple soutenu que « les nappy sont des lesbiennes, car aucun homme ne voudrait épouser une femme qui porte une tignasse crépue »",2015-01-15,https://www.lemonde.fr/afrique/article/2015/01/15/comment-je-suis-devenue-nappy_4556579_3212.html,2015
Elle n’a pas de nouvelles de ses tantes et de ses oncles,2015-09-01,https://www.lemonde.fr/afrique/article/2015/09/01/dans-le-nord-du-cameroun-le-calvaire-des-refugies-de-boko-haram_4742199_3212.html,2015
"Les raisons de se décourager ne manquent pas : « Vous ne gagnerez jamais face à l’armée », la prévient un membre de la Ligue des droits de l’homme, pour qui des militaires sont impliqués dans le meurtre, tandis qu’une de ses tantes, Lella, lui lance froidement : « C’est ta mère qui a assassiné ton père",2016-11-28,https://www.lemonde.fr/afrique/article/2016/11/28/une-serie-radio-raconte-les-annees-boumediene-et-l-algerie-d-aujourd-hui_5039673_3212.html,2016
"Une fois arrivés à destination, des « soi-disant oncles ou tantes » les font travailler comme domestiques ou vendeurs de rue, explique l’agent de l’immigration",2017-05-31,https://www.lemonde.fr/afrique/article/2017/05/31/au-port-de-calabar-avec-ces-migrants-africains-qui-ne-revent-pas-d-europe_5136786_3212.html,2017
"Bien que libre, elle reste immobile, blottie dans les bras de sa mère, entourée de ses trois tantes et de son père",2018-11-11,https://www.lemonde.fr/afrique/article/2018/11/11/au-cameroun-anglophone-les-parents-retrouvent-leurs-enfants-kidnappes_5382100_3212.html,2018
"« C’est surtout nos mères, nos tantes, qui sont nos modèles », a-t-elle souligné, avant d’ajouter que « sur le plan politique, on a besoin aujourd’hui de beaucoup plus de femmes qui aient de la visibilité »",2018-12-03,https://www.lemonde.fr/afrique/article/2018/12/03/etre-une-femme-en-afrique-on-doit-toujours-prouver-qu-on-est-capables_5392070_3212.html,2018
"» Abigail s’est séparée de ses enfants, placés à droite à gauche chez des cousins et des tantes",2019-02-12,https://www.lemonde.fr/afrique/article/2019/02/12/nigeria-a-lagos-c-est-un-crime-d-etre-pauvre_5422629_3212.html,2019
"Dans la culture rwandaise, ce sont bien souvent les tantes qui éduquent les jeunes filles à la sexualité",2019-04-03,https://www.lemonde.fr/afrique/article/2019/04/03/tantine-l-application-rwandaise-qui-eduque-les-jeunes-a-la-sexualite_5445370_3212.html,2019
"Ces tantes affectueuses et bienveillantes, toujours prêtes à écouter nos confidences, sont surnommées “tantines”",2019-04-03,https://www.lemonde.fr/afrique/article/2019/04/03/tantine-l-application-rwandaise-qui-eduque-les-jeunes-a-la-sexualite_5445370_3212.html,2019
"Il a dû annoncer à ses parents, ses cousins et ses tantes qu’il ne pourra pas les aider ces prochains mois",2020-04-30,https://www.lemonde.fr/afrique/article/2020/04/30/au-mali-l-effondrement-des-transferts-d-argent-de-la-diaspora-fragilise-gravement-les-populations_6038309_3212.html,2020
" « Mes sœurs, mes filles, mes mamans, mes tantes, mes nièces : l’heure est grave, annonce la maîtresse de cérémonie d’une voix légèrement tremblante",2020-07-02,https://www.lemonde.fr/afrique/article/2020/07/02/cote-d-ivoire-a-ziglo-maman-jo-rassemble-les-femmes-pour-prevenir-les-conflits-des-hommes_6044982_3212.html,2020
"Il y a des mariages, les grands-parents, les cousins, les oncles, les tantes, la plage",2020-07-06,https://www.lemonde.fr/afrique/article/2020/07/06/en-france-la-diaspora-algerienne-attend-avec-impatience-la-reouverture-des-frontieres_6045395_3212.html,2020
"« J’ai eu très peur pour ma mère et mes tantes, car les fenêtres de l’immeuble familial ont explosé à Beyrouth",2020-08-06,https://www.lemonde.fr/afrique/article/2020/08/06/les-libanais-de-dakar-sous-le-choc-c-est-dur-d-aider-a-distance-surtout-depuis-l-afrique_6048284_3212.html,2020
"Au terme de plusieurs mois de recherches d’éventuels liens familiaux, de nombreux enfants sont renvoyés au Biafra, où ils sont recueillis par des oncles ou des tantes ayant survécu à la guerre",2020-08-25,https://www.lemonde.fr/afrique/article/2020/08/25/il-y-a-cinquante-ans-au-biafra-des-milliers-d-orphelins-a-secourir_6049894_3212.html,2020
"« J’espère que mes frères, soeurs, et tantes maternelles respecteront ma volonté et dépenseront tout l’argent que j’ai laissé au Soudan pour le jihad », ajoute-t-il",2016-03-01,https://www.lemonde.fr/ameriques/article/2016/03/01/les-etats-unis-rendent-publics-des-documents-saisis-apres-la-mort-de-ben-laden_4874670_3222.html,2016
"Il a donc ordonné que l’exclusion ne soit pas appliquée « aux grands-parents, petits-enfants, beaux-frères ou belles-sœurs, oncles, tantes, neveux, nièces et cousins de personnes vivant aux Etats-Unis »",2017-07-15,https://www.lemonde.fr/ameriques/article/2017/07/15/l-administration-trump-va-a-nouveau-saisir-la-cour-supreme-sur-le-decret-anti-immigration_5160895_3222.html,2017
"Le roi, qui est âgé de onze ans, est accompagné de sa mère, de sa grand'mère, la reine douairière, de trois princesses, ses tantes, et de sa suite",1946-06-05,https://www.lemonde.fr/archives/article/1946/06/05/m-gouin-recoit-lord-mountbatten_1876197_1819218.html,1946
"Madame Gervaisais est la réplique d'une de leurs tantes qui était atteinte de "" folie mystique "", et qui mourut à Rome, à l'instant où elle se rendait à une audience du Vatican",1946-06-22,https://www.lemonde.fr/archives/article/1946/06/22/les-goncourt-et-la-medecine_1877214_1819218.html,1946
" J'ai parcouru la vallée du Mékong de Paksane à Paksé en 1924, puis en 1928-1930 au cours de missions topographiques j'ai pu constater qu'à chaque village laotien de la rive gauche française correspond sur la rive droite siamoise une agglomération laotienne généralement plus importante, dont les habitants sont liés par une parenté étroite : frères, cousins, oncles et tantes, beaux-parents",1946-08-29,https://www.lemonde.fr/archives/article/1946/08/29/la-frontiere-du-mekong_1878604_1819218.html,1946
"Cet "" autochtone "" qui gagne un peu d'arpent est contraint d'entretenir des oncles, des tantes et autres parents inactifs",1947-04-24,https://www.lemonde.fr/archives/article/1947/04/24/la-visite-presidentielle-ne-detend-pas-l-anxiete-des-blancs-de-l-a-o-f_1885963_1819218.html,1947
D'impôt tantes séances de travail passeront en revue les principales questions fluviales françaises et étrangères,1947-06-16,https://www.lemonde.fr/archives/article/1947/06/16/le-congres-international-des-transports-fluyiaux_1892579_1819218.html,1947
Après quoi on procédera dans l'après-midi aux fameuses visites du jour de l'an qui amènent les cousins de Versailles chez les oncles à prestige et les tantes distinguées,1948-01-02,https://www.lemonde.fr/archives/article/1948/01/02/paris-s-est-leve-tard-et-m-vincent-auriol-a-ouvert-la-serie-des-visites-traditionnelles_1911390_1819218.html,1948
"Cependant le roi semble s'inquiéter du sort de ses deux tantes, la princesse Elizabeth, veuve du roi George de Grèce, et la princesse Ileana, veuve du duc de Habsbourg, qui sont toutes deux restées en Roumanie, mais dont on espère l'arrivée prochaine en Suisse",1948-01-06,https://www.lemonde.fr/archives/article/1948/01/06/l-ex-roi-de-roumanie-est-arrive-en-suisse_1911828_1819218.html,1948
"Lue jeune Italienne passionnée, comme la Tosca, et qui agite l'air avec la crinoline de la Dame aux Camélias ; ce pasteur américain, foudroyé d'amour dès qu'il la voit, naïf et pur, égal à ses aînés, le vicaire de Wakefield et le Robinson suisse, entre deux vieilles tantes à bonnets, dont les papillotes évoquent Mrs",1948-02-27,https://www.lemonde.fr/archives/article/1948/02/27/romance-au-theatre-sarah-bernhardt_1908508_1819218.html,1948
"La mère de l'enfant, Marcelle Bouteloup, née en 1929 à Roubaix, a été élevée dans le Nord par une de ses tantes qui la chassa dès qu'elle apprit sa grossesse",1948-08-19,https://www.lemonde.fr/archives/article/1948/08/19/la-mere-de-la-petite-bouteloup-a-ete-entendue-ce-matin-a-la-police-judiciaire_1904932_1819218.html,1948
 Les boulangeries ne fermeront donc plus le dimanche tantes à la fois comme actuellement,1948-08-21,https://www.lemonde.fr/archives/article/1948/08/21/les-boulangeries-fermeront-desormais-par-roulement-un-jour-par-semaine_1905597_1819218.html,1948
"La ville est Liège entre 1901 et 1918, la famille comptait douze oncles et tantes du côté de la mère, combien du côté du père",1948-11-20,https://www.lemonde.fr/archives/article/1948/11/20/pedigree-de-m-georges-simenon_1911039_1819218.html,1948
"Les oncles et les tantes paternels se retrouvent le dimanche matin rue du Puits-en-Sock, chez la grand'mère, et tous emportent les pains de deux kilos crue l'on a cuits la veille pour eux",1948-11-20,https://www.lemonde.fr/archives/article/1948/11/20/pedigree-de-m-georges-simenon_1911039_1819218.html,1948
Pour bien le comprendre il faut peut-être avoir eu des grand'tantes impérieuses entre 1900 et 1914,1948-11-20,https://www.lemonde.fr/archives/article/1948/11/20/pedigree-de-m-georges-simenon_1911039_1819218.html,1948
Toutefois les droits incombant à chaque successible ne peuvent excéder les maxima ci-après : 20 % en ligne directe et entre époux lorsque le défunt laisse trois enfants au plus vivants ou représentés ; 25 % en ligne directe et entre époux lorsque le défunt laisse deux enfant vivants ou représentés ; 30 % en ligne directe et entre époux lorsque le défunt laisse un enfant vivant ou représenté ; 35 % en ligne directe ascendants et entre époux lorsque le défunt ne laisse pas d'enfant vivant ou représenté; 50 % entre frère et sœur ; 60 % entre oncles ou tantes et neveux ou nièces ; 70 % entre parents au delà du troisième degré et entre personnes non parentes,1948-12-11,https://www.lemonde.fr/archives/article/1948/12/11/les-droits-de-succession_1903538_1819218.html,1948
" Toutefois, les droits incombant à chaque successible ne peuvent excéder les maxima ci-après : 20 0/0 en ligne directe et entre époux, lorsque le défunt laisse trois enfants ou plus vivants ou représentés; 25 0/0 en ligne directe et entre époux, lorsque le défunt laisse deux enfante vivants ou représentés; 30 0/0 en ligne directe et entre époux, lorsque le défunt laisse un enfant vivant ou représenté; 35 0/0 en ligne directe ascendante et entre époux, lorsque le défunt ne laisse pas d'enfant vivant ou représenté ; 40 0/0 entre frères et sœurs ; 45 0/0 entre oncles ou tantes et neveux ou nièces, grands-oncles ou grandes-tantes et petits-neveux ou petites-nièces et entre cousins germains ; 50 0/0 entre parents au delà du quatrième degré et entre personnes non parentes",1949-08-02,https://www.lemonde.fr/archives/article/1949/08/02/le-parlement-est-en-vacances-jusqu-au-18-octobre_3141761_1819218.html,1949
" La pièce en question s'intitule Chloé, du nom de sa principale héroïne, une jeune fille de seize ans que ses deux tantes, les demoiselles Rosamundi, sont prêtes à "" hypothéquer "" (sic) au plus offrant pour payer leur loyer",1950-12-19,https://www.lemonde.fr/archives/article/1950/12/19/chloe-piece-inedite-a-la-television_2056699_1819218.html,1950
Il vous faut huit tantes,1951-08-01,https://www.lemonde.fr/archives/article/1951/08/01/la-bien-facture-des-cabinotiers-petit-divertissement-de-vacances_2068764_1819218.html,1951
Du moment qu'il s'agit de tantes-centimes,1951-08-01,https://www.lemonde.fr/archives/article/1951/08/01/la-bien-facture-des-cabinotiers-petit-divertissement-de-vacances_2068764_1819218.html,1951
" Le produit de la taxe continuerait à être réparti entre les départements et les communes, et le Fonds de péréquation serait désormais alimenté par la taxe perçue au taux maximum sur certaines activités très difficilement localisables et pour lesquelles le système actuel conduisait à des difficultés extrêmement importantes",1952-10-23,https://www.lemonde.fr/archives/article/1952/10/23/le-projet-de-reforme-fiscale-adopte-par-le-gouvernement_1995490_1819218.html,1952
" Droits d'enregistrement et autres impôts indirects Droits de succession et de donation, Le barème des droits de mutation à titre gratuit (successions et donations) en ligne collatérale (frères et sœurs, oncles ou tantes et neveux ou nièces, etc",1952-10-23,https://www.lemonde.fr/archives/article/1952/10/23/le-projet-de-reforme-fiscale-adopte-par-le-gouvernement_1995490_1819218.html,1952
D'abord elle fit valoir que les oncles et les tantes des enfants ne les réclamaient que parce qu'ils avaient appris qu'elle avait fait baptiser ses deux protégés et qu'elle entendait les élever dans la religion catholique,1953-01-09,https://www.lemonde.fr/archives/article/1953/01/09/une-famille-israelite-autrichienne-tente-d-obtenir-la-restitution-de-deux-orphelins-confies-pendant-la-guerre-a-une-vieille-demoiselle-catholique-qui-refuse-de-les-rendre_1970366_1819218.html,1953
"Le dernier décida finalement la restitution des deux enfants à la famille et désigna cette fois Mme Rosner, une de leurs tantes, résidant en Israël, comme tutrice",1953-01-09,https://www.lemonde.fr/archives/article/1953/01/09/une-famille-israelite-autrichienne-tente-d-obtenir-la-restitution-de-deux-orphelins-confies-pendant-la-guerre-a-une-vieille-demoiselle-catholique-qui-refuse-de-les-rendre_1970366_1819218.html,1953
" Le témoin suivant est Mlle Semon, une jeune fille à la voix lente, un peu étudiée, qui commence ainsi : "" Monsieur le président, j'ai perdu mon père, mes grands-parents, mes oncles, mes tantes, mes cousins",1953-01-29,https://www.lemonde.fr/archives/article/1953/01/29/nouveaux-temoignages-de-rescapes_1971267_1819218.html,1953
Mais déjà à la halte de Verneuil les voyageurs avaient pu apercevoir du côté d'Oradour d'inquiétantes fumées,1953-01-29,https://www.lemonde.fr/archives/article/1953/01/29/nouveaux-temoignages-de-rescapes_1971267_1819218.html,1953
"Il prouve ainsi que les oncles et tantes des enfants se sont intéressés à leur sort dès la reprise des relations internationales au lendemain de la Libération, et n'ont cessé de demander qu'ils leur soient rendus",1953-03-12,https://www.lemonde.fr/archives/article/1953/03/12/une-declaration-de-m-albert-bayet_1980617_1819218.html,1953
"Lorsqu'une décision judiciaire confia les deux enfants à un orphelinat Israélite les deux "" tantes "" prirent peur et cachèrent leurs protégées",1954-07-21,https://www.lemonde.fr/archives/article/1954/07/21/le-jugement-sera-rendu-dans-une-quinzaine_2038425_1819218.html,1954
" - Oui, dit Betty, mais mes tantes m'avaient prévenue",1954-07-21,https://www.lemonde.fr/archives/article/1954/07/21/le-jugement-sera-rendu-dans-une-quinzaine_2038425_1819218.html,1954
" Ses deux tantes et son oncle, l'abbé Brown, seront eux aussi les instruments de ce drame que Mercure avait pensé intituler Nous n'aimons jamais assez",1954-10-07,https://www.lemonde.fr/archives/article/1954/10/07/jean-mercure-presente-living-room-de-graham-greene-au-theatre-saint-georges_2015938_1819218.html,1954
Dernièrement encore Hoad a dû payer de sa poche les places de deux de ses tantes qui désiraient le voir jouer à Melbourne,1954-12-07,https://www.lemonde.fr/archives/article/1954/12/07/le-cas-lewis-hoad-inquiete-les-australiens_2030913_1819218.html,1954
"Autour d'elle, envolée d'oiseaux noirs, d'étranges tortionnaires chassent des chauves-souris : ce sont les tantes et les "" commères "" du folklore ibérique",1957-02-25,https://www.lemonde.fr/archives/article/1957/02/25/le-repoussoir-de-rafael-alberti_2328866_1819218.html,1957
"II se rendit encore, dans des circonstances importantes, au Palais-Bourbon, notamment pour participer à des scrutins sur des questions de confiance",1957-03-28,https://www.lemonde.fr/archives/article/1957/03/28/edouard-herriot-une-grande-figure-de-l-rsquo-iiie-republique_2333377_1819218.html,1957
