Text,link,year,aspect,sentiment,prob
Il a marché main dans la main avec son épouse Michelle accompagné de George W,https://www.lemonde.fr/11-septembre/article/2011/09/11/l-amerique-commemore-le-11-septembre_1570675_1569588.html,2011.0,épouse,Positive,0.5702831745147705
A Shanksville où s est écrasé le vol 93 d American Airlines tuant ses 40 passagers et membres d équipage ainsi que les quatre pirates de l air le président américain et son épouse ont observé un moment de silence et déposé des gerbes devant le tout nouveau mémorial érigé à la mémoire des victimes,https://www.lemonde.fr/11-septembre/article/2011/09/11/l-amerique-commemore-le-11-septembre_1570675_1569588.html,2011.0,épouse,Neutral,0.9721765518188477
En rendant hommage à mon grand père maternel son parcours ses choix devenu infirmier de circonstance pendant la guerre de 14 18 huit enfants qu il éleva seul suite au décès de son épouse pendant la seconde guerre mondiale sourires à la clé,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,épouse,Negative,0.7874110341072083
Il avait 31 ans son épouse ma grand mère Hortense ma mère Louise âgée de 3 ans en 1914 n ont pas cessé de l attendre dès 1914 après qu une seule lettre fut parvenue Ma tendre épouse mon enfant,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,"épouse', 'épouse","Positive', 'Positive","0.8260282278060913, 0.8260282278060913"
Quand son épouse découpe un article sur la naissance de SOS Méditerranée l association de secours aux migrants en mer fondée par le capitaine de marine marchande Klaus Vogel et l humanitaire Sophie Beau il postule illico,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/17/sur-l-aquarius-tous-les-metiers-menent-au-sauvetage_4970762_4961323.html,2016.0,épouse,Negative,0.5028141140937805
Mon épouse prémâchait la nourriture pour notre fils d un an qui était trop petit pour manger du pain,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016.0,épouse,Negative,0.8247188329696655
Cet électricien de Benin City au Nigeria voulait offrir une nouvelle vie pleine de rêve à Daxi son épouse,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/20/vingt-deux-migrants-retrouves-morts-dans-un-canot-en-mediterranee_4972488_4961323.html,2016.0,épouse,Positive,0.731802761554718
Parmi les big books de cette année ceux dont tout le monde parle et qui donnent lieu à des enchères importantes on trouvait notamment l autobiographie du footballeur Pelé dont les droits mondiaux ont été acquis par l éditeur Simon Schuster pour une somme demeurée confidentielle et qui doit sortir en juin lors de la Coupe du monde les Mémoires de Cynthia Lennon la première épouse de John Lennon acquis par la filiale britannique d Hachette Hodder et qui verront le jour en septembre avant le 25e anniversaire de l assassinat du chanteur un nouveau John Grisham retraçant l histoire vraie de Ron Williamson ce condamné à mort sauvé in extremis après douze ans de prison injustifiés à paraître en 2006 chez Century ou encore un manifeste politique de Gerry Adams chef du Sinn Fein aile politique de l IRA à paraître en novembre au Royaume Uni pour le centenaire du Sinn Fein et intitulé The New Ireland A Vision for the Future éd,https://www.lemonde.fr/a-la-une/article/2005/03/16/la-foire-du-livre-de-londres-de-plus-en-plus-prisee-des-professionnels_401829_3208.html,2005.0,épouse,Positive,0.6098678708076477
Ambiel cite l épouse d Hervé Gaymard Clara On cherche à salir ceux qui ne sont pas dans le moule qui sont un peu originaux,https://www.lemonde.fr/a-la-une/article/2005/03/17/dominique-ambiel-tente-de-regler-ses-comptes-dans-son-livre_402027_3208.html,2005.0,épouse,Neutral,0.7268005013465881
Devant plus de 100 000 personnes son épouse qui est aussi la marraine du navire brise contre sa coque un magnum de 6 litres de champagne,https://www.lemonde.fr/a-la-une/article/2005/03/26/histoires-du-france_631857_3208.html,2005.0,épouse,Positive,0.9685513973236084
