Text,date,link,year
"Les épouses, par exemple, cotisent pour rien sitôt que leur mari dépasse le plafond du système",2005-02-19,https://www.lemonde.fr/a-la-une/article/2005/02/19/george-bush-peut-il-reussir-a-privatiser-le-systeme-de-retraites_398846_3208.html,2005
"Il eut trois femmes légitimes et deux secondes épouses ""officielles"", et on lui connaît six enfants, dont trois peuvent être considérés comme légitimes",2005-04-01,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005
"Ses revenus de marchand de vêtements au marché de Sandaga, en plein centre de Dakar, sont partagés entre ses deux épouses à raison d'environ 1 500 francs CFA (2,25 euros) par jour, lorsque boubous, caftans et maillots de foot se vendent bien",2006-05-12,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006
" Mais, inversement, prolifèrent les écoles de maintien où les futures épouses apprennent l'étiquette",2006-06-03,https://www.lemonde.fr/a-la-une/article/2006/06/03/la-pop-culture-coreenne-deferle-sur-l-asie_779328_3208.html,2006
Sans compter les tabassages dont les épouses sont fréquemment victimes,2006-09-06,https://www.lemonde.fr/a-la-une/article/2006/09/06/l-art-cadastral-des-aborigenes_810091_3208.html,2006
" L'idée est simple : donner un visage à l'""ennemi"", montrer aux Iraniens que, comme eux, les Israéliens sont des pères, des mères, des maris et des épouses",2013-06-21,https://www.lemonde.fr/a-la-une/article/2013/06/21/sur-facebook-israel-aime-l-iran_3434464_3208.html,2013
"En vertu de la loi Taubira, ils ont accordé l’adoption aux épouses de femmes qui avaient conçu leur enfant par insémination artificielle à l’étranger",2014-10-04,https://www.lemonde.fr/a-la-une/article/2014/10/04/gpa-la-position-du-gouvernement-est-incomprehensible_4500594_3208.html,2014
"Les crêpages de chignon entre les épouses, Barb (Jeanne Tripplehorn), Nicolette (Chloë Sevigny), Margene (Ginnifer Goodwin), leurs rivalités, leurs frustrations, les difficultés domestiques, engendrées par une progéniture nombreuse, rappellent celles de Bree, Susan et Lynette",2007-09-12,https://www.lemonde.fr/actualite-medias/article/2007/09/12/big-love-un-vaudeville-chez-les-mormons_954267_3236.html,2007
"Ici, la logistique maritale est d'autant plus compliquée à organiser - les épouses se répartissent, agenda en main, les nuits du mari - qu'elle doit être préservée de toute intrusion policière",2007-09-12,https://www.lemonde.fr/actualite-medias/article/2007/09/12/big-love-un-vaudeville-chez-les-mormons_954267_3236.html,2007
"A toutes ces questions, ce numéro de ""Surpris par la nuit"" tente de répondre, sans manichéisme ni préjugés, à travers les témoignages d'un couple et de deux hommes qui furent battus par leurs épouses",2007-11-12,https://www.lemonde.fr/actualite-medias/article/2007/11/12/la-violence-conjugale-fait-aussi-des-victimes-parmi-les-hommes_977326_3236.html,2007
