Text,link,year,aspect,sentiment,prob
Les épouses par exemple cotisent pour rien sitôt que leur mari dépasse le plafond du système,https://www.lemonde.fr/a-la-une/article/2005/02/19/george-bush-peut-il-reussir-a-privatiser-le-systeme-de-retraites_398846_3208.html,2005.0,épouses,Negative,0.988329291343689
Il eut trois femmes légitimes et deux secondes épouses officielles et on lui connaît six enfants dont trois peuvent être considérés comme légitimes,https://www.lemonde.fr/a-la-une/article/2005/04/01/au-japon-la-chute-d-un-empereur_634227_3208.html,2005.0,épouses,Positive,0.7246317863464355
Ses revenus de marchand de vêtements au marché de Sandaga en plein centre de Dakar sont partagés entre ses deux épouses à raison d environ 1 500 francs CFA 2 25 euros par jour lorsque boubous caftans et maillots de foot se vendent bien,https://www.lemonde.fr/a-la-une/article/2006/05/12/dakar-vivre-avec-2-dollars-par-jour_771095_3208.html,2006.0,épouses,Positive,0.7467852830886841
Mais inversement prolifèrent les écoles de maintien où les futures épouses apprennent l étiquette,https://www.lemonde.fr/a-la-une/article/2006/06/03/la-pop-culture-coreenne-deferle-sur-l-asie_779328_3208.html,2006.0,épouses,Positive,0.6562846302986145
Sans compter les tabassages dont les épouses sont fréquemment victimes,https://www.lemonde.fr/a-la-une/article/2006/09/06/l-art-cadastral-des-aborigenes_810091_3208.html,2006.0,épouses,Negative,0.9941121935844421
L idée est simple donner un visage à l ennemi montrer aux Iraniens que comme eux les Israéliens sont des pères des mères des maris et des épouses,https://www.lemonde.fr/a-la-une/article/2013/06/21/sur-facebook-israel-aime-l-iran_3434464_3208.html,2013.0,épouses,Positive,0.7790986895561218
En vertu de la loi Taubira ils ont accordé l adoption aux épouses de femmes qui avaient conçu leur enfant par insémination artificielle à l étranger,https://www.lemonde.fr/a-la-une/article/2014/10/04/gpa-la-position-du-gouvernement-est-incomprehensible_4500594_3208.html,2014.0,épouses,Neutral,0.5526775121688843
Les crêpages de chignon entre les épouses Barb Jeanne Tripplehorn Nicolette Chloë Sevigny Margene Ginnifer Goodwin leurs rivalités leurs frustrations les difficultés domestiques engendrées par une progéniture nombreuse rappellent celles de Bree Susan et Lynette,https://www.lemonde.fr/actualite-medias/article/2007/09/12/big-love-un-vaudeville-chez-les-mormons_954267_3236.html,2007.0,épouses,Negative,0.8725062012672424
Ici la logistique maritale est d autant plus compliquée à organiser les épouses se répartissent agenda en main les nuits du mari qu elle doit être préservée de toute intrusion policière,https://www.lemonde.fr/actualite-medias/article/2007/09/12/big-love-un-vaudeville-chez-les-mormons_954267_3236.html,2007.0,épouses,Neutral,0.7296246886253357
A toutes ces questions ce numéro de Surpris par la nuit tente de répondre sans manichéisme ni préjugés à travers les témoignages d un couple et de deux hommes qui furent battus par leurs épouses,https://www.lemonde.fr/actualite-medias/article/2007/11/12/la-violence-conjugale-fait-aussi-des-victimes-parmi-les-hommes_977326_3236.html,2007.0,épouses,Negative,0.44158071279525757
Lorsque François Fillon était premier ministre elle recevait parfois les épouses de ministre pour un thé dans le pavillon de musique au fond du jardin de Matignon,https://www.lemonde.fr/affaire-penelope-fillon/article/2017/02/04/penelope-fillon-la-discrete_5074615_5070021.html,2017.0,épouses,Neutral,0.7809349298477173
La polygamie est admise El Hadj a trois épouses issues de tribus différentes mais sous condition il faut être un sage et disposer d un revenu confortable,https://www.lemonde.fr/afrique/article/2008/02/27/la-cite-ideale-de-maata-moulana_1016247_3212.html,2008.0,épouses,Neutral,0.8156448006629944
L ÉPOUSE DU PREMIER MINISTRE SOUTIENT L INITIATIVE Nous voulons une solution urgente aux problèmes politiques du pays a expliqué Mme Subow appelant les épouses des politiciens membres du gouvernement de grande coalition à se joindre au mouvement,https://www.lemonde.fr/afrique/article/2009/05/01/kenya-pas-de-reformes-pas-de-sexe_1187740_3212.html,2009.0,épouses,Neutral,0.7234742641448975
Sa cousine Rosalie Gishanda était l une des épouses du roi Mutara III Rudahigwa,https://www.lemonde.fr/afrique/article/2010/08/10/timide-et-secret-l-homme-fort-du-nouveau-regime-de-kigali-reste-dans-l-ombre_1397461_3212.html,2010.0,épouses,Positive,0.884789228439331
Une autre de ses épouses Kate s est suicidée en 2000,https://www.lemonde.fr/afrique/article/2012/04/15/le-president-sud-africain-va-prendre-une-quatrieme-epouse_1685832_3212.html,2012.0,épouses,Negative,0.8547257781028748
Maharaj a précisé que l Etat ne prenait pas en charge l entretien des épouses présidentielles car le statut de Première dame n existe pas formellement en Afrique du sud mais prend à son compte les frais lorsqu elles accompagnent leur président de mari en voyage officiel,https://www.lemonde.fr/afrique/article/2012/04/15/le-president-sud-africain-va-prendre-une-quatrieme-epouse_1685832_3212.html,2012.0,épouses,Neutral,0.4429638683795929
Après un court séjour à Peshawar où il apprend à manier une kalachnikov il prend le chemin du Yémen où selon ses dires il envisageait de s installer avec ses deux épouses,https://www.lemonde.fr/afrique/article/2012/11/07/arrestation-d-un-djihadiste-francais-au-mali_1787326_3212.html,2012.0,épouses,Neutral,0.5085399746894836
Pour asseoir son influence dans la région il aurait notamment pris des Touarègues pour épouses,https://www.lemonde.fr/afrique/article/2013/01/16/qui-est-la-brigade-al-mouthalimin-qui-revendique-la-prise-d-otages-en-algerie_1818052_3212.html,2013.0,épouses,Positive,0.8476570844650269
Divorcé deux fois il a fait cinq enfants à deux épouses successives avant de finir sa vie avec une troisième,https://www.lemonde.fr/afrique/article/2013/12/05/nelson-mandela-est-mort_3427343_3212.html,2013.0,épouses,Positive,0.7138329744338989
Déporté dans un autre village proche nommé Qunu la hutte familiale existe toujours et Mandela président s y fera construire une autre maison le chef destitué des Madiba ses quatre épouses et ses treize enfants vivent chichement mais avec dignité,https://www.lemonde.fr/afrique/article/2013/12/05/nelson-mandela-est-mort_3427343_3212.html,2013.0,épouses,Neutral,0.6557742357254028
Boko Haram qui affirme vouloir instaurer un Etat islamique dans le nord du Nigeria à majorité musulmane est accusé d avoir enlevé ces dernières années des centaines de personnes dans le Nord Est pour en faire des soldats des épouses ou des esclaves,https://www.lemonde.fr/afrique/article/2014/08/17/nigeria-85-otages-de-boko-haram-liberes_4472555_3212.html,2014.0,épouses,Negative,0.9944133162498474
Le tout est établi aux noms de l une ou l autre de ses deux épouses Hadjé Fatima Chahatta et Raymonde Adolphe Habré,https://www.lemonde.fr/afrique/article/2015/09/07/hissene-habre-le-cher-voisin-de-dakar_4747446_3212.html,2015.0,épouses,Neutral,0.8248200416564941
Soupçons de scissions au sein de Boko Haram Selon International Crisis Group ICG les attaques perpétuées ces derniers mois par Boko Haram semblent moins tenir de la stratégie militaire que de la nécessité de s approvisionner et d envoyer au passage un message brutal prouvant sa survie Elles ciblent de plus en plus des proies faciles y compris de jeunes captifs dont beaucoup sont transformés en épouses ou en enfants soldats,https://www.lemonde.fr/afrique/article/2016/08/01/l-etat-islamique-s-inquiete-du-manque-d-efficacite-de-son-allie-africain-boko-haram_4977152_3212.html,2016.0,épouses,Negative,0.9903201460838318
Là bas il fait la connaissance de l attachant Achirou de ses deux épouses et de leurs quatorze enfants,https://www.lemonde.fr/afrique/article/2016/09/02/un-combat-pour-la-vie-semaine-5-passage-aux-sables-du-niger-et-rendez-vous-avec-les-exiles-de-boko-haram-au-tchad_4991813_3212.html,2016.0,épouses,Positive,0.940972626209259
Dépositions des épouses de l accusé Enlevé à 10 ans Dominic Ongwen a rapidement grimpé les échelons hiérarchiques de la LRA pour prendre la tête d une brigade de près de 300 hommes la brigade Sinia,https://www.lemonde.fr/afrique/article/2016/12/06/ouganda-victime-de-la-lra-dominic-ongwen-en-a-adopte-avec-enthousiasme-les-methodes-violentes_5044510_3212.html,2016.0,épouses,Neutral,0.6146348714828491
Parmi les témoins le procureur compte sur des insiders dont deux anciens bras droits de Dominic Ongwen et les dépositions de sept des épouses de l accusé sont également consignées,https://www.lemonde.fr/afrique/article/2016/12/06/ouganda-victime-de-la-lra-dominic-ongwen-en-a-adopte-avec-enthousiasme-les-methodes-violentes_5044510_3212.html,2016.0,épouses,Neutral,0.6594060659408569
Les règles de la LRA sont strictes elles interdisent le sexe hors mariage mais les miliciens sont gratifiés d une ou plusieurs épouses enlevées lors des opérations,https://www.lemonde.fr/afrique/article/2016/12/06/ouganda-victime-de-la-lra-dominic-ongwen-en-a-adopte-avec-enthousiasme-les-methodes-violentes_5044510_3212.html,2016.0,épouses,Negative,0.8770974278450012
L une des épouses du commandant Ongwen enlevée à 7 ans a été forcée de porter des sacs de sel pendant plus d un mois dans le bush puis violée lorsqu elle n avait que 10 ans,https://www.lemonde.fr/afrique/article/2016/12/06/ouganda-victime-de-la-lra-dominic-ongwen-en-a-adopte-avec-enthousiasme-les-methodes-violentes_5044510_3212.html,2016.0,épouses,Negative,0.9922518134117126
Sur la vingtaine de personnes poursuivies dont un ex ministre des banquiers des hommes d affaires un officier de l armée ainsi que leurs épouses seul Hama Amadou était absent du box des accusés,https://www.lemonde.fr/afrique/article/2017/03/13/niger-hama-amadou-condamne-a-un-an-de-prison_5093889_3212.html,2017.0,épouses,Neutral,0.8502488732337952
Pour subvenir aux besoins de ses deux épouses de ses trois enfants et de ses deux neveux dont il a la charge Adamou Ibrahim a ouvert une petite échoppe où ses compagnons d infortune peuvent s approvisionner en produits de première nécessité riz huile condiments grâce à un système de transfert des fonds d aide sur téléphone portable instauré en mars par le Programme alimentaire mondial PAM,https://www.lemonde.fr/afrique/article/2017/05/22/dans-l-est-du-cameroun-ou-les-refugies-centrafricains-se-desolent-de-vivre-comme-des-mendiants_5131879_3212.html,2017.0,épouses,Neutral,0.9386448264122009
Coiffé d un casque micro vêtu d un costume bleu marine ponctué d une cravate Bosco Ntaganda raconte sobrement sa vie ses deux épouses ses sept enfants son nom de baptême adventiste Enias,https://www.lemonde.fr/afrique/article/2017/06/15/a-la-cpi-bosco-ntaganda-le-terminator-congolais-tente-d-offrir-un-visage-humain_5145204_3212.html,2017.0,épouses,Positive,0.6597296595573425
Quand un Nigérien a plusieurs femmes une compétition s installe entre les épouses,https://www.lemonde.fr/afrique/article/2017/10/18/demographie-le-niger-a-connu-de-grandes-avancees-en-matiere-de-planning-familial_5202857_3212.html,2017.0,épouses,Neutral,0.5385840535163879
Le cas du Bénin sera largement abordé du lundi 23 au mercredi 25 octobre à Dakar lors d une grande rencontre organisée par une coalition régionale d organisations issues de la société civile Filles pas épouses Forum des éducatrices africaines Plan International Save the Children Women in Law Development in Africa World Vision et d agences onusiennes ONU Femmes Fnuap Unicef pour mettre fin au mariage des enfants une pratique qui touche environ 15 millions de mineures chaque année dans le monde dont 39 en Afrique subsaharienne,https://www.lemonde.fr/afrique/article/2017/10/22/a-so-ava-cite-lacustre-du-benin-la-lutte-s-organise-contre-les-mariages-precoces_5204500_3212.html,2017.0,épouses,Neutral,0.9185250401496887
Filles pas épouses Forum des éducatrices africaines Plan International Save the Children Women in Law Development in Africa World Vision,https://www.lemonde.fr/afrique/article/2017/10/22/angelique-kidjo-une-petite-fille-est-une-enfant-elle-ne-peut-etre-une-mere-ou-une-epouse_5204488_3212.html,2017.0,épouses,Negative,0.7116765379905701
Dans cette société musulmane où la polygamie est largement répandue il est entendu que les épouses doivent maîtriser l art féminin de la séduction et de la provocation jongué pour retenir leur mari de prendre une autre femme ou s attirer ses faveurs notamment dans le cadre d une lutte sourde entre co épouses en milieu urbain près d une femme sur quatre a des co épouses,https://www.lemonde.fr/afrique/article/2017/10/27/les-armes-de-seduction-massive-des-dakaroises_5206943_3212.html,2017.0,"épouses', 'épouses', 'épouses","Neutral', 'Neutral', 'Neutral","0.5329593420028687, 0.5329593420028687, 0.5329593420028687"
Les épouses proclament de manière tout aussi systématique leur soumission à l autorité de leur mari et leur obéissance,https://www.lemonde.fr/afrique/article/2017/10/27/les-armes-de-seduction-massive-des-dakaroises_5206943_3212.html,2017.0,épouses,Negative,0.9835178852081299
A 27 ans elle est l une des quatre épouses de ce chef de culte vaudou guérisseur traditionnel,https://www.lemonde.fr/afrique/article/2018/01/18/le-commerce-des-esclaves-etait-alimente-par-les-conflits-entre-les-royaumes-du-dahomey_5243663_3212.html,2018.0,épouses,Positive,0.7634583711624146
Un parfum de scandale Il a 75 ans cinq épouses au moins vingt enfants un train de vie que nulle retraite dorée ne peut financer et une somme d ennuis judiciaires liée à des affaires de corruption avance vers lui aussi sûrement qu une vague géante aussi haute que le zunami promis lorsqu il poussait à l assaut du pouvoir,https://www.lemonde.fr/afrique/article/2018/02/14/afrique-du-sud-le-president-jacob-zuma-demissionne-avec-effet-immediat_5257073_3212.html,2018.0,épouses,Negative,0.8940871357917786
C est ce qu elle fait dans Co épouses et co veuves Cauris Livres 2015,https://www.lemonde.fr/afrique/article/2018/02/22/album-jeunesse-quand-pemba-s-en-va-t-en-paix_5261072_3212.html,2018.0,épouses,Neutral,0.9703496694564819
Parmi les détenus Coumba Niang et Amie Sall les deux épouses de Diokhané alors en détention au Niger,https://www.lemonde.fr/afrique/article/2018/04/11/a-dakar-29-djihadistes-presumes-et-un-projet-de-califat-en-proces_5284145_3212.html,2018.0,épouses,Neutral,0.3902556002140045
Au moment de se marier pour la première fois l homme en concertation avec sa promise choisit devant le maire si son futur ménage restera un duo ou s il pourra accueillir une deux ou trois épouses supplémentaires,https://www.lemonde.fr/afrique/article/2018/05/11/au-senegal-la-polygamie-ne-fait-plus-peur-aux-femmes-instruites_5297654_3212.html,2018.0,épouses,Positive,0.8056450486183167
L homme se devait d être équitable et respectueux envers ses épouses,https://www.lemonde.fr/afrique/article/2018/05/11/au-senegal-la-polygamie-ne-fait-plus-peur-aux-femmes-instruites_5297654_3212.html,2018.0,épouses,Positive,0.9824119210243225
Dans les maisons à l abri des regards des épouses leur confient donc leurs problèmes et ceux de leurs enfants,https://www.lemonde.fr/afrique/article/2018/05/17/au-cameroun-les-femmes-se-font-une-place-au-sein-des-chefferies-musulmanes_5300604_3212.html,2018.0,épouses,Neutral,0.8157888054847717
Treize palaces autant d épouses En juin le gouvernement accusait plus de 200 millions d euros d arriérés auprès de ses fournisseurs et luttait pour payer ses fonctionnaires,https://www.lemonde.fr/afrique/article/2018/09/06/l-eswatini-un-demi-siecle-et-rien-a-feter-sauf-pour-son-roi_5351347_3212.html,2018.0,épouses,Positive,0.414655476808548
Pour subventionner ses treize épouses et sa vingtaine d enfants Mswati III ponctionne chaque année 8 du budget de l Etat,https://www.lemonde.fr/afrique/article/2018/09/06/l-eswatini-un-demi-siecle-et-rien-a-feter-sauf-pour-son-roi_5351347_3212.html,2018.0,épouses,Positive,0.671311616897583
Ces véritables campagnes de recrutement d épouses ou de prostituées pour les maisons de tolérance vont souvent s effectuer dans un premier temps dans les marges des sociétés européennes orphelinats hospices asiles prisons bordels parmi des catégories de femmes stigmatisées telles les délinquantes les filles mères ou les prostituées les métropoles coloniales se débarrassant ainsi d éléments supposément asociaux et ou immoraux,https://www.lemonde.fr/afrique/article/2018/09/24/les-imaginaires-sexuels-coloniaux-ont-faconne-les-mentalites-des-societes-occidentales_5359511_3212.html,2018.0,épouses,Negative,0.9579212069511414
La rupture remonte au début du XIXe siècle c est la fin du paradis terrestre qui va se transmuter en paradis sexuel pour les hommes blancs dont les épouses en Europe sont dorénavant corsetées au propre comme au figuré tandis que se généralise l idée de la sexualité irrépressible de l homme,https://www.lemonde.fr/afrique/article/2018/10/30/le-regard-egrillard-de-l-homme-blanc-a-ete-un-element-constituant-de-la-colonisation_5376700_3212.html,2018.0,épouses,Negative,0.9209554195404053
lance t elle à son fiancé en référence à la fameuse dot payée par les futurs maris aux familles de leurs futures épouses et encore incontournable aujourd hui dans la plupart des mariages traditionnels et religieux en Afrique,https://www.lemonde.fr/afrique/article/2018/11/25/en-cote-d-ivoire-les-femmes-humoristes-prennent-le-pouvoir_5388418_3212.html,2018.0,épouses,Neutral,0.9162352085113525
Fini le temps où les sketchs mettaient en scène des monstres sacrés de l humour tels que Gohou Michel avec des épouses ou des maîtresses en rôles secondaires,https://www.lemonde.fr/afrique/article/2018/11/25/en-cote-d-ivoire-les-femmes-humoristes-prennent-le-pouvoir_5388418_3212.html,2018.0,épouses,Negative,0.9859975576400757
Nos résultats sur le Niger et le Mali publiés dans le rapport Filles pas épouses reviennent sur les facteurs couramment pointés du doigt mais en développant des aspects sous jacents et des causes profondes non analysées habituellement et non prises en compte par les pouvoirs publics et les ONG intervenant sur ces questions,https://www.lemonde.fr/afrique/article/2018/11/29/mariages-d-enfants-au-mali-et-au-niger-comment-les-comprendre_5390415_3212.html,2018.0,épouses,Negative,0.6004992723464966
Présentation de notre série Amour et sexualité avoir 20 ans en Afrique de l Ouest Episode 1 Quand les filles d Abidjan prennent le pouvoir sur la drague grâce aux réseaux sociaux Episode 2 Mettre un frein à l émancipation des Nigériennes c est nuire à toute la société Episode 3 Etre adolescent et gay au Bénin c est vivre caché dans un monde libre Episode 4 Au Tchad ou ailleurs les hommes de qualité ne craignent pas l égalité Episode 5 Au Mali l amour impossible de Mariame la noble et Oumar le griot Episode 6 Je suis toutes les épouses enfants du monde Episode 7 Monsieur le Président la Guinée doit protéger ses filles de l excision du viol et du mariage précoce Episode 8 Hadja Idrissa Bah une jeunesse contre les violences faites aux femmes Episode 9 Les Chinois caressent mes cheveux crépus mais personne ne me drague Episode 10 Penda 19 ans A chaque fois que mon père essayait de me violer je criais et il repartait Episode 11 Amour et sexualité une semaine à Dakar pour tout se dire,https://www.lemonde.fr/afrique/article/2018/12/23/quand-les-filles-d-abidjan-prennent-le-pouvoir-sur-la-drague-grace-aux-reseaux-sociaux_5401617_3212.html,2018.0,"épouses', 'épouses', 'épouses', 'épouses', 'épouses","Positive', 'Positive', 'Positive', 'Positive', 'Positive","0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139"
Présentation de notre série Amour et sexualité avoir 20 ans en Afrique de l Ouest Episode 1 Quand les filles d Abidjan prennent le pouvoir sur la drague grâce aux réseaux sociaux Episode 2 Mettre un frein à l émancipation des Nigériennes c est nuire à toute la société Episode 3 Etre adolescent et gay au Bénin c est vivre caché dans un monde libre Episode 4 Au Tchad ou ailleurs les hommes de qualité ne craignent pas l égalité Episode 5 Au Mali l amour impossible de Mariame la noble et Oumar le griot Episode 6 Je suis toutes les épouses enfants du monde Episode 7 Monsieur le Président la Guinée doit protéger ses filles de l excision du viol et du mariage précoce Episode 8 Hadja Idrissa Bah une jeunesse contre les violences faites aux femmes Episode 9 Les Chinois caressent mes cheveux crépus mais personne ne me drague Episode 10 Penda 19 ans A chaque fois que mon père essayait de me violer je criais et il repartait Episode 11 Amour et sexualité une semaine à Dakar pour tout se dire,https://www.lemonde.fr/afrique/article/2018/12/24/mettre-un-frein-a-l-emancipation-des-nigeriennes-c-est-nuire-a-toute-la-societe_5401924_3212.html,2018.0,"épouses', 'épouses', 'épouses', 'épouses', 'épouses","Positive', 'Positive', 'Positive', 'Positive', 'Positive","0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139"
Présentation de notre série Amour et sexualité avoir 20 ans en Afrique de l Ouest Episode 1 Quand les filles d Abidjan prennent le pouvoir sur la drague grâce aux réseaux sociaux Episode 2 Mettre un frein à l émancipation des Nigériennes c est nuire à toute la société Episode 3 Etre adolescent et gay au Bénin c est vivre caché dans un monde libre Episode 4 Au Tchad ou ailleurs les hommes de qualité ne craignent pas l égalité Episode 5 Au Mali l amour impossible de Mariame la noble et Oumar le griot Episode 6 Je suis toutes les épouses enfants du monde Episode 7 Monsieur le Président la Guinée doit protéger ses filles de l excision du viol et du mariage précoce Episode 8 Hadja Idrissa Bah une jeunesse contre les violences faites aux femmes Episode 9 Les Chinois caressent mes cheveux crépus mais personne ne me drague Episode 10 Penda 19 ans A chaque fois que mon père essayait de me violer je criais et il repartait Episode 11 Amour et sexualité une semaine à Dakar pour tout se dire,https://www.lemonde.fr/afrique/article/2018/12/25/etre-adolescent-et-gay-au-benin-c-est-vivre-cache-dans-un-monde-libre_5402066_3212.html,2018.0,"épouses', 'épouses', 'épouses', 'épouses', 'épouses","Positive', 'Positive', 'Positive', 'Positive', 'Positive","0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139, 0.7410533428192139"
