Text,date,link,year
"Cela restera pour longtemps un très grand traumatisme », insiste Merline, une jeune Camerounaise embarquée avec son époux et leurs deux enfants âgés de 9 et 1 an",2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
" « Des morts à peine enterrés, comme des animaux » « Notre histoire est simple, explique Aker, son époux, épuisé lui aussi",2016-07-19,https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/19/sur-l-aquarius-des-femmes-intoxiquees-et-un-homme-a-la-mer_4971915_4961323.html,2016
" De fait, l'une des conditions confidentiellement assignées au médiateur consiste à ce que l'éventuel compromis ne comporte ""aucun paiement en numéraire au bénéfice des époux Tapie""",2005-04-06,https://www.lemonde.fr/a-la-une/article/2005/04/06/tapie-a-la-man-uvre_635913_3208.html,2005
" « Je n’épiloguerai pas sur le cas tellement banal de l’homme mûr qui rencontre une femme jeune et qui oublie ses obligations de père et d’époux », renchérit l’avocate de la partie civile « J’ai eu un changement dans ma situation de famille",2005-06-24,https://www.lemonde.fr/a-la-une/article/2005/06/24/chronique-ordinaire-de-la-haine-conjugale_665799_3208.html,2005
« Je n’épiloguerai pas sur le cas tellement banal de l’homme mûr qui rencontre une femme jeune et qui oublie ses obligations de père et d’époux,2005-06-24,https://www.lemonde.fr/a-la-une/article/2005/06/24/chronique-ordinaire-de-la-haine-conjugale_665799_3208.html,2005
" « Le parti adverse » C’est un bloc de mère auquel se cogne depuis des mois son ex-époux, qui vient revendiquer son droit de visite à ses trois enfants",2005-06-24,https://www.lemonde.fr/a-la-une/article/2005/06/24/chronique-ordinaire-de-la-haine-conjugale_665799_3208.html,2005
" C’est le cas de Marlène, qui serre ostensiblement le bras de son deuxième époux avant de rejoindre la place de prévenue à laquelle le précédent l’a assignée",2005-06-24,https://www.lemonde.fr/a-la-une/article/2005/06/24/chronique-ordinaire-de-la-haine-conjugale_665799_3208.html,2005
"Lorsqu'elle se rend chez le boucher avec son époux, le vrai, on regarde l'""homme trompé"" d'un air apitoyé",2005-07-02,https://www.lemonde.fr/a-la-une/article/2005/07/02/le-bonheur-en-carton-pate_668711_3208.html,2005
"Le soir, en père attentif et époux tendre, il aime y faire la lecture à l'impératrice Alexandra et à leurs quatre filles (Alexis, le tsarévitch, né à l'été 1903, est encore bébé)",2005-08-24,https://www.lemonde.fr/a-la-une/article/2005/08/24/la-russie-vacille-par-natalie-nougayrede_682251_3208.html,2005
" Pour conjurer l'attente interminable, Atika, la femme d'Ali Najab, professeure retraitée d'histoire-géographie, a repris ses études et publié un livre, 25 ans dans la vie d'une femme de prisonnier, recueil de tous les poèmes rédigés à son époux absent",2005-10-10,https://www.lemonde.fr/a-la-une/article/2005/10/10/les-survivants-de-l-enfer-sahraoui_697731_3208.html,2005
"Mariée et mère de famille dès l'âge de 14 ans, elle s'est retrouvée sacrée ""première dame du Gabon"" quand son époux, Albert Bernard Bongo, de dix ans environ son aîné, a été propulsé à la tête du pays le plus légalement du monde",2005-11-26,https://www.lemonde.fr/a-la-une/article/2005/11/26/la-bande-a-bongo_714579_3208.html,2005
"En novembre 2005, comme les fois précédentes, elle a participé à la campagne présidentielle pour le compte de son ex-époux, le président sortant",2005-11-26,https://www.lemonde.fr/a-la-une/article/2005/11/26/la-bande-a-bongo_714579_3208.html,2005
"Comme cette Asiatique de 51 ans, venue avec son époux, à laquelle le chirurgien a annoncé qu'elle avait deux nodules à opérer sans tarder",2006-04-26,https://www.lemonde.fr/a-la-une/article/2006/04/26/a-villejuif-dans-l-antichambre-de-l-esperance_765640_3208.html,2006
"Lorsqu'ils s'installent à Vancouver, les époux, qui cherchent à s'intégrer dans leur nouveau quartier, sont invités par leurs voisins à rejoindre l'Eglise du Christ international",2006-05-02,https://www.lemonde.fr/a-la-une/article/2006/05/02/affaire-gettliffe-deux-enfants-dans-la-tourmente_767405_3208.html,2006
"» – Fabienne, à son époux Pierre, contenant son émotion Rien, ou si peu, n’a changé dans l’appartement, de style bourgeois",2006-05-15,https://www.lemonde.fr/a-la-une/article/2006/05/15/pieds-noirs-retour-a-alger_771844_3208.html,2006
"Ces écoles, qui sont plus d'un millier, proposent aussi à leurs élèves de rencontrer d'éventuels époux",2006-06-03,https://www.lemonde.fr/a-la-une/article/2006/06/03/la-pop-culture-coreenne-deferle-sur-l-asie_779328_3208.html,2006
"Elle grappille sa liberté lorsque son époux, reconverti en représentant de commerce pour son beau-frère, sillonne les routes",2006-06-28,https://www.lemonde.fr/a-la-une/article/2006/06/28/segolene-royal-la-fille-du-lieutenant-colonel_789232_3208.html,2006
"Le Club Med, qui avait été sollicité pour s’installer à Hao, a poliment décliné l’offre… Un centre de plongée a été ouvert, rappel ironique du temps où les faux époux Turenge avaient été consignés sur l’île, après le fiasco du Rainbow-Warrior",2006-08-18,https://www.lemonde.fr/a-la-une/article/2006/08/18/polynesie-hao-apres-la-bombe_804500_3208.html,2006
" Elle dénonce l'invocation de la ""culture locale"", produite en justice comme circonstance atténuante pour diminuer la gravité du viol de très jeunes femmes par leur futur époux",2006-09-06,https://www.lemonde.fr/a-la-une/article/2006/09/06/l-art-cadastral-des-aborigenes_810091_3208.html,2006
" Jusqu'au milieu des années 1980, Nahed Ojjeh passe plus de temps auprès de son père, à Damas, que de son époux, qui vole de Riyad à Paris",2006-10-02,https://www.lemonde.fr/a-la-une/article/2006/10/02/les-diners-de-madame-ojjeh_819062_3208.html,2006
" A titre de comparaison, l'équipe des chercheurs a effectué des prélèvements sur le corps de l'impératrice Long Yu, épouse de Guangxu, enterrée à ses côtés : le taux d'arsenic décelé sur cette dernière est 261 fois inférieur à celui de son époux",2008-11-22,https://www.lemonde.fr/a-la-une/article/2008/11/22/l-empereur-guangxu-empoisonne_1121817_3208.html,2008
"Son époux la quitte ; Warda regagne Le Caire et s'y remarie avec le modernisateur de la musique arabe Baligh Hamdi, dont elle divorcera en 1978",2012-05-19,https://www.lemonde.fr/a-la-une/article/2012/05/19/warda-al-jazairia_1704198_3208.html,2012
" Placé à l'entrée du bar, le portrait du duc d'Edimbourg, époux de la souveraine, grand amateur de voile et président d'honneur de ce cénacle de gentlemen, impose le respect",2012-06-03,https://www.lemonde.fr/a-la-une/article/2012/06/03/entre-la-tamise-et-la-royaute-2-000-ans-d-histoire_1711231_3208.html,2012
"Mais, contrairement aux époux Malraux, bourgeois désargentés plongés dans une aventure à l'illégalité vague que la justice a sanctionnés somme toute modérément, les deux protagonistes vont expérimenter, pour leur plus grand malheur, toute la ""sauvagerie "" des régions reculées d'Extrême-Orient",2013-08-12,https://www.lemonde.fr/a-la-une/article/2013/08/12/andre-malraux-au-cambodge-le-pilleur-de-banteay-srei_3460441_3208.html,2013
"Après un premier mariage raté, le deuxième finit en tragédie avec son nouvel époux tué dans un accident de voiture",2014-02-02,https://www.lemonde.fr/a-la-une/article/2014/02/02/roman-noir-a-new-delhi_4358552_3208.html,2014
"« Dans notre société, la femme est-elle inféodée au point qu'on lui prête toutes les pensées de son époux",2014-07-25,https://www.lemonde.fr/a-la-une/article/2014/07/25/histoires-de-pub-chez-les-cantona-pas-de-compte-joint_4463161_3208.html,2014
" Pourtant, Rebekah a passé la nuit du 2 au 3 novembre au commissariat pour avoir tabassé son époux, le comédien Ross Kemp",2005-11-05,https://www.lemonde.fr/actualite-medias/article/2005/11/05/la-dame-de-fer-du-sun-tabasse-son-epoux_706861_3236.html,2005
" Le 6 septembre, dans un entretien à l'AFP, Arlette Chabot, directrice de l'information de France 2, avait confirmé un retrait du JT de Mme Schonberg ""sans doute"" autour de la mi-janvier, et son retour ""après la campagne"", sauf si son époux Jean-Louis Borloo est nommé premier ministre",2006-09-18,https://www.lemonde.fr/actualite-medias/article/2006/09/18/52-deputes-ump-demandent-le-maintien-de-beatrice-schonberg-au-jt-de-france-2_814115_3236.html,2006
" Si le drame de Praia da Luz est resté une ""top story"" dans les médias du royaume, suscitant une émotion populaire sans précédent depuis la mort il y a dix ans de la princesse Diana, c'est parce que les époux McCann l'ont voulu ainsi",2007-09-15,https://www.lemonde.fr/actualite-medias/article/2007/09/15/l-affaire-maddie-tous-les-ingredients-pour-fasciner-le-public-et-les-medias_955616_3236.html,2007
" Rentrés en Angleterre le 9 septembre, les époux McCann ont fui la presse pendant deux jours, réfugiés dans leur maison familiale",2007-09-15,https://www.lemonde.fr/actualite-medias/article/2007/09/15/l-affaire-maddie-tous-les-ingredients-pour-fasciner-le-public-et-les-medias_955616_3236.html,2007
" En attendant qu'on découvre, éventuellement la vérité, sur Madeleine, conseille l'éditorialiste du Guardian, Jonathan Freedland, la justice et la décence commandent qu'on présume les époux McCann innocents, car s'ils se révèlent un jour coupables, ""nous aurons alors largement le temps de les condamner""",2007-09-15,https://www.lemonde.fr/actualite-medias/article/2007/09/15/l-affaire-maddie-tous-les-ingredients-pour-fasciner-le-public-et-les-medias_955616_3236.html,2007
"Pendant que son époux, ""Rupert le Boulimique"", arpente la planète à l'affût de nouvelles opportunités ou de profitables alliances, elle devient l'une des locomotives des galas de charité",2011-08-04,https://www.lemonde.fr/actualite-medias/article/2011/08/04/scenes-de-chasse-en-californie_1556107_3236.html,2011
" Cependant, toujours selon Renaud Revel, il reste ""un problème que commencent à soulever certains journalistes de la rédaction de Paris Match, la présence parmi les salariés du journal de l'ex-époux même de Valérie Trierweiler, Denis Trierweiler""",2012-06-03,https://www.lemonde.fr/actualite-medias/article/2012/06/03/valerie-trierweiler-confirmee-a-paris-match-selon-l-express_1711930_3236.html,2012
"Ce que Jean-François Revel, philosophe, écrivain et époux de Claude Sarraute, l'une des plumes les plus joyeuses du Monde de l'époque, résumera ainsi, dans L'Express, en 1974 : « La psychologie de guerre froide (",2012-08-22,https://www.lemonde.fr/actualite-medias/article/2012/08/22/quand-gorbatchev-divisait-le-monde_1748494_3236.html,2012
"Mediapart précise que la présidente de Thétys est François Bettencourt-Meyers, la fille de Liliane Bettencourt, et le directeur exécutif est son époux, Jean-Pierre Meyers",2013-07-01,https://www.lemonde.fr/actualite-medias/article/2013/07/01/le-journal-l-opinion-en-partie-finance-par-la-famille-bettencourt-selon-mediapart_3440061_3236.html,2013
