Author	AuthorGender	Concept	ConceptPair	Form	Gender	Manual	Register	Sentiment_Neutral	Sentiment_Positive	Source	Text	Year	confidence	gpt-3.5-turbo	gpt-4	sentiment
_	_	son	Child	兒子	Male	Neutral	NEWS	Yes	NA	CNA	中縣40歲林姓男子與外遇女友生下1子,引發家庭紛爭;林男的兒子4日晚間報警指出,父帶外遇女與2人所生幼子外出可能輕生,經警搜尋及時挽回3命,警方今天呼籲珍惜生命。	2010	0.931140065193176	Negative	Neutral	Neutral
_	_	father	Parent	父亲	Male	Neutral	NEWS	No	No	XIN	这一年,伪保长罗锡联为霸占她家一片树林和几亩山地,放火烧了罗昌秀家的房子,逼死了父亲罗锡朋,打死了哥哥罗昌保,罗昌秀走投无路,带着遍体鳞伤和血淋淋露出骨头的双手,逃进莽莽无边的断头山。	1992	0.940024554729462	Negative	Negative	Negative
_	_	boy	Not_Adult	男孩	Male	Positive	NEWS	No	Yes	XIN	10岁的男孩张骏迪胜了谢军。	2001	0.90215140581131	Neutral	Neutral	Positive
_	_	father-in-law	Parent_In_Law	岳父	Male	Neutral	NEWS	Yes	NA	CNA	目前馬英九仍在進行疼惜台灣行腳,藉訪視弱勢、關懷春節仍要執勤的基層公務員,彰顯找回台灣優良核心價值訴求,在忙完岳父治喪事宜後,馬英九的春節行程將遵循台灣民眾春節拜廟習俗,行程以寺廟參拜為主。	2008	0.544215023517609	Neutral	Neutral	Neutral
_	_	boy	Not_Adult	男孩	Male	Neutral	NEWS	No	No	XIN	邻居们发现房子失火后,赶来看到一个男孩正在用拳头敲打窗户。	2003	0.962442576885223	Neutral	Neutral	Negative
_	_	father-in-law	Parent_In_Law	公公	Male	Other	NEWS	No	No	CNA	蕭萬長向全場可愛小朋友說,全球的聖誕老公公現在都很忙,但交待他要和小朋友送暖、點燈、許新願,共同迎接千禧年,希望世界充滿光明和平安。	1998	0.453140765428543	Neutral	Positive	Negative
_	_	wife	Spouse	妻子	Female	Negative	NEWS	Yes	NA	CNA	無黨團結聯盟籍立委蔡豪2005年涉嫌透過友人李長麟行賄調查局南機組長諸明章,探得查賄風聲,暗助競選屏東縣長的妻子宋麗華逃避查緝,一審獲判無罪,經檢方上訴,高雄高分院今天依貪污治罪條例等罪,改判蔡豪及李長麟有期徒刑各一年並褫奪公權一年。	2007	0.569155037403107	Neutral	Negative	Neutral
_	_	wife	Spouse	妻子	Female	Neutral	NEWS	Yes	NA	XIN	在威尔逊的文章发表后,美国媒体发表文章援引白宫高级官员的话披露说,威尔逊的妻子普莱姆是中情局的秘密特工,威尔逊前往尼日尔是她推荐而不是中情局主动邀请的。	2006	0.687389969825745	Neutral	Neutral	Neutral
_	_	father	Parent	父親	Male	Neutral	NEWS	No	No	CNA	土耳其一名擔心失業後家計無著的父親,在深夜中攀上梯子意圖懸樑自盡,但垂死痛苦掙扎的聲音驚醒八歲小女兒,小女兒見情況危急猶能臨危不亂,立即攀上樓梯以菜刀割斷繩索,挽回父親的性命。	1995	0.966893434524536	Positive	Neutral	Negative
_	_	husband	Spouse	丈夫	Male	Neutral	NEWS	No	No	CNA	當地居民指出,老阿媽名叫翁玉蘭,丈夫在日據時代當軍伕時去世,膝下無子女,二十三歲那年她因罹患眼疾沒錢看診,導致雙目失明,現在住的瓦房是別人借給她住的,已經過了幾十年的獨居生活。	1998	0.904235661029816	Neutral	Negative	Negative
